Phase_number,Trial_number,Query_type,Layer_type,Specified_answer,Presentation_order,Number_probability_sets,Number_facilities,Max_probs_in_set,Probs_norm_1_1,Probs_norm_1_2,Probs_norm_1_3,Probs_norm_1_4,Probs_norm_2_1,Probs_norm_2_2,Probs_norm_2_3,Probs_norm_2_4,Probs_norm_3_1,Probs_norm_3_2,Probs_norm_3_3,Probs_norm_3_4
2,1,Identify,Simultaneous,A,0,1,2,4,0.99996,3.7507e-005,0,0,0,0,0,0,0,0,0,0
2,2,Identify,Simultaneous,B,0,1,2,4,0.00014395,0.99986,0,0,0,0,0,0,0,0,0,0
4,1,Identify,Simultaneous,B,0,1,2,4,0.0022624,0.99774,0,0,0,0,0,0,0,0,0,0
4,2,Identify,Simultaneous,A,0,1,2,4,0.99463,0.0053722,0,0,0,0,0,0,0,0,0,0
6,1,Identify,Simultaneous,A,0,1,2,4,0.99998,2.1098e-005,0,0,0,0,0,0,0,0,0,0
6,2,Identify,Simultaneous,B,0,1,2,4,1.5622e-008,1,0,0,0,0,0,0,0,0,0,0
8,1,Identify,Simultaneous,A,0,1,3,4,0.86878,0.010558,0.12066,0,0,0,0,0,0,0,0,0
8,2,Identify,Simultaneous,B,0,1,3,4,5.1976e-006,0.97473,0.02526,0,0,0,0,0,0,0,0,0
8,3,Identify,Simultaneous,C,0,1,3,4,0.00013454,0.019071,0.98079,0,0,0,0,0,0,0,0,0
10,1,Identify,Simultaneous,B,0,1,3,4,6.8474e-006,0.99876,0.0012325,0,0,0,0,0,0,0,0,0
10,2,Identify,Simultaneous,A,0,1,3,4,0.99871,2.3413e-006,0.0012844,0,0,0,0,0,0,0,0,0
10,3,Identify,Simultaneous,C,0,1,3,4,0.00034521,0.44041,0.55925,0,0,0,0,0,0,0,0,0
12,1,Identify,Simultaneous,B,0,1,3,4,5.6233e-007,0.99988,0.00011996,0,0,0,0,0,0,0,0,0
12,2,Identify,Simultaneous,C,0,1,3,4,0.16648,0.001138,0.83239,0,0,0,0,0,0,0,0,0
12,3,Identify,Simultaneous,A,0,1,3,4,0.99616,8.7573e-007,0.0038432,0,0,0,0,0,0,0,0,0
14,1,Identify,Simultaneous,B,0,1,4,4,0.00031558,0.73065,0.17041,0.098621,0,0,0,0,0,0,0,0
14,2,Identify,Simultaneous,A,0,1,4,4,0.98516,0.00048103,0.0057011,0.0086605,0,0,0,0,0,0,0,0
14,3,Identify,Simultaneous,C,0,1,4,4,0.012714,0.11681,0.85821,0.012263,0,0,0,0,0,0,0,0
14,4,Identify,Simultaneous,D,0,1,4,4,0.0021563,0.23773,0.086252,0.67386,0,0,0,0,0,0,0,0
16,1,Identify,Simultaneous,C,0,1,4,4,0.005375,0.00088183,0.9675,0.026246,0,0,0,0,0,0,0,0
16,2,Identify,Simultaneous,A,0,1,4,4,0.99572,2.1008e-005,0.0038415,0.00041683,0,0,0,0,0,0,0,0
16,3,Identify,Simultaneous,D,0,1,4,4,0.00090055,0.018236,0.3242,0.65666,0,0,0,0,0,0,0,0
16,4,Identify,Simultaneous,B,0,1,4,4,7.4887e-006,0.80252,0.00089865,0.19658,0,0,0,0,0,0,0,0
18,1,Identify,Simultaneous,C,0,1,4,4,0.0047097,0.00068684,0.95372,0.040884,0,0,0,0,0,0,0,0
18,2,Identify,Simultaneous,D,0,1,4,4,2.8565e-005,8.5696e-005,0.00010712,0.99978,0,0,0,0,0,0,0,0
18,3,Identify,Simultaneous,B,0,1,4,4,3.5899e-008,0.98485,6.8927e-005,0.015078,0,0,0,0,0,0,0,0
18,4,Identify,Simultaneous,A,0,1,4,4,0.99932,1.779e-005,0.00042838,0.00023531,0,0,0,0,0,0,0,0
19,1,Identify,Sequential,D,132,3,4,4,0.0001213,0.0073688,0.1965,0.79601,9.4654e-006,0.0023001,0.0038335,0.99386,2.3732e-006,0.0023067,0.00096114,0.99673
19,2,Identify,Simultaneous,B,0,1,4,4,0.00015805,0.20909,0.00052682,0.79022,0,0,0,0,0,0,0,0
19,3,Identify,Simultaneous,C,0,1,4,4,0.16606,0.0011352,0.8303,0.0025026,0,0,0,0,0,0,0,0
19,4,Identify,User Choice,C,0,3,4,4,0.058444,0.0085231,0.87666,0.056371,0.06223,0.0005672,0.93345,0.0037514,0.061434,0.0022398,0.92151,0.014814
19,5,Identify,Sequential,B,123,3,4,4,6.8327e-006,0.99663,0.0012299,0.0021352,6.8327e-006,0.99663,0.0012299,0.0021352,2.7156e-005,0.99026,0.001222,0.0084863
19,6,Identify,User Choice,A,0,3,4,4,0.999,1.8735e-005,0.00042824,0.0005576,0.99954,1.1716e-006,0.00042847,3.4869e-005,0.99933,4.6854e-006,0.0001071,0.00055778
19,7,Identify,User Choice,D,0,3,4,4,0.0053104,0.0089613,0.017701,0.96803,0.0013509,0.0091186,0.004503,0.98503,0.00034185,0.0023075,0.00028488,0.99707
19,8,Identify,Simultaneous,A,0,1,4,4,0.99986,2.9299e-007,0.00010715,3.488e-005,0,0,0,0,0,0,0,0
19,9,Identify,User Choice,C,0,3,4,4,0.1351,0.059106,0.67549,0.1303,0.16427,0.0044917,0.82134,0.0099022,0.15747,0.017223,0.78734,0.037969
19,10,Identify,User Choice,B,0,3,4,4,0.0015207,0.50298,0.020276,0.47522,0.0015207,0.50298,0.020276,0.47522,0.00015805,0.20909,0.00052682,0.79022
19,11,Identify,User Choice,A,0,3,4,4,0.94422,0.0057375,0.043714,0.0063243,0.91125,0.022148,0.042188,0.024414,0.98655,0.00037467,0.011418,0.001652
19,12,Identify,User Choice,B,0,3,4,4,6.8327e-006,0.99663,0.0012299,0.0021352,6.8327e-006,0.99663,0.0012299,0.0021352,2.7156e-005,0.99026,0.001222,0.0084863
19,13,Identify,Sequential,B,123,3,4,4,0.0015207,0.50298,0.020276,0.47522,0.0015207,0.50298,0.020276,0.47522,0.00015805,0.20909,0.00052682,0.79022
19,14,Identify,Simultaneous,A,0,1,4,4,0.98059,0.0014896,0.011349,0.0065679,0,0,0,0,0,0,0,0
19,15,Identify,User Choice,D,0,3,4,4,0.0001213,0.0073688,0.1965,0.79601,3.557e-005,0.0086435,0.057623,0.9337,9.4654e-006,0.0023001,0.0038335,0.99386
19,16,Identify,Simultaneous,C,0,1,4,4,0.062432,0.00014226,0.93648,0.0009409,0,0,0,0,0,0,0,0
19,17,Identify,Sequential,C,132,3,4,4,0.058444,0.0085231,0.87666,0.056371,0.061434,0.0022398,0.92151,0.014814,0.062432,0.00014226,0.93648,0.0009409
19,18,Identify,Sequential,D,132,3,4,4,0.0053104,0.0089613,0.017701,0.96803,0.00034185,0.0023075,0.00028488,0.99707,8.5504e-005,0.0023086,7.1253e-005,0.99753
19,19,Identify,Sequential,C,132,3,4,4,0.1351,0.059106,0.67549,0.1303,0.15747,0.017223,0.78734,0.037969,0.16606,0.0011352,0.8303,0.0025026
19,20,Identify,Sequential,A,123,3,4,4,0.94422,0.0057375,0.043714,0.0063243,0.91125,0.022148,0.042188,0.024414,0.98059,0.0014896,0.011349,0.0065679
19,21,Identify,Simultaneous,D,0,1,4,4,8.5504e-005,0.0023086,7.1253e-005,0.99753,0,0,0,0,0,0,0,0
19,22,Identify,Sequential,A,123,3,4,4,0.999,1.8735e-005,0.00042824,0.0005576,0.99954,1.1716e-006,0.00042847,3.4869e-005,0.99986,2.9299e-007,0.00010715,3.488e-005
19,23,Identify,Simultaneous,D,0,1,4,4,2.3732e-006,0.0023067,0.00096114,0.99673,0,0,0,0,0,0,0,0
19,24,Identify,Simultaneous,B,0,1,4,4,2.7156e-005,0.99026,0.001222,0.0084863,0,0,0,0,0,0,0,0
19,25,Identify,Simultaneous,B,0,1,4,4,0.00015805,0.20909,0.00052682,0.79022,0,0,0,0,0,0,0,0
20,1,Locate,User Choice,D,0,3,4,4,0.28556,0.15671,0.28268,0.27504,0.27369,0.18006,0.27093,0.27532,0.25618,0.22974,0.25701,0.25707
20,2,Locate,User Choice,B,0,3,4,4,0.012177,0.11437,0.010917,0.86254,0.012208,0.12671,0.00069181,0.8604,0.0019271,0.018799,0.0017331,0.97754
20,3,Locate,Simultaneous,C,0,1,4,4,0.00071685,0.4953,0.50227,0.0017167,0,0,0,0,0,0,0,0
20,4,Locate,Simultaneous,D,0,1,4,4,0.66618,0.32201,0.0058179,0.0059915,0,0,0,0,0,0,0,0
20,5,Locate,Sequential,B,123,3,4,4,0.059394,0.0051634,0.90292,0.032519,0.092656,0.0003509,0.87553,0.031465,0.034764,0.00037966,0.95556,0.0092973
20,6,Locate,Sequential,D,132,3,4,4,0.57381,0.32098,0.081941,0.023277,0.79373,0.19093,0.0075564,0.0077841,0.66618,0.32201,0.0058179,0.0059915
20,7,Locate,Simultaneous,A,0,1,4,4,7.6306e-006,1.3783e-005,0.99998,2.1978e-006,0,0,0,0,0,0,0,0
20,8,Locate,Sequential,A,123,3,4,4,0.00013762,1.3786e-005,0.99981,3.4344e-005,3.4519e-005,1.0717e-005,0.99995,8.9765e-006,7.6306e-006,1.3783e-005,0.99998,2.1978e-006
20,9,Locate,User Choice,A,0,3,4,4,0.00013762,1.3786e-005,0.99981,3.4344e-005,3.4519e-005,1.0717e-005,0.99995,8.9765e-006,3.0506e-005,1.4849e-005,0.99995,7.5052e-006
20,10,Locate,User Choice,C,0,3,4,4,0.0034446,0.65614,0.33823,0.0021897,0.0006569,0.51026,0.48732,0.0017653,0.0028807,0.49674,0.49867,0.0017058
20,11,Locate,Simultaneous,B,0,1,4,4,0.034764,0.00037966,0.95556,0.0092973,0,0,0,0,0,0,0,0
20,12,Locate,Simultaneous,A,0,1,4,4,7.9847e-007,0.99995,5.1177e-005,2.1691e-006,0,0,0,0,0,0,0,0
20,13,Locate,Simultaneous,B,0,1,4,4,0.001929,0.021041,0.0001087,0.97692,0,0,0,0,0,0,0,0
20,14,Locate,User Choice,A,0,3,4,4,5.9846e-005,0.99953,0.00024669,0.00016387,1.2935e-005,0.9999,5.2382e-005,3.5357e-005,3.3299e-006,0.99977,0.00021334,9.0382e-006
