Subject_number,Phase_number,Trial_number,Surprise,Trial_time,Group_time,Surprise_time,Allocation_time,Probabilities_score,Troop_allocation_score,Number_probability_sets,Number_groups,Max_probs_in_set,Layer_type_1,Layer_type_2,Layer_type_3,Layer_type_4,Layer_type_5,Layer_Surprise_1,Layer_Surprise_2,Layer_Surprise_3,Layer_Surprise_4,Layer_Surprise_5,Layer_Surprise_Time_1,Layer_Surprise_Time_2,Layer_Surprise_Time_3,Layer_Surprise_Time_4,Layer_Surprise_Time_5,Center_X_1,Center_X_2,Center_X_3,Center_X_4,Center_Y_1,Center_Y_2,Center_Y_3,Center_Y_4,Circle_R_1,Circle_R_2,Circle_R_3,Circle_R_4,Human_probs_1_1,Human_probs_1_2,Human_probs_1_3,Human_probs_1_4,Human_probs_2_1,Human_probs_2_2,Human_probs_2_3,Human_probs_2_4,Human_probs_3_1,Human_probs_3_2,Human_probs_3_3,Human_probs_3_4,Human_probs_4_1,Human_probs_4_2,Human_probs_4_3,Human_probs_4_4,Human_probs_5_1,Human_probs_5_2,Human_probs_5_3,Human_probs_5_4,Raw_human_probs_1_1,Raw_human_probs_1_2,Raw_human_probs_1_3,Raw_human_probs_1_4,Raw_human_probs_2_1,Raw_human_probs_2_2,Raw_human_probs_2_3,Raw_human_probs_2_4,Raw_human_probs_3_1,Raw_human_probs_3_2,Raw_human_probs_3_3,Raw_human_probs_3_4,Raw_human_probs_4_1,Raw_human_probs_4_2,Raw_human_probs_4_3,Raw_human_probs_4_4,Raw_human_probs_5_1,Raw_human_probs_5_2,Raw_human_probs_5_3,Raw_human_probs_5_4,Normative_probs_1_1,Normative_probs_1_2,Normative_probs_1_3,Normative_probs_1_4,Normative_probs_2_1,Normative_probs_2_2,Normative_probs_2_3,Normative_probs_2_4,Normative_probs_3_1,Normative_probs_3_2,Normative_probs_3_3,Normative_probs_3_4,Normative_probs_4_1,Normative_probs_4_2,Normative_probs_4_3,Normative_probs_4_4,Normative_probs_5_1,Normative_probs_5_2,Normative_probs_5_3,Normative_probs_5_4,Norm_allocation_1,Norm_allocation_2,Norm_allocation_3,Norm_allocation_4,Raw_allocation_1,Raw_allocation_2,Raw_allocation_3,Raw_allocation_4
4,6,1,1,336519,21034,6554,101594,70.9964,20,4,4,4,ns3:ImintLayer,ns3:MovintLayer,ns3:SigintLayer,NaN,NaN,0,5,0,NaN,NaN,6990,13048,37042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,35,15,25,30,40,10,20,35,35,15,15,60,20,10,10,NaN,NaN,NaN,NaN,25,35,15,25,30,40,10,20,35,35,15,15,60,20,10,10,NaN,NaN,NaN,NaN,15.8022,50.481,6.8795,26.8374,21.1507,67.5671,2.302,8.9802,49.6617,39.6618,5.4051,5.2714,87.3512,9.966,1.3582,1.3246,NaN,NaN,NaN,NaN,60,20,10,10,60,20,10,10
4,6,2,1,202072,32720,3914,27733,26.6234,30,4,4,4,ns3:ImintLayer,ns3:MovintLayer,ns3:SigintLayer,NaN,NaN,0,4,1,NaN,NaN,7393,19766,3647,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,25,35,15,20,20,45,15,20,25,35,20,15,25,35,25,NaN,NaN,NaN,NaN,25,25,35,15,20,20,45,15,20,25,35,20,15,25,35,25,NaN,NaN,NaN,NaN,29.7646,2.6251,67.0287,0.58162,9.8288,0.86685,88.5361,0.76825,9.3692,3.3053,84.3962,2.9293,9.5558,3.3711,86.0772,0.99588,NaN,NaN,NaN,NaN,10,25,30,35,10,25,30,35
4,6,3,1,158148,9762,5146,17962,87.5428,30,4,4,4,ns3:ImintLayer,ns3:MovintLayer,ns3:SigintLayer,NaN,NaN,0,0,1,NaN,NaN,17207,9044,5038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,30,29,29,10,20,35,35,0,25,35,40,0,30,30,40,NaN,NaN,NaN,NaN,10,25,25,25,10,20,35,35,0,25,35,40,0,30,30,40,NaN,NaN,NaN,NaN,15.0668,24.0153,32.5391,28.3788,5.3286,8.4934,46.0317,40.1463,2.1668,13.8149,18.7182,65.3,3.8373,24.4656,33.1492,38.5479,NaN,NaN,NaN,NaN,0,30,30,40,0,30,30,40
4,6,4,0,170847,33218,3670,20174,70.8791,90,4,4,4,ns3:ImintLayer,ns3:MovintLayer,ns3:SigintLayer,NaN,NaN,0,0,0,NaN,NaN,6898,13202,2545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29,31,30,10,35,35,20,10,30,45,20,5,5,90,0,5,NaN,NaN,NaN,NaN,29,31,30,10,35,35,20,10,30,45,20,5,5,90,0,5,NaN,NaN,NaN,NaN,15.6944,44.4207,34.6502,5.2347,22.393,63.3799,12.3598,1.8672,7.5718,85.7234,4.1793,2.5255,1.2325,97.6761,0.68029,0.41109,NaN,NaN,NaN,NaN,5,90,0,5,5,90,0,5
4,6,5,5,175946,22612,4528,43664,57.3229,15,4,4,4,ns3:ImintLayer,ns3:MovintLayer,ns3:SigintLayer,NaN,NaN,0,0,0,NaN,NaN,6974,8037,2900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31,29,10,30,25,25,10,40,15,30,10,45,10,20,10,60,NaN,NaN,NaN,NaN,31,29,10,30,25,25,10,40,15,30,10,45,10,20,10,60,NaN,NaN,NaN,NaN,39.4961,24.1299,0.00015107,36.3739,18.8866,11.5387,0.00028895,69.5744,5.5009,13.4429,8.4159e-005,81.0562,0.93817,2.2927,1.4353e-005,96.7691,NaN,NaN,NaN,NaN,15,15,10,60,15,15,10,60
4,6,6,1,128257,14863,5118,39083,75.5976,25,4,4,4,ns3:ImintLayer,ns3:MovintLayer,ns3:SigintLayer,NaN,NaN,2,0,3,NaN,NaN,6990,6745,6249,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,25,35,20,25,30,30,15,30,25,35,10,30,25,35,10,NaN,NaN,NaN,NaN,20,25,35,20,25,30,30,15,30,25,35,10,30,25,35,10,NaN,NaN,NaN,NaN,4.2951,22.2975,48.2634,25.1441,9.5565,49.6112,26.8461,13.9862,18.2717,23.7138,51.3291,6.6853,6.9354,27.0031,58.4489,7.6126,NaN,NaN,NaN,NaN,30,25,35,10,30,25,35,10
4,6,7,1,109959,11461,4923,19564,70.1924,30,4,4,4,ns3:ImintLayer,ns3:MovintLayer,ns3:SigintLayer,NaN,NaN,0,0,5,NaN,NaN,7284,7698,4634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,25,25,25,30,30,20,20,35,25,25,15,35,25,25,15,NaN,NaN,NaN,NaN,25,25,25,25,30,30,20,20,35,25,25,15,35,25,25,15,NaN,NaN,NaN,NaN,4.8859,12.8277,19.7589,62.5275,12.7619,33.5056,12.9025,40.8301,28.8415,18.9305,29.1593,23.0687,11.9024,23.4368,36.1006,28.5602,NaN,NaN,NaN,NaN,30,25,25,20,30,25,25,20
4,6,8,2,106724,3846,12028,11390,54.1058,24,4,4,4,ns3:ImintLayer,ns3:MovintLayer,ns3:SigintLayer,NaN,NaN,0,0,0,NaN,NaN,5348,4342,3723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,25,25,25,30,30,20,20,25,35,15,25,30,40,0,30,NaN,NaN,NaN,NaN,25,25,25,25,30,30,20,20,25,35,15,25,30,40,0,30,NaN,NaN,NaN,NaN,43.5908,12.8179,0.0004753,43.5908,64.7646,19.0441,0.00017654,16.1911,31.4841,37.0318,8.5824e-005,31.4841,41.8048,16.3903,0.00011396,41.8048,NaN,NaN,NaN,NaN,24,32,20,24,30,40,25,30
4,6,9,6,124166,4964,6157,36258,33.9977,10,4,4,4,ns3:ImintLayer,ns3:MovintLayer,ns3:SigintLayer,NaN,NaN,0,0,0,NaN,NaN,5631,6331,4496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,25,25,25,30,30,20,20,35,25,25,15,40,20,25,15,NaN,NaN,NaN,NaN,25,25,25,25,30,30,20,20,35,25,25,15,40,20,25,15,NaN,NaN,NaN,NaN,1.5503,6.3575,53.562,38.5301,5.0121,20.554,43.2917,31.1421,8.186,8.3924,70.7059,12.7157,2.8862,8.8769,74.7873,13.4497,NaN,NaN,NaN,NaN,50,20,20,10,50,20,20,10
4,6,10,4,250284,4810,5310,31976,41.7202,20,4,4,4,ns3:ImintLayer,ns3:MovintLayer,ns3:SigintLayer,NaN,NaN,0,0,0,NaN,NaN,10707,7563,4557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,25,25,25,20,18,32,30,17,25,25,33,15,35,20,30,NaN,NaN,NaN,NaN,25,25,25,25,20,19,33,31,17,26,26,35,15,35,20,30,NaN,NaN,NaN,NaN,0.87569,60.202,17.5755,21.3469,0.40398,27.7727,32.432,39.3913,0.13399,36.847,10.7572,52.2619,0.041732,80.3312,3.3503,16.2768,NaN,NaN,NaN,NaN,5,50,20,25,5,50,20,25
4,6,11,6,153751,6492,7378,21265,13.7828,10,4,4,4,ns3:ImintLayer,ns3:MovintLayer,ns3:SigintLayer,NaN,NaN,5,1,0,NaN,NaN,10444,9452,2580,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,25,25,25,25,25,25,25,25,20,30,25,20,15,50,15,NaN,NaN,NaN,NaN,25,25,25,25,25,25,25,25,25,20,30,25,20,15,50,15,NaN,NaN,NaN,NaN,0.011933,0.15654,75.1559,24.6756,0.047493,0.62302,74.778,24.5515,0.058547,0.19201,92.1829,7.5665,0.0089645,0.029399,98.8031,1.1586,NaN,NaN,NaN,NaN,25,10,45,20,25,10,45,20
4,6,12,0,112885,3040,3646,16794,30.9937,45,4,4,4,ns3:ImintLayer,ns3:MovintLayer,ns3:SigintLayer,NaN,NaN,0,0,0,NaN,NaN,3131,5022,4697,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,25,25,25,25,25,25,25,25,10,45,20,45,5,45,5,NaN,NaN,NaN,NaN,25,25,25,25,25,25,25,25,25,10,45,20,45,5,45,5,NaN,NaN,NaN,NaN,77.4219,0.070427,20.4262,2.0815,46.2157,0.04204,48.7723,4.97,48.0208,0.010921,50.6773,1.291,86.6076,0.0028137,13.057,0.33263,NaN,NaN,NaN,NaN,45,5,45,5,45,5,45,5
