ObjectId,ObjectType,X,Y
1,Road,0,17
1,Road,1,17
1,Road,2,17
1,Road,3,17
1,Road,4,17
1,Road,5,17
1,Road,6,17
1,Road,7,17
1,Road,8,17
1,Road,9,17
1,Road,10,17
1,Road,11,17
1,Road,12,17
1,Road,13,17
1,Road,14,17
1,Road,15,17
1,Road,16,17
1,Road,17,17
1,Road,18,17
1,Road,19,17
1,Road,20,17
1,Road,21,17
1,Road,22,17
1,Road,23,17
1,Road,24,17
1,Road,25,17
1,Road,26,17
1,Road,27,17
1,Road,28,17
1,Road,29,17
1,Road,30,17
1,Road,31,17
1,Road,32,17
1,Road,33,17
1,Road,34,17
1,Road,35,17
1,Road,36,17
1,Road,37,17
1,Road,38,17
1,Road,39,17
1,Road,40,17
1,Road,41,17
1,Road,42,17
1,Road,43,17
1,Road,44,17
1,Road,45,17
1,Road,46,17
1,Road,47,17
1,Road,48,17
1,Road,49,17
1,Road,50,17
1,Road,51,17
1,Road,52,17
1,Road,53,17
1,Road,54,17
1,Road,55,17
1,Road,56,17
1,Road,57,17
1,Road,58,17
1,Road,59,17
1,Road,60,17
1,Road,61,17
1,Road,62,17
1,Road,63,17
1,Road,64,17
1,Road,65,17
1,Road,66,17
1,Road,67,17
1,Road,68,17
1,Road,69,17
1,Road,70,17
1,Road,71,17
1,Road,72,17
1,Road,73,17
1,Road,74,17
1,Road,75,17
1,Road,76,17
1,Road,77,17
1,Road,78,17
1,Road,79,17
1,Road,80,17
1,Road,81,17
1,Road,82,17
1,Road,83,17
1,Road,84,17
1,Road,85,17
1,Road,86,17
1,Road,87,17
1,Road,88,17
1,Road,89,17
1,Road,90,17
1,Road,91,17
1,Road,92,17
1,Road,93,17
1,Road,94,17
1,Road,95,17
1,Road,96,17
1,Road,97,17
1,Road,98,17
1,Road,99,17
2,Road,19,0
2,Road,19,1
2,Road,19,2
2,Road,19,3
2,Road,19,4
2,Road,19,5
2,Road,19,6
2,Road,19,7
2,Road,19,8
2,Road,19,9
2,Road,19,10
2,Road,19,11
2,Road,19,12
2,Road,19,13
2,Road,19,14
2,Road,19,15
2,Road,19,16
2,Road,19,17
2,Road,19,18
2,Road,19,19
2,Road,19,20
2,Road,19,21
2,Road,19,22
2,Road,19,23
2,Road,19,24
2,Road,19,25
2,Road,19,26
2,Road,20,27
2,Road,20,28
2,Road,20,29
2,Road,20,30
2,Road,20,31
2,Road,20,32
2,Road,20,33
2,Road,20,34
2,Road,20,35
2,Road,20,36
2,Road,20,37
2,Road,20,38
2,Road,20,39
2,Road,20,40
2,Road,20,41
2,Road,20,42
