ObjectId,ObjectType,X,Y
1,Road,44,0
1,Road,44,1
1,Road,44,2
1,Road,44,3
1,Road,44,4
1,Road,44,5
1,Road,44,6
1,Road,44,7
1,Road,44,8
1,Road,44,9
1,Road,44,10
1,Road,44,11
1,Road,44,12
1,Road,44,13
1,Road,44,14
1,Road,44,15
1,Road,44,16
1,Road,44,17
1,Road,44,18
1,Road,44,19
1,Road,44,20
1,Road,44,21
1,Road,44,22
1,Road,44,23
1,Road,44,24
1,Road,44,25
1,Road,44,26
1,Road,44,27
1,Road,44,28
1,Road,44,29
1,Road,44,30
1,Road,44,31
1,Road,44,32
1,Road,44,33
1,Road,44,34
1,Road,44,35
1,Road,44,36
1,Road,44,37
1,Road,44,38
1,Road,44,39
1,Road,44,40
1,Road,44,41
1,Road,44,42
1,Road,44,43
1,Road,44,44
1,Road,44,45
1,Road,44,46
1,Road,44,47
1,Road,44,48
1,Road,44,49
1,Road,44,50
1,Road,44,51
1,Road,44,52
1,Road,44,53
1,Road,44,54
1,Road,44,55
1,Road,44,56
1,Road,44,57
1,Road,44,58
1,Road,44,59
1,Road,44,60
1,Road,44,61
1,Road,44,62
1,Road,44,63
1,Road,44,64
1,Road,44,65
1,Road,44,66
1,Road,44,67
1,Road,44,68
1,Road,44,69
1,Road,44,70
1,Road,44,71
1,Road,44,72
1,Road,44,73
1,Road,44,74
1,Road,43,75
1,Road,43,76
1,Road,43,77
1,Road,43,78
1,Road,43,79
1,Road,43,80
1,Road,43,81
1,Road,43,82
1,Road,43,83
1,Road,43,84
1,Road,43,85
1,Road,43,86
1,Road,43,87
1,Road,43,88
1,Road,43,89
1,Road,43,90
1,Road,43,91
1,Road,43,92
1,Road,43,93
1,Road,43,94
1,Road,43,95
1,Road,43,96
1,Road,43,97
1,Road,43,98
1,Road,43,99
2,Road,0,36
2,Road,1,36
2,Road,2,36
2,Road,3,36
2,Road,4,36
2,Road,5,36
2,Road,6,36
2,Road,7,36
2,Road,8,36
2,Road,9,36
2,Road,10,36
2,Road,11,36
2,Road,12,36
2,Road,13,36
2,Road,14,36
2,Road,15,36
2,Road,16,36
2,Road,17,36
2,Road,18,36
2,Road,19,36
2,Road,20,36
2,Road,21,36
2,Road,22,36
2,Road,23,36
2,Road,24,36
2,Road,25,36
2,Road,26,36
2,Road,27,36
2,Road,28,36
2,Road,29,36
2,Road,30,36
2,Road,31,36
2,Road,32,36
2,Road,33,36
2,Road,34,36
2,Road,35,36
2,Road,36,36
2,Road,37,36
2,Road,38,36
2,Road,39,36
2,Road,40,36
2,Road,41,36
2,Road,42,36
2,Road,43,36
2,Road,44,36
2,Road,45,36
2,Road,46,36
2,Road,47,36
2,Road,48,36
2,Road,49,36
2,Road,50,36
2,Road,51,36
2,Road,52,36
2,Road,53,36
2,Road,54,36
2,Road,55,36
2,Road,56,36
2,Road,57,36
2,Road,58,36
2,Road,58,35
2,Road,59,35
2,Road,59,34
2,Road,59,33
2,Road,59,32
2,Road,59,31
2,Road,59,30
2,Road,59,29
2,Road,59,28
2,Road,59,27
2,Road,59,26
2,Road,60,25
2,Road,60,24
2,Road,60,23
2,Road,60,22
2,Road,60,21
2,Road,60,20
2,Road,60,19
2,Road,60,18
2,Road,60,17
2,Road,61,17
2,Road,61,16
2,Road,61,15
2,Road,61,14
2,Road,62,14
2,Road,62,13
2,Road,62,12
2,Road,62,11
2,Road,62,10
2,Road,63,10
2,Road,63,9
2,Road,63,8
2,Road,63,7
2,Road,64,7
2,Road,64,6
2,Road,65,6
2,Road,66,6
2,Road,67,6
2,Road,68,6
2,Road,69,6
2,Road,70,6
2,Road,71,6
2,Road,72,6
2,Road,73,6
2,Road,74,6
2,Road,75,6
2,Road,76,6
2,Road,77,6
2,Road,78,6
2,Road,79,6
2,Road,80,6
2,Road,81,6
2,Road,82,6
2,Road,83,6
2,Road,84,6
2,Road,85,6
2,Road,86,6
2,Road,87,6
2,Road,88,6
2,Road,89,6
2,Road,90,6
2,Road,91,6
2,Road,92,6
2,Road,93,6
2,Road,94,6
2,Road,95,6
2,Road,96,6
2,Road,97,6
2,Road,98,6
2,Road,99,6
3,Road,0,89
3,Road,1,89
3,Road,2,89
3,Road,3,89
3,Road,4,89
3,Road,5,89
3,Road,6,89
3,Road,7,89
3,Road,8,89
3,Road,9,89
3,Road,10,89
3,Road,11,89
3,Road,12,89
3,Road,13,89
3,Road,14,89
3,Road,15,89
3,Road,16,89
3,Road,17,89
3,Road,18,89
3,Road,19,89
3,Road,20,89
3,Road,21,89
3,Road,22,89
3,Road,23,89
3,Road,24,89
3,Road,25,89
3,Road,26,89
3,Road,27,89
3,Road,28,89
3,Road,29,89
3,Road,30,89
3,Road,31,89
3,Road,32,89
3,Road,33,89
3,Road,34,89
3,Road,35,89
3,Road,36,89
3,Road,37,89
3,Road,38,89
3,Road,39,89
3,Road,40,89
3,Road,41,89
3,Road,42,89
3,Road,43,89
3,Road,44,89
3,Road,45,88
3,Road,46,88
3,Road,47,88
3,Road,48,88
3,Road,49,88
3,Road,50,87
3,Road,51,87
3,Road,52,87
3,Road,53,87
3,Road,54,87
3,Road,54,86
3,Road,55,86
3,Road,56,86
3,Road,56,85
3,Road,57,84
3,Road,58,84
3,Road,59,84
3,Road,60,83
3,Road,61,82
3,Road,62,82
3,Road,62,81
3,Road,62,80
3,Road,63,80
3,Road,64,80
3,Road,65,79
3,Road,66,78
3,Road,67,77
3,Road,67,76
3,Road,67,75
3,Road,68,74
3,Road,68,73
3,Road,68,72
3,Road,69,71
3,Road,70,70
3,Road,70,69
3,Road,71,68
3,Road,72,67
3,Road,72,66
3,Road,73,65
3,Road,74,65
3,Road,74,64
3,Road,75,63
3,Road,76,63
3,Road,76,62
3,Road,77,61
3,Road,78,61
3,Road,78,60
3,Road,78,59
3,Road,79,58
3,Road,80,57
3,Road,81,56
3,Road,81,55
3,Road,82,55
3,Road,83,54
3,Road,84,54
3,Road,85,54
3,Road,86,53
3,Road,87,53
3,Road,88,53
3,Road,89,53
3,Road,90,53
3,Road,91,53
3,Road,92,53
3,Road,93,53
3,Road,94,53
3,Road,95,53
3,Road,96,53
3,Road,97,53
3,Road,98,53
3,Road,99,53
4,Road,76,0
4,Road,76,1
4,Road,76,2
4,Road,76,3
4,Road,76,4
4,Road,76,5
4,Road,76,6
4,Road,76,7
4,Road,76,8
4,Road,75,9
4,Road,75,10
4,Road,75,11
4,Road,75,12
4,Road,74,12
4,Road,74,13
4,Road,74,14
4,Road,73,14
4,Road,73,15
4,Road,72,15
4,Road,71,15
4,Road,70,15
4,Road,70,16
4,Road,69,16
4,Road,68,16
4,Road,67,16
4,Road,67,17
4,Road,66,17
4,Road,65,17
4,Road,64,17
4,Road,63,17
4,Road,62,17
4,Road,61,17
4,Road,60,17
4,Road,59,17
4,Road,58,17
4,Road,57,17
4,Road,56,17
4,Road,55,17
4,Road,54,17
4,Road,53,17
4,Road,52,17
4,Road,51,17
4,Road,50,17
4,Road,49,17
4,Road,48,17
4,Road,47,17
4,Road,46,17
4,Road,45,17
4,Road,44,17
4,Road,43,17
4,Road,42,17
4,Road,41,17
4,Road,40,17
4,Road,39,17
4,Road,38,17
4,Road,37,17
4,Road,36,18
4,Road,35,18
4,Road,34,18
4,Road,33,18
4,Road,32,18
4,Road,32,19
4,Road,31,19
4,Road,30,19
4,Road,29,20
4,Road,28,21
4,Road,28,22
4,Road,27,23
4,Road,27,24
4,Road,26,24
4,Road,26,25
4,Road,26,26
4,Road,25,26
4,Road,25,27
4,Road,25,28
4,Road,25,29
4,Road,24,29
4,Road,24,30
4,Road,24,31
4,Road,24,32
4,Road,24,33
4,Road,24,34
4,Road,24,35
4,Road,24,36
4,Road,24,37
4,Road,24,38
4,Road,24,39
4,Road,24,40
4,Road,24,41
4,Road,24,42
4,Road,24,43
4,Road,24,44
4,Road,24,45
4,Road,24,46
4,Road,24,47
4,Road,24,48
4,Road,24,49
4,Road,24,50
4,Road,24,51
4,Road,24,52
4,Road,24,53
4,Road,24,54
4,Road,24,55
4,Road,24,56
4,Road,24,57
4,Road,24,58
4,Road,24,59
4,Road,24,60
4,Road,24,61
4,Road,24,62
4,Road,24,63
4,Road,24,64
4,Road,24,65
4,Road,24,66
4,Road,24,67
4,Road,24,68
4,Road,24,69
4,Road,24,70
4,Road,24,71
4,Road,24,72
4,Road,24,73
4,Road,24,74
4,Road,25,74
4,Road,25,75
4,Road,26,76
4,Road,26,77
4,Road,27,77
4,Road,28,77
4,Road,28,78
4,Road,29,79
4,Road,30,79
4,Road,31,79
4,Road,32,79
4,Road,33,80
4,Road,34,81
4,Road,35,81
4,Road,36,81
4,Road,37,81
4,Road,38,81
4,Road,38,82
4,Road,39,82
4,Road,40,82
4,Road,41,82
4,Road,42,82
4,Road,43,82
4,Road,44,82
4,Road,45,82
4,Road,46,82
4,Road,47,82
4,Road,48,82
4,Road,49,82
4,Road,50,82
4,Road,51,82
4,Road,52,82
4,Road,53,82
4,Road,54,82
4,Road,55,82
4,Road,56,82
4,Road,57,82
4,Road,58,82
4,Road,59,82
4,Road,60,82
4,Road,61,82
4,Road,62,82
4,Road,63,82
4,Road,64,82
4,Road,65,82
4,Road,66,82
4,Road,67,82
4,Road,68,82
4,Road,69,82
4,Road,70,82
4,Road,71,82
4,Road,72,82
4,Road,73,82
4,Road,74,82
4,Road,75,82
4,Road,75,83
4,Road,75,84
4,Road,76,84
4,Road,77,84
4,Road,77,85
4,Road,77,86
4,Road,77,87
4,Road,78,87
4,Road,78,88
4,Road,78,89
4,Road,78,90
4,Road,78,91
4,Road,79,91
4,Road,79,92
4,Road,79,93
4,Road,79,94
4,Road,79,95
4,Road,79,96
4,Road,79,97
4,Road,79,98
4,Road,79,99
