ObjectId,ObjectType,X,Y
1,Road,16,0
1,Road,16,1
1,Road,16,2
1,Road,17,3
1,Road,18,3
1,Road,18,4
1,Road,19,4
1,Road,19,5
1,Road,19,6
1,Road,20,6
1,Road,21,6
1,Road,22,7
1,Road,23,7
1,Road,23,8
1,Road,23,9
1,Road,24,9
1,Road,24,10
1,Road,25,11
1,Road,26,11
1,Road,26,12
1,Road,26,13
1,Road,27,14
1,Road,28,15
1,Road,28,16
1,Road,29,17
1,Road,29,18
1,Road,30,19
1,Road,30,20
1,Road,30,21
1,Road,31,22
1,Road,32,23
1,Road,32,24
1,Road,33,25
1,Road,33,26
1,Road,33,27
1,Road,34,28
1,Road,34,29
1,Road,35,30
1,Road,36,30
1,Road,36,31
1,Road,36,32
1,Road,37,33
1,Road,37,34
1,Road,37,35
1,Road,38,36
1,Road,38,37
1,Road,39,38
1,Road,39,39
1,Road,40,40
1,Road,41,41
1,Road,42,42
1,Road,42,43
1,Road,43,44
1,Road,44,45
1,Road,44,46
1,Road,44,47
1,Road,44,48
1,Road,45,49
1,Road,46,49
1,Road,47,50
1,Road,47,51
1,Road,48,52
1,Road,48,53
1,Road,49,54
1,Road,50,55
1,Road,50,56
1,Road,51,57
1,Road,52,57
1,Road,53,58
1,Road,54,58
1,Road,55,58
1,Road,56,59
1,Road,57,60
1,Road,58,60
1,Road,59,60
1,Road,60,60
1,Road,61,60
1,Road,62,60
1,Road,63,60
1,Road,64,60
1,Road,65,60
1,Road,66,60
1,Road,67,60
1,Road,68,60
1,Road,69,60
1,Road,70,60
1,Road,71,60
1,Road,72,60
1,Road,73,61
1,Road,74,61
1,Road,75,61
1,Road,76,61
1,Road,77,61
1,Road,78,61
1,Road,79,61
1,Road,80,61
1,Road,81,61
1,Road,82,61
1,Road,83,61
1,Road,84,61
1,Road,85,61
1,Road,86,61
1,Road,87,61
1,Road,88,61
1,Road,89,61
1,Road,90,61
1,Road,91,61
1,Road,92,61
1,Road,93,61
1,Road,94,61
1,Road,95,61
1,Road,96,61
1,Road,97,61
1,Road,98,61
1,Road,99,61
2,Road,0,20
2,Road,1,20
2,Road,2,20
2,Road,3,21
2,Road,4,21
2,Road,5,21
2,Road,6,22
2,Road,7,22
2,Road,8,22
2,Road,9,22
2,Road,10,22
2,Road,11,22
2,Road,12,22
2,Road,13,22
2,Road,14,23
2,Road,15,23
2,Road,16,23
2,Road,17,23
2,Road,18,23
2,Road,19,23
2,Road,20,23
2,Road,21,23
2,Road,22,23
2,Road,23,24
2,Road,24,24
2,Road,25,24
2,Road,26,24
2,Road,27,24
2,Road,28,24
2,Road,29,24
2,Road,30,24
2,Road,31,24
2,Road,32,24
2,Road,33,24
2,Road,34,24
2,Road,35,24
2,Road,36,24
2,Road,37,24
2,Road,38,24
2,Road,39,24
2,Road,40,24
2,Road,41,24
2,Road,42,24
2,Road,43,24
2,Road,44,24
2,Road,45,24
2,Road,46,24
2,Road,47,24
2,Road,48,24
2,Road,49,24
2,Road,50,24
2,Road,51,24
2,Road,52,24
2,Road,53,24
2,Road,54,24
2,Road,55,24
2,Road,56,24
2,Road,57,25
2,Road,58,25
2,Road,59,25
2,Road,60,25
2,Road,61,25
2,Road,62,25
2,Road,63,25
2,Road,64,25
2,Road,65,25
2,Road,66,25
2,Road,67,25
2,Road,68,25
2,Road,69,25
2,Road,70,25
2,Road,71,25
2,Road,72,25
2,Road,73,25
2,Road,74,25
2,Road,75,25
2,Road,76,25
2,Road,77,25
2,Road,78,25
2,Road,79,25
2,Road,80,25
2,Road,81,25
2,Road,82,25
2,Road,83,25
2,Road,84,25
2,Road,85,25
2,Road,86,25
2,Road,87,25
2,Road,88,25
2,Road,89,25
2,Road,90,25
2,Road,91,25
2,Road,92,25
2,Road,93,25
2,Road,94,25
2,Road,95,25
2,Road,96,25
2,Road,97,25
2,Road,98,25
2,Road,99,25
3,Road,75,0
3,Road,75,1
3,Road,75,2
3,Road,75,3
3,Road,75,4
3,Road,75,5
3,Road,75,6
3,Road,75,7
3,Road,75,8
3,Road,75,9
3,Road,75,10
3,Road,75,11
3,Road,75,12
3,Road,75,13
3,Road,75,14
3,Road,74,15
3,Road,74,16
3,Road,73,16
3,Road,73,17
3,Road,73,18
3,Road,73,19
3,Road,72,20
3,Road,71,21
3,Road,71,22
3,Road,70,23
3,Road,70,24
3,Road,69,25
3,Road,69,26
3,Road,69,27
3,Road,68,28
3,Road,68,29
3,Road,67,30
3,Road,66,31
3,Road,66,32
3,Road,65,32
3,Road,64,33
3,Road,64,34
3,Road,64,35
3,Road,63,36
3,Road,62,37
3,Road,61,38
3,Road,61,39
3,Road,60,40
3,Road,59,41
