ObjectID,ObjectType,X,Y
1,Road,16,1
1,Road,16,2
1,Road,16,3
1,Road,16,4
1,Road,16,5
1,Road,16,6
1,Road,16,7
1,Road,16,8
1,Road,16,9
1,Road,16,10
1,Road,16,11
1,Road,16,12
1,Road,17,12
1,Road,17,13
1,Road,18,13
1,Road,18,14
1,Road,18,15
1,Road,19,15
1,Road,19,16
1,Road,20,16
1,Road,21,16
1,Road,22,17
1,Road,23,17
1,Road,24,17
1,Road,25,17
1,Road,26,18
1,Road,27,19
1,Road,28,19
1,Road,29,19
1,Road,30,19
1,Road,30,20
1,Road,31,20
1,Road,32,20
1,Road,33,21
1,Road,34,21
1,Road,34,22
1,Road,35,22
1,Road,36,23
1,Road,37,23
1,Road,38,23
1,Road,38,24
1,Road,38,25
1,Road,39,25
1,Road,40,26
1,Road,40,27
1,Road,41,28
1,Road,41,29
1,Road,41,30
1,Road,41,31
1,Road,41,32
1,Road,42,32
1,Road,42,33
1,Road,42,34
1,Road,42,35
1,Road,42,36
1,Road,42,37
1,Road,43,37
1,Road,43,38
1,Road,43,39
1,Road,43,40
1,Road,43,41
1,Road,43,42
1,Road,43,43
1,Road,43,44
1,Road,43,45
1,Road,43,46
1,Road,43,47
1,Road,43,48
1,Road,43,49
1,Road,43,50
1,Road,43,51
1,Road,43,52
1,Road,43,53
1,Road,43,54
1,Road,43,55
1,Road,43,56
1,Road,43,57
1,Road,43,58
1,Road,43,59
1,Road,43,60
1,Road,43,61
1,Road,44,62
1,Road,44,63
1,Road,45,63
1,Road,45,64
1,Road,46,65
1,Road,47,65
1,Road,48,65
1,Road,49,65
1,Road,50,65
1,Road,51,66
1,Road,52,66
1,Road,52,67
1,Road,53,67
1,Road,54,67
1,Road,55,67
1,Road,56,67
1,Road,57,67
1,Road,58,67
1,Road,59,67
1,Road,60,67
1,Road,61,67
1,Road,62,67
1,Road,63,67
1,Road,64,67
1,Road,65,67
1,Road,66,67
1,Road,67,67
1,Road,68,67
1,Road,69,67
1,Road,70,67
1,Road,71,67
1,Road,72,67
1,Road,73,67
1,Road,74,67
1,Road,74,68
1,Road,75,68
1,Road,76,68
1,Road,77,68
1,Road,78,68
1,Road,79,68
1,Road,79,69
1,Road,80,69
1,Road,80,70
1,Road,80,71
1,Road,80,72
1,Road,81,72
1,Road,81,73
1,Road,81,74
1,Road,81,75
1,Road,82,76
1,Road,82,77
1,Road,83,77
1,Road,83,78
1,Road,83,79
1,Road,83,80
1,Road,84,80
1,Road,84,81
1,Road,84,82
1,Road,85,82
1,Road,85,83
1,Road,85,84
1,Road,85,85
1,Road,86,86
1,Road,87,87
1,Road,87,88
1,Road,87,89
1,Road,87,90
1,Road,87,91
1,Road,88,91
1,Road,88,92
1,Road,88,93
1,Road,88,94
1,Road,88,95
1,Road,88,96
1,Road,88,97
1,Road,88,98
1,Road,88,99
1,Road,89,99
1,Road,89,100
1,Road,90,100
2,Road,1,86
2,Road,2,86
2,Road,3,85
2,Road,4,85
2,Road,5,85
2,Road,6,85
2,Road,7,85
2,Road,8,85
2,Road,9,85
2,Road,10,85
2,Road,11,85
2,Road,12,85
2,Road,13,85
2,Road,14,85
2,Road,15,85
2,Road,16,85
2,Road,17,85
2,Road,18,85
2,Road,19,85
2,Road,20,85
2,Road,21,85
2,Road,22,85
2,Road,23,85
2,Road,24,85
2,Road,25,85
2,Road,26,85
2,Road,27,85
2,Road,28,85
2,Road,29,85
2,Road,30,85
2,Road,31,85
2,Road,32,85
2,Road,33,85
2,Road,34,85
2,Road,35,85
2,Road,36,85
2,Road,37,85
2,Road,38,85
2,Road,39,85
2,Road,40,85
2,Road,41,85
2,Road,42,85
2,Road,43,85
2,Road,44,85
2,Road,45,85
2,Road,46,85
2,Road,47,85
2,Road,48,85
2,Road,49,85
2,Road,50,85
2,Road,51,85
2,Road,52,85
2,Road,53,85
2,Road,54,85
2,Road,55,85
2,Road,56,85
2,Road,57,85
2,Road,58,85
2,Road,59,85
2,Road,60,85
2,Road,61,85
2,Road,62,85
2,Road,63,85
2,Road,64,85
2,Road,65,85
2,Road,66,85
2,Road,67,85
2,Road,68,85
2,Road,69,85
2,Road,70,85
2,Road,71,85
2,Road,72,85
2,Road,73,85
2,Road,74,85
2,Road,75,85
2,Road,76,85
2,Road,77,84
2,Road,78,84
2,Road,79,84
2,Road,80,84
2,Road,81,84
2,Road,82,84
2,Road,83,84
2,Road,84,84
2,Road,85,84
2,Road,86,84
2,Road,87,84
2,Road,88,84
2,Road,89,84
2,Road,90,84
2,Road,91,84
