site_id,response_generator_id,data_type,exam_id,task_number,trial_number,AA_measured,AA_magnitude,AA_exhibited,PDE_measured,PDE_magnitude,PDE_exhibited,RR_1_measured,RR_1_magnitude,RR_1_exhibited,RR_2_measured,RR_2_magnitude,RR_2_exhibited,AV_measured,AV_magnitude,AV_exhibited
PSU,103,Human_Single,Final-Exam-1,3,1,0,NaN,NaN,0,NaN,NaN,1,0.1,1,1,0.1,1,0,NaN,NaN
PSU,103,Human_Single,Final-Exam-1,3,2,0,NaN,NaN,0,NaN,NaN,1,0.13,1,1,0.22999999999999998,1,0,NaN,NaN
PSU,103,Human_Single,Final-Exam-1,3,3,0,NaN,NaN,0,NaN,NaN,1,0.08,1,1,0.08,1,0,NaN,NaN
PSU,103,Human_Single,Final-Exam-1,3,4,0,NaN,NaN,0,NaN,NaN,1,-0.07000000000000002,0,1,0.13999999999999996,1,0,NaN,NaN
PSU,103,Human_Single,Final-Exam-1,3,5,0,NaN,NaN,0,NaN,NaN,1,0.06999999999999998,1,1,0.06999999999999998,1,0,NaN,NaN
PSU,103,Human_Single,Final-Exam-1,3,6,0,NaN,NaN,0,NaN,NaN,1,0.06999999999999998,1,1,0.13,1,0,NaN,NaN
PSU,103,Human_Single,Final-Exam-1,3,7,0,NaN,NaN,0,NaN,NaN,1,0.18999999999999995,1,1,0.06999999999999998,1,0,NaN,NaN
PSU,103,Human_Single,Final-Exam-1,3,8,0,NaN,NaN,0,NaN,NaN,1,0.12000000000000005,1,1,0.030000000000000013,1,0,NaN,NaN
PSU,103,Human_Single,Final-Exam-1,3,9,0,NaN,NaN,0,NaN,NaN,1,0.13,1,1,0.009999999999999995,1,0,NaN,NaN
PSU,103,Human_Single,Final-Exam-1,3,10,0,NaN,NaN,0,NaN,NaN,1,0.12000000000000005,1,1,0.17000000000000004,1,0,NaN,NaN
PSU,104,Human_Single,Final-Exam-1,3,1,0,NaN,NaN,0,NaN,NaN,1,0.4445,1,1,0.34550000000000003,1,0,NaN,NaN
PSU,104,Human_Single,Final-Exam-1,3,2,0,NaN,NaN,0,NaN,NaN,1,0.08000000000000002,1,1,0.08000000000000002,1,0,NaN,NaN
PSU,104,Human_Single,Final-Exam-1,3,3,0,NaN,NaN,0,NaN,NaN,1,0.030000000000000013,1,1,0.030000000000000013,1,0,NaN,NaN
PSU,104,Human_Single,Final-Exam-1,3,4,0,NaN,NaN,0,NaN,NaN,1,0.12,1,1,0.24,1,0,NaN,NaN
PSU,104,Human_Single,Final-Exam-1,3,5,0,NaN,NaN,0,NaN,NaN,1,0.32,1,1,0.32,1,0,NaN,NaN
PSU,104,Human_Single,Final-Exam-1,3,6,0,NaN,NaN,0,NaN,NaN,1,0.32,1,1,0.28,1,0,NaN,NaN
PSU,104,Human_Single,Final-Exam-1,3,7,0,NaN,NaN,0,NaN,NaN,1,0.24,1,1,0.21999999999999997,1,0,NaN,NaN
PSU,104,Human_Single,Final-Exam-1,3,8,0,NaN,NaN,0,NaN,NaN,1,0.12000000000000005,1,1,0.030000000000000013,1,0,NaN,NaN
PSU,104,Human_Single,Final-Exam-1,3,9,0,NaN,NaN,0,NaN,NaN,1,0.18,1,1,0.06,1,0,NaN,NaN
PSU,104,Human_Single,Final-Exam-1,3,10,0,NaN,NaN,0,NaN,NaN,1,0.21500000000000002,1,1,0.21500000000000002,1,0,NaN,NaN
PSU,105,Human_Single,Final-Exam-1,3,1,0,NaN,NaN,0,NaN,NaN,1,0.0,0,1,0.0,0,0,NaN,NaN
PSU,105,Human_Single,Final-Exam-1,3,2,0,NaN,NaN,0,NaN,NaN,1,0.03,1,1,0.03,1,0,NaN,NaN
PSU,105,Human_Single,Final-Exam-1,3,3,0,NaN,NaN,0,NaN,NaN,1,1.3877787807814457E-17,0,1,1.3877787807814457E-17,0,0,NaN,NaN
PSU,105,Human_Single,Final-Exam-1,3,4,0,NaN,NaN,0,NaN,NaN,1,0.01999999999999999,1,1,0.03999999999999998,1,0,NaN,NaN
PSU,105,Human_Single,Final-Exam-1,3,5,0,NaN,NaN,0,NaN,NaN,1,0.01999999999999999,1,1,0.01999999999999999,1,0,NaN,NaN
PSU,105,Human_Single,Final-Exam-1,3,6,0,NaN,NaN,0,NaN,NaN,1,0.01999999999999999,1,1,0.03,1,0,NaN,NaN
PSU,105,Human_Single,Final-Exam-1,3,7,0,NaN,NaN,0,NaN,NaN,1,0.03999999999999998,1,1,0.01999999999999999,1,0,NaN,NaN
