site_id,subject_id,Age,Gender,AssociatesDegreeDiscipline,BachelorsDegreeDiscipline,CertificateDegreeDiscipline,MastersDegreeDiscipline,PhdDiscipline,CurrentDegree,CurrentDegreeDiscipline,HighestDegree,Job_1_Type,Job_1_Employer,Job_1_Title,Job_1_Years,Job_2_Type,Job_2_Employer,Job_2_Title,Job_2_Years,Job_3_Type,Job_3_Employer,Job_3_Title,Job_3_Years,Job_4_Type,Job_4_Employer,Job_4_Title,Job_4_Years,Job_5_Type,Job_5_Employer,Job_5_Title,Job_5_Years,Job_6_Type,Job_6_Employer,Job_6_Title,Job_6_Years,Job_7_Type,Job_7_Employer,Job_7_Title,Job_7_Years,Job_8_Type,Job_8_Employer,Job_8_Title,Job_8_Years,Job_9_Type,Job_9_Employer,Job_9_Title,Job_9_Years,Job_10_Type,Job_10_Employer,Job_10_Title,Job_10_Years,YearsExperience,YearsGeoIntExperience,ProbabilityAndStatsTraining,ProbabilityAndStatsFrequency,GeospatialDataFrequency,GeointAnalysisLevel,SpatialAbility,BIS,BASDrive,BASFunSeeking,BASRewardResponsiveness,BASTotal,FoxHedgehogScore,SNA,CRTScore,VGE
PSU,103,22,Female,,,,,,Bachelor,Geography,Bachelor,Other,Penn State's Sustainability Institute,Intern,1.5,Other,Penn State's Housing and Food Services,Conference Assistant  Desk Clerk,2,Other,Seven Stars Inn,Bus person,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,0,1,2,2,1,3,148,76,82,98,256,28,,0,
PSU,104,20,Male,,,,,,Bachelor,Information and cybersecurity,,Other,Bagel Lovers  Inc.,Front Counter,3,Other,Hidden Valley Scout Reservation,Program Staff,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,1,1,1,1,2,145,76,76,101,253,-10,,2,
PSU,105,24,Male,,Mechanical Engineering,,,,Master,Mechanical Engineering,Bachelor,Other,Penn State,RA,1,Other,Zw-Art Mechatronics,Engineer,2,Other,Alpha Fire Company,Volunteer Fire Fighter,4,Other,Penn State,TA,2,Other,Wegmans,Cashier,3,,,,,,,,,,,,,,,,,,,,,12,0,2,2,1,1,2,133,76,88,107,271,14,,2,
PSU,106,19,Male,,,,,,Bachelor,Computer Engineering,,Other,Findlay Dining Commons,Student Manager,1,Other,Pacifico Carpentry Co.,Skilled Labor,6,Other,Vector Marketing,Sales Associate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,2,2,1,0,4,148,76,79,107,262,28,,3,
PSU,107,21,Male,,,,,,Bachelor,Computer Engineering,,Other,Pacifico Carpentry,Craftsman,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,2,1,1,1,2,133,85,76,107,268,4,,3,
PSU,108,20,Male,,,,,,Bachelor,Cyber-security/IST,,Other,Michael D'Asaro,Computer technician,2,Other,Tom Hixon,Camera Operator,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,2,0,0,1,139,76,76,107,259,24,,0,
PSU,109,44,Male,,Secondary Ed. Biology,,Biology,,PhD,Science Education,Master,,,,,Other,Penn State University,Science Education Instructor,2,Other,PSU,Educational Researcher,3,Other,Upward Bound Math Science,Science Teacher,10,Other,Kutztown University,Academic Coordinator,8,Other,Roberto Clemente Charter School,Science Teacher/Counselor,9,,,,,,,,,,,,,,,,,32,0,1,2,1,1,2,136,76,76,95,247,18,,2,
PSU,110,20,Female,,,,,,,,,,,,,Other,Col. Jake Graham,Sentiment Analyst/Research,1,Other,IST,LA - SRA 111,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0,0,1,139,76,76,101,253,0,,2,
PSU,111,22,Male,,,,,,Bachelor,aerospace engineering,,Other,Temple Aluminum Foundry Inc.,Laborer,7,Other,Stone Valley Vertical Adventures,Facilitator,3,Other,Cafe 210,Dish Washer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,1,1,1,1,2,136,76,85,110,271,10,,3,
PSU,112,21,Male,,,,,,Bachelor,Information Science and Technology,,Other,Penn State,Student Researcher,2,Other,Walmart,Sales Associate,2,Other,Quiznos,Employee,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,1,1,1,1,3,145,76,76,98,250,-2,,2,
PSU,113,22,Male,,Environmental Resource Management,,,,,Research Technologist- Biochemistry Penn State Lab,Bachelor,GeospatialAnalysis,Pennsylvania State University,Research Technologist B&MB DEPT,1,Other,Pennsylvania State University,Undergraduate Reasearch,2,Other,Team Blue Car Wash,Washing Cars,1,Other,Morgan Properties,Lifeguard,3,,,,,,,,,,,,,,,,,,,,,,,,,7,0,2,2,2,1,3,136,76,79,101,256,6,,3,
PSU,114,20,Male,,,,,,Bachelor,Security and Risk Analysis,,Other,Penn State Altoona OIT,Technician,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,3,2,1,2,133,76,79,98,253,8,,0,
PSU,115,19,Male,,,,,,Bachelor,Security and Risk Analysis,,Other,Penn State University,Lab Technician ,1.5,Other,JCC Camps @ Medford,Camp  Counselor ,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,0,1,1,1,0,0,142,82,82,104,268,6,,0,
PSU,116,26,Male,,,,,,Bachelor,Security and Risk Analysis,,Other,Penn State Auxiliary Police,Assistant Superviser,1.5,Military,United States Army,Cavalry Scout,3,Other,Jared: The Galleria of Jewelry,Seasonal Helper,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,0,1,2,1,0,3,139,79,79,101,259,12,,3,
