Subject,Inferencing Score,Decision Making Score,Foraging Score
1,82.9203,0.6,0.9
2,86.8485,0.6,0.7
3,88.3259,0.6,0.8
4,82.8228,0.6,0.9
5,86.6196,1,0.8
6,83.6425,0.5,0.8
7,94.0723,0.6,0.8
8,78.415,0.6,0.8
9,78.4416,0.5,0.6
10,88.2148,0.3,0.3
11,78.5328,0.5,0.5
12,89.5242,1,0.6
13,93.7876,0.4,0.6
14,83.4717,0.7,0.8
15,77.4908,0.5,0.8
16,85.8396,0.4,0.8
17,79.5743,0.4,0.6
18,87.7185,0.7,0.8
19,72.2549,0.4,1
20,88.3168,0.9,0.6
21,93.9501,0.8,0.7
22,74.7363,0.5,0.7
23,72.9254,0.6,0.9
24,77.2491,0.4,1
25,85.5666,0.6,0.8
26,86.7663,0.6,0.8
27,81.8709,0.5,0.6
28,80.2692,0.7,0.4
29,87.863,0.8,0.8
30,78.4769,0.9,0.6
31,83.8494,0.7,0.7
32,75.8628,0.7,0.5
33,84.9363,0.6,0.8
34,75.1488,0.4,0.9
35,83.9982,0.7,0.4
36,80.2824,0.7,0.8
37,88.5646,0.5,0.8
38,86.1287,0.8,0.7
39,85.795,0.2,0.7
40,74.6117,0.5,0.6
41,69.5007,0.3,0.6
42,88.3321,0.6,0.9
43,79.1631,0.6,0.8
44,85.7659,0.7,1
45,68.2864,0.6,0.5
46,79.8687,0.7,0.8
47,86.0398,0.8,0.8
48,91.3122,0.5,1
49,86.0643,0.6,0.9
50,80.2638,0.6,0.6
