site_id,subject_id,Age,Gender,YearsExperience,ProbabilityAndStatsTraining,BIS,BASDrive,BASFunSeeking,BASRewardResponsiveness,BASTotal,SNA,VGE
PSU,001,26,male,7.0,3,14,16,16,14,46,,
PSU,002,52,male,14.0,1,14,12,13,16,41,,
PSU,003,32,female,11.0,2,21,10,11,16,37,,
PSU,004,38,female,15.0,3,13,8,11,15,34,,
PSU,005,34,female,10.0,2,26,12,13,19,44,,
PSU,006,20,male,6.0,3,17,14,14,18,46,,
PSU,007,24,male,6.0,2,15,15,9,20,44,,
PSU,008,40,male,13.0,2,15,12,12,16,40,,
PSU,009,26,male,5.0,3,18,9,12,19,40,,
PSU,010,22,female,0.0,1,21,12,13,18,43,,
PSU,011,21,female,4.0,2,21,9,14,17,40,,
PSU,012,21,female,11.0,2,22,12,12,17,41,,
PSU,013,23,male,6.0,3,19,11,12,16,39,,
PSU,014,20,female,2.0,3,25,13,13,19,45,,
PSU,015,19,male,3.0,2,16,14,16,18,48,,
PSU,016,34,male,11.0,2,18,11,13,19,43,,
PSU,017,20,male,0.5,2,20,11,11,18,40,,
PSU,018,21,male,2.0,3,19,11,12,17,40,,
PSU,019,21,male,5.0,2,19,9,12,15,36,,
PSU,020,28,male,5.0,2,19,14,10,17,41,,
PSU,021,19,male,4.0,2,17,9,11,19,39,,
PSU,022,55,male,7.0,1,19,7,10,16,33,,
PSU,023,21,male,3.0,3,16,13,12,18,43,,
PSU,024,19,male,3.0,2,12,11,13,16,40,,
PSU,025,20,female,3.0,2,18,15,12,20,47,,
PSU,026,25,male,6.5,3,10,12,13,15,40,,
PSU,027,20,male,3.0,2,20,11,10,16,37,,
PSU,028,19,male,3.0,3,17,14,11,18,43,,
PSU,029,21,male,0.0,3,12,14,14,17,45,,
PSU,030,22,male,11.0,3,20,12,14,19,45,,
PSU,031,21,male,6.0,1,20,11,10,17,38,,
PSU,032,21,male,5.0,3,20,12,13,18,43,,
PSU,033,21,male,5.0,3,21,12,13,17,42,,
PSU,034,21,male,2.5,3,22,15,16,20,51,,
PSU,035,20,male,0.0,2,16,11,10,16,37,,
PSU,036,21,female,5.0,1,24,13,15,20,48,,
PSU,037,21,female,4.5,2,27,11,15,20,46,,
PSU,038,22,female,6.0,2,17,11,12,15,38,,
PSU,039,20,female,11.5,2,20,10,11,15,36,,
PSU,040,23,male,0.0,2,17,13,14,18,45,,
PSU,041,21,female,8.0,3,27,16,13,19,48,,
PSU,042,23,male,8.0,3,17,13,12,18,43,,
PSU,043,27,male,3.0,3,17,15,12,17,44,,
PSU,044,22,male,21.0,1,21,11,14,19,44,,
PSU,045,20,female,3.0,1,25,8,10,12,30,,
PSU,046,22,male,2.0,2,15,10,12,16,38,,
PSU,047,22,male,5.0,2,14,11,10,18,39,,
PSU,048,21,male,7.0,3,20,15,11,18,44,,
PSU,049,20,female,4.0,2,23,12,13,18,43,,
PSU,050,22,male,6.0,3,16,13,14,17,44,,
