site_id,subject_id,Spatial_navigation_1,Spatial_navigation_2,Spatial_navigation_3,Spatial_navigation_4,Spatial_navigation_5,Spatial_navigation_6,Spatial_navigation_7,Spatial_navigation_8,Spatial_navigation_9,Spatial_navigation_10,Spatial_navigation_11,Spatial_navigation_12,Spatial_navigation_13,Spatial_navigation_14,Spatial_navigation_15,Bis_bas_1,Bis_bas_2,Bis_bas_3,Bis_bas_4,Bis_bas_5,Bis_bas_6,Bis_bas_7,Bis_bas_8,Bis_bas_9,Bis_bas_10,Bis_bas_11,Bis_bas_12,Bis_bas_13,Bis_bas_14,Bis_bas_15,Bis_bas_16,Bis_bas_17,Bis_bas_18,Bis_bas_19,Bis_bas_20,Bis_bas_21,Bis_bas_22,Bis_bas_23,Bis_bas_24,EmployerRow1,Job TitlePositionRow1,Number of YearsRow1,EmployerRow2,Job TitlePositionRow2,Number of YearsRow2,EmployerRow3,Job TitlePositionRow3,Number of YearsRow3,EmployerRow4,Job TitlePositionRow4,Number of YearsRow4,EmployerRow5,Job TitlePositionRow5,Number of YearsRow5,EmployerRow6,Job TitlePositionRow6,Number of YearsRow6,EmployerRow7,Job TitlePositionRow7,Number of YearsRow7,EmployerRow8,Job TitlePositionRow8,Number of YearsRow8,EmployerRow9,Job TitlePositionRow9,Number of YearsRow9,EmployerRow10,Job TitlePositionRow10,Number of YearsRow10,ID_number,age,gender,visual_impairment,visual_impairment_kind,education_bachelor,education_certificate,education_master,education_phd,education_other,education_other_type,education_associate_discipline,education_associate,education_bachelor_discipline,education_certificate_discipline,education_master_discipline,education_phd_discipline,education_other_discipline,training_probs_stats,used_probs_stats,worked_geospatial_data,video_game_played_time,video_game_current_play,video_game_skill,video_game_top_genre_first,video_game_top_genre_second,video_game_top_genre_third,video_game_played_ever,video_game_played_current,video_game_played_current_no_cost,video_game_played_current_no_interest,video_game_played_current_no_time,video_game_played_current_no_skill,video_game_played_current_no_allowed,video_game_played_current_no_other,video_game_played_current_no_other_reason
PSU,001,b,d,b,a,a,e,a,f,a,e,e,f,f,d,f,b,a,a,b,a,b,a,c,a,a,b,a,c,b,a,c,a,c,a,a,a,a,c,c,US ARMY,GEOSPATIAL ANALYST,4,DICKS Sporting Goods,Lodge Associate,1,YORK Divers,Divemaster,2,,,,,,,,,,,,,,,,,,,,,,001,26,male,no,,Off,Off,Off,Off,Off,,,Off,,,,,,c,b,c,e,b,c,2,11,1,yes,yes,Off,Off,Off,Off,Off,Off,
PSU,002,b,c,d,c,c,c,b,f,b,b,f,f,d,e,e,b,a,b,a,a,c,b,c,b,b,c,b,c,b,c,b,b,b,d,a,b,b,b,b,Wegmans,Team Leader,2,Pocono Produce,sales rep,3,Limehouse Produce,assistant manager,9,,,,,,,,,,,,,,,,,,,,,,002,52,male,no,,Off,Off,Yes,Off,Off,,,Off,,,Supply Chain Management,,,a,a,a,,,,,,,no,no,Off,Yes,Yes,Off,Off,Off,
PSU,003,a,f,b,a,b,f,a,f,a,g,f,g,f,b,f,a,c,c,a,a,c,b,b,b,b,c,b,b,b,c,b,b,b,b,c,c,c,b,b,Penn State (Dutton Institute),Learning Designer,1,Penn State (Education Tech),Instructional Designer,4,Penn State (Executive Programs),Program Mgr/Marketing Assoc,6,,,,,,,,,,,,,,,,,,,,,,003,32,female,no,,Yes,Yes,Yes,Off,Off,,,Off,Public Relations & Marketing,Distance Education,Adult Education,,,b,b,b,e,b,a,Strategy,Puzzle,Adventure,yes,yes,Off,Off,Off,Off,Off,Off,
PSU,004,a,f,a,a,a,f,a,g,a,g,g,g,g,a,g,a,a,c,a,a,b,b,c,c,b,a,c,b,c,c,d,b,b,b,c,c,a,b,c,Penn State,Assistant Professor,10,MIT,Research Assistant (PhD student),5,,,,,,,,,,,,,,,,,,,,,,,,,004,38,female,no,,Off,Off,Off,Yes,Off,,,Off,,,,Geophysics,,c,d,b,,,,,,,no,no,Off,Yes,Yes,Off,Off,Off,
PSU,005,b,f,c,b,c,f,b,f,b,f,f,f,f,b,g,a,d,b,a,a,b,a,a,b,b,a,b,b,b,c,a,b,a,a,a,b,c,a,a,Connections Education,Science Curriculum Writer,5,Parks and People Foundation,Education Program Assistant,2,Liberty Science Center,Science Content Developer,3,,,,,,,,,,,,,,,,,,,,,,005,34,female,no,,Yes,Off,Yes,Off,Off,,,Off,Environmental Studies,,Education - Earth Sciences,,,b,b,b,,,,,,,yes,no,Off,Yes,Yes,Off,Off,Off,
PSU,006,b,f,c,b,f,e,d,f,d,e,e,b,f,b,d,a,a,b,a,a,b,b,c,a,a,c,a,b,a,c,c,b,b,a,a,b,b,a,b,Hartman Executive Advisors,Intern/Consult,1,Freedom Armory,General Staff,5,,,,,,,,,,,,,,,,,,,,,,,,,tester.006,20,male,no,,Yes,Off,Off,Off,Off,,,Off,Supply Chain MGMT,,,,,c,c,a,d,b,b,8,27,24,yes,yes,Off,Off,Off,Off,Off,Off,
PSU,007,a,f,b,a,a,f,d,f,a,f,d,g,f,b,g,a,b,a,a,b,c,a,d,a,c,c,a,c,a,d,d,c,a,a,b,b,b,a,b,Navy,Cryptologic Technician Technical/AD,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,24,male,no,,Off,Off,Off,Off,Yes,High School,,Off,,,,,,b,b,c,e,a,a,8,11,21,yes,yes,Off,Off,Off,Off,Off,Off,
PSU,008,a,d,a,a,b,e,a,g,a,e,g,g,f,b,g,a,b,b,a,a,a,b,b,b,c,d,b,c,b,b,c,c,b,c,b,b,b,b,c,Penn State,Asst Dir Tech for College of Science,2,Penn State,Tech Mgr - Astronomy,3,Penn State,Sys Admin - Grad School,3,IU #10,IT Facilitator,5,,,,,,,,,,,,,,,,,,,008,40,male,no,,Yes,Yes,Off,Off,Off,,technology,Yes,leadership,technology,,,,b,b,b,,,,,,,yes,no,Off,Yes,Off,Off,Off,Off,
PSU,009,d,f,b,a,a,e,a,g,a,f,e,g,f,a,g,b,b,d,a,a,c,a,c,b,c,b,b,b,a,b,b,a,b,a,b,c,a,a,b,Penn State University,Graduate Researcher,2,Penn State University,Teaching Assistant,1,New Mexico Institute of Mining & Technology,Graduate Researcher,1.5,New Mexico Institute of Mining & Technology,Teaching Assistant,0.5,,,,,,,,,,,,,,,,,,,009,26,male,no,,Yes,Off,Yes,Off,Off,,,Off,Geology & Geophysics,,Geology & Geophysics (Geochemistry emphasis),,,c,c,d,,,,,,,yes,no,Off,Yes,Off,Off,Off,Off,
PSU,010,b,b,c,b,e,e,d,e,b,c,c,c,c,b,d,a,c,b,b,b,b,b,b,b,b,d,b,a,a,a,a,a,a,b,b,b,,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,22,female,no,,Yes,Off,Off,Off,Off,,,Off,Student (Engineering),,,,,a,b,a,,,,,,,yes,no,Yes,Yes,Yes,Yes,Off,Off,
PSU,011,c,e,d,e,e,e,b,f,b,f,d,e,c,e,e,a,d,c,a,a,b,b,c,b,b,b,c,b,b,b,b,a,a,a,a,c,b,b,b,Dairy Queen,employee,2 months,,,4,,,,,,,,,,,,,,,,,,,,,,,,,011,21,female,yes,Near sighted, but I wear contacts.,Off,Off,Off,Off,Yes,High School Diploma,,Off,,,,,,b,b,a,,,,,,,yes,no,Off,Yes,Yes,Off,Off,Yes,Can't sit still
