site_id,response_generator_id,data_type,exam_id,task_number,trial_number,trial_time,num_blue_locations,red_capability_Pc,red_vulnerability_P_1,red_vulnerability_P_2,red_opportunity_U_1,red_opportunity_U_2,red_activity_detected_1,red_activity_detected_2,bluebook_Neutral_prob_1,bluebook_Neutral_prob_2,probs_Pp_time,probs_Pp_1,probs_Pp_2,probs_Pp_normative_1,probs_Pp_normative_2,probs_Ppc_time,probs_Ppc_1,probs_Ppc_2,probs_Ppc_normative_1,probs_Ppc_normative_2,probs_Ptpc_time,probs_Ptpc_1,probs_Ptpc_2,probs_Ptpc_normative_1,probs_Ptpc_normative_2,sigint_time,sigint_location_1,sigint_participant_optimal_location_1,sigint_bayesian_optimal_location_1,blue_action_time,blue_action_1,blue_action_2,blue_action_expected_utility
PSU,021,Human_Single,Sample-Exam-2,3,1,86658.0,2,1.0,0.1684800601005959,0.37590332829012574,2,3,0,1,0.3,0.1,10702.0,0.3,0.1,0.3,0.1,6474.0,0.3,0.1,0.3,0.1,27487.0,0.1,0.45,0.3,0.24999999999999992,12714.0,2,1,1,13619.0,Do_Not_Divert,Divert,NaN
PSU,021,Human_Single,Sample-Exam-2,3,2,76003.0,2,0.4,0.21878118849343675,0.48035011902701075,5,4,0,0,0.4,0.2,10186.0,0.4,0.2,0.4,0.2,12043.0,0.16,0.08,0.16000000000000003,0.08000000000000002,20514.0,0.12,0.08,0.08695652173913045,0.08000000000000002,12995.0,1,1,1,6801.0,Do_Not_Divert,Do_Not_Divert,NaN
PSU,021,Human_Single,Sample-Exam-2,3,3,61340.0,2,0.7,0.4867026643199144,0.48477418567358754,2,5,0,0,0.1,0.2,9860.0,0.1,0.2,0.1,0.2,6739.0,0.07,0.14,0.06999999999999999,0.13999999999999999,6911.0,0.07,0.08,0.06999999999999999,0.07526881720430106,7410.0,2,2,2,4930.0,Do_Not_Divert,Do_Not_Divert,NaN
PSU,021,Human_Single,Sample-Exam-2,3,4,79451.0,2,0.4,0.23696394915501706,0.5129556050535206,2,5,0,0,0.3,0.2,18049.0,0.3,0.2,0.3,0.2,15101.0,0.12,0.08,0.12,0.08000000000000002,10359.0,0.12,0.06,0.12,0.04166666666666666,10498.0,2,1,1,9875.0,Divert,Do_Not_Divert,NaN
PSU,021,Human_Single,Sample-Exam-2,3,5,78577.0,2,0.7,0.28355227986957376,0.46476533388337005,5,2,0,0,0.2,0.1,11342.0,0.2,0.1,0.2,0.1,6740.0,0.14,0.07,0.13999999999999999,0.06999999999999999,19547.0,0.05,0.07,0.07526881720430106,0.06999999999999999,6224.0,1,1,1,10686.0,Do_Not_Divert,Do_Not_Divert,NaN
PSU,021,Human_Single,Sample-Exam-2,3,6,71557.0,2,0.4,0.15793662470414704,0.17196512009913978,3,5,0,1,0.3,0.4,12605.0,0.3,0.4,0.3,0.4,15444.0,0.12,0.16,0.12,0.16000000000000003,13572.0,0.09,0.3,0.12,0.3636363636363636,8252.0,2,2,2,9329.0,Do_Not_Divert,Divert,NaN
PSU,021,Human_Single,Sample-Exam-2,3,7,52994.0,2,0.4,0.28975833953051144,0.307640534900555,2,4,0,1,0.1,0.2,11950.0,0.1,0.2,0.1,0.2,7051.0,0.04,0.08,0.04000000000000001,0.08000000000000002,6521.0,0.04,0.06,0.04000000000000001,0.20689655172413787,13151.0,2,2,2,3416.0,Do_Not_Divert,Divert,NaN
PSU,021,Human_Single,Sample-Exam-2,3,8,78671.0,2,0.7,0.45447137484070665,0.523934581323689,5,3,0,0,0.2,0.1,10998.0,0.2,0.1,0.2,0.1,15834.0,0.14,0.07,0.13999999999999999,0.06999999999999999,9470.0,0.1,0.07,0.07526881720430106,0.06999999999999999,11606.0,1,1,1,7456.0,Divert,Do_Not_Divert,NaN
PSU,021,Human_Single,Sample-Exam-2,3,9,83241.0,2,0.9,0.4979723092725218,0.14815440917220846,5,5,0,0,0.2,0.4,12994.0,0.2,0.4,0.2,0.4,12043.0,0.18,0.36,0.18000000000000002,0.36000000000000004,23822.0,0.18,0.14,0.18000000000000002,0.21951219512195125,4368.0,2,2,2,11107.0,Do_Not_Divert,Divert,NaN
PSU,021,Human_Single,Sample-Exam-2,3,10,57112.0,2,1.0,0.16760650562786128,0.16673203344121457,4,5,0,0,0.4,0.4,9906.0,0.4,0.4,0.4,0.4,8768.0,0.4,0.4,0.4,0.4,13229.0,0.25,0.16,0.4,0.25,4383.0,2,1,1,5491.0,Divert,Do_Not_Divert,NaN
PSU,022,Human_Single,Sample-Exam-2,3,1,109747.0,2,1.0,0.1684800601005959,0.37590332829012574,2,3,0,1,0.3,0.1,27347.0,0.3,0.1,0.3,0.1,27035.0,0.4,0.5,0.3,0.1,16302.0,0.3,0.6,0.3,0.24999999999999992,12324.0,2,2,1,6864.0,Do_Not_Divert,Divert,NaN
PSU,022,Human_Single,Sample-Exam-2,3,2,116095.0,2,0.4,0.21878118849343675,0.48035011902701075,5,4,0,0,0.4,0.2,29063.0,0.4,0.2,0.4,0.2,12293.0,0.4,0.3,0.16000000000000003,0.08000000000000002,20608.0,0.4,0.3,0.08695652173913045,0.08000000000000002,15522.0,1,1,1,15959.0,Divert,Do_Not_Divert,NaN
PSU,022,Human_Single,Sample-Exam-2,3,3,118810.0,2,0.7,0.4867026643199144,0.48477418567358754,2,5,0,0,0.1,0.2,28392.0,0.1,0.2,0.1,0.2,17191.0,0.3,0.5,0.06999999999999999,0.13999999999999999,43150.0,0.3,0.4,0.06999999999999999,0.07526881720430106,5616.0,2,2,2,6427.0,Do_Not_Divert,Divert,NaN
PSU,022,Human_Single,Sample-Exam-2,3,4,94676.0,2,0.4,0.23696394915501706,0.5129556050535206,2,5,0,0,0.3,0.2,14929.0,0.3,0.2,0.3,0.2,21637.0,0.4,0.3,0.12,0.08000000000000002,20764.0,0.3,0.3,0.12,0.04166666666666666,5663.0,2,1,1,10701.0,Divert,Do_Not_Divert,NaN
PSU,022,Human_Single,Sample-Exam-2,3,5,97547.0,2,0.7,0.28355227986957376,0.46476533388337005,5,2,0,0,0.2,0.1,12730.0,0.2,0.1,0.2,0.1,14071.0,0.4,0.2,0.13999999999999999,0.06999999999999999,33291.0,0.5,0.3,0.07526881720430106,0.06999999999999999,6100.0,1,1,1,6567.0,Do_Not_Divert,Divert,NaN
PSU,022,Human_Single,Sample-Exam-2,3,6,113210.0,2,0.4,0.15793662470414704,0.17196512009913978,3,5,0,1,0.3,0.4,39016.0,0.3,0.4,0.3,0.4,7785.0,0.4,0.4,0.12,0.16000000000000003,26458.0,0.3,0.6,0.12,0.3636363636363636,12183.0,2,1,2,4711.0,Do_Not_Divert,Divert,NaN
PSU,022,Human_Single,Sample-Exam-2,3,7,73117.0,2,0.4,0.28975833953051144,0.307640534900555,2,4,0,1,0.1,0.2,10905.0,0.1,0.2,0.1,0.2,21543.0,0.2,0.4,0.04000000000000001,0.08000000000000002,18127.0,0.2,0.6,0.04000000000000001,0.20689655172413787,7020.0,2,2,2,3713.0,Do_Not_Divert,Divert,NaN
PSU,022,Human_Single,Sample-Exam-2,3,8,68609.0,2,0.7,0.45447137484070665,0.523934581323689,5,3,0,0,0.2,0.1,9984.0,0.2,0.1,0.2,0.1,16520.0,0.4,0.4,0.13999999999999999,0.06999999999999999,19064.0,0.4,0.5,0.07526881720430106,0.06999999999999999,4852.0,1,1,1,8689.0,Divert,Do_Not_Divert,NaN
PSU,022,Human_Single,Sample-Exam-2,3,9,96393.0,2,0.9,0.4979723092725218,0.14815440917220846,5,5,0,0,0.2,0.4,33680.0,0.2,0.4,0.2,0.4,16723.0,0.3,0.6,0.18000000000000002,0.36000000000000004,12885.0,0.3,0.5,0.18000000000000002,0.21951219512195125,7613.0,2,2,2,10187.0,Do_Not_Divert,Divert,NaN
PSU,022,Human_Single,Sample-Exam-2,3,10,79170.0,2,1.0,0.16760650562786128,0.16673203344121457,4,5,0,0,0.4,0.4,5850.0,0.4,0.4,0.4,0.4,20842.0,0.6,0.4,0.4,0.4,22558.0,0.5,0.5,0.4,0.25,12277.0,2,1,1,5881.0,Divert,Divert,NaN
PSU,023,Human_Single,Sample-Exam-2,3,1,179338.0,2,1.0,0.1684800601005959,0.37590332829012574,2,3,0,1,0.3,0.1,33883.0,0.3,0.1,0.3,0.1,34117.0,0.7,0.3,0.3,0.1,50139.0,0.4,0.2,0.1764705882352941,0.1,5336.0,1,1,1,10467.0,Divert,Do_Not_Divert,NaN
PSU,023,Human_Single,Sample-Exam-2,3,2,130853.0,2,0.4,0.21878118849343675,0.48035011902701075,5,4,0,0,0.4,0.2,53540.0,0.4,0.2,0.4,0.2,19859.0,0.5,0.2,0.16000000000000003,0.08000000000000002,25226.0,0.6,0.2,0.08695652173913045,0.08000000000000002,4368.0,1,1,1,3790.0,Divert,Do_Not_Divert,NaN
PSU,023,Human_Single,Sample-Exam-2,3,3,83351.0,2,0.7,0.4867026643199144,0.48477418567358754,2,5,0,0,0.1,0.2,12012.0,0.1,0.2,0.1,0.2,25225.0,0.15,0.4,0.06999999999999999,0.13999999999999999,15756.0,0.2,0.5,0.06999999999999999,0.07526881720430106,3245.0,2,2,2,3853.0,Do_Not_Divert,Divert,NaN
PSU,023,Human_Single,Sample-Exam-2,3,4,96050.0,2,0.4,0.23696394915501706,0.5129556050535206,2,5,0,0,0.3,0.2,24929.0,0.3,0.2,0.3,0.2,18611.0,0.4,0.2,0.12,0.08000000000000002,18736.0,0.6,0.21,0.06382978723404253,0.08000000000000002,5678.0,1,1,1,4649.0,Do_Not_Divert,Divert,NaN
PSU,023,Human_Single,Sample-Exam-2,3,5,108888.0,2,0.7,0.28355227986957376,0.46476533388337005,5,2,0,0,0.2,0.1,16583.0,0.2,0.1,0.2,0.1,37689.0,0.6,0.2,0.13999999999999999,0.06999999999999999,32635.0,0.42,0.19,0.07526881720430106,0.06999999999999999,3760.0,1,1,1,3370.0,Do_Not_Divert,Do_Not_Divert,NaN
PSU,023,Human_Single,Sample-Exam-2,3,6,76050.0,2,0.4,0.15793662470414704,0.17196512009913978,3,5,0,1,0.3,0.4,13806.0,0.3,0.4,0.3,0.4,20748.0,0.38,0.62,0.12,0.16000000000000003,13338.0,0.3,0.6,0.12,0.3636363636363636,4290.0,2,2,2,3869.0,Do_Not_Divert,Divert,NaN
PSU,023,Human_Single,Sample-Exam-2,3,7,69248.0,2,0.4,0.28975833953051144,0.307640534900555,2,4,0,1,0.1,0.2,9158.0,0.1,0.2,0.1,0.2,14851.0,0.3,0.55,0.04000000000000001,0.08000000000000002,21170.0,0.25,0.75,0.04000000000000001,0.20689655172413787,3729.0,2,2,2,4742.0,Do_Not_Divert,Divert,NaN
PSU,023,Human_Single,Sample-Exam-2,3,8,86440.0,2,0.7,0.45447137484070665,0.523934581323689,5,3,0,0,0.2,0.1,15834.0,0.2,0.1,0.2,0.1,15288.0,0.6,0.3,0.13999999999999999,0.06999999999999999,16489.0,0.5,0.2,0.07526881720430106,0.06999999999999999,3884.0,1,1,1,21668.0,Do_Not_Divert,Do_Not_Divert,NaN
PSU,023,Human_Single,Sample-Exam-2,3,9,87220.0,2,0.9,0.4979723092725218,0.14815440917220846,5,5,0,0,0.2,0.4,12589.0,0.2,0.4,0.2,0.4,14945.0,0.15,0.7,0.18000000000000002,0.36000000000000004,38267.0,0.15,0.5,0.18000000000000002,0.21951219512195125,2574.0,2,2,2,10265.0,Do_Not_Divert,Divert,NaN
PSU,023,Human_Single,Sample-Exam-2,3,10,94614.0,2,1.0,0.16760650562786128,0.16673203344121457,4,5,0,0,0.4,0.4,19203.0,0.4,0.4,0.4,0.4,13930.0,0.5,0.5,0.4,0.4,18252.0,0.4,0.6,0.4,0.25,4665.0,2,1,1,4243.0,Do_Not_Divert,Divert,NaN
PSU,024,Human_Single,Sample-Exam-2,3,1,135315.0,2,1.0,0.1684800601005959,0.37590332829012574,2,3,0,1,0.3,0.1,12652.0,0.3,0.1,0.3,0.1,27987.0,0.8,0.2,0.3,0.1,11357.0,0.8,0.2,0.1764705882352941,0.1,16208.0,1,1,1,12761.0,Divert,Do_Not_Divert,NaN
PSU,024,Human_Single,Sample-Exam-2,3,2,101041.0,2,0.4,0.21878118849343675,0.48035011902701075,5,4,0,0,0.4,0.2,12901.0,0.4,0.2,0.4,0.2,17269.0,0.0,0.3,0.16000000000000003,0.08000000000000002,27612.0,0.4,0.6,0.08695652173913045,0.08000000000000002,11388.0,1,2,1,10250.0,Do_Not_Divert,Do_Not_Divert,NaN
PSU,024,Human_Single,Sample-Exam-2,3,3,105737.0,2,0.7,0.4867026643199144,0.48477418567358754,2,5,0,0,0.1,0.2,11342.0,0.1,0.2,0.1,0.2,23774.0,0.3,0.5,0.06999999999999999,0.13999999999999999,31340.0,0.3,0.5,0.06999999999999999,0.07526881720430106,5944.0,2,2,2,4165.0,Do_Not_Divert,Do_Not_Divert,NaN
PSU,024,Human_Single,Sample-Exam-2,3,4,75644.0,2,0.4,0.23696394915501706,0.5129556050535206,2,5,0,0,0.3,0.2,9204.0,0.3,0.2,0.3,0.2,7254.0,0.35,0.3,0.12,0.08000000000000002,15179.0,0.4,0.5,0.06382978723404253,0.08000000000000002,15569.0,1,1,1,5117.0,Do_Not_Divert,Do_Not_Divert,NaN
PSU,024,Human_Single,Sample-Exam-2,3,5,122117.0,2,0.7,0.28355227986957376,0.46476533388337005,5,2,0,0,0.2,0.1,42058.0,0.2,0.1,0.2,0.1,26598.0,0.45,0.4,0.13999999999999999,0.06999999999999999,15085.0,0.6,0.4,0.07526881720430106,0.06999999999999999,6630.0,1,1,1,5132.0,Do_Not_Divert,Do_Not_Divert,NaN
PSU,024,Human_Single,Sample-Exam-2,3,6,79202.0,2,0.4,0.15793662470414704,0.17196512009913978,3,5,0,1,0.3,0.4,7410.0,0.3,0.4,0.3,0.4,14508.0,0.35,0.4,0.12,0.16000000000000003,12417.0,0.0,0.7,0.12,0.3636363636363636,9641.0,2,2,2,4166.0,Do_Not_Divert,Divert,NaN
PSU,024,Human_Single,Sample-Exam-2,3,7,99341.0,2,0.4,0.28975833953051144,0.307640534900555,2,4,0,1,0.1,0.2,8237.0,0.1,0.2,0.1,0.2,13775.0,0.25,0.3,0.04000000000000001,0.08000000000000002,19437.0,0.0,0.6,0.04000000000000001,0.20689655172413787,5179.0,2,2,2,10608.0,Do_Not_Divert,Divert,NaN
PSU,024,Human_Single,Sample-Exam-2,3,8,65504.0,2,0.7,0.45447137484070665,0.523934581323689,5,3,0,0,0.2,0.1,5694.0,0.2,0.1,0.2,0.1,8767.0,0.35,0.25,0.13999999999999999,0.06999999999999999,7379.0,0.4,0.3,0.07526881720430106,0.06999999999999999,5132.0,1,1,1,3401.0,Do_Not_Divert,Do_Not_Divert,NaN
PSU,024,Human_Single,Sample-Exam-2,3,9,49702.0,2,0.9,0.4979723092725218,0.14815440917220846,5,5,0,0,0.2,0.4,8908.0,0.2,0.4,0.2,0.4,8393.0,0.0,1.0,0.18000000000000002,0.36000000000000004,4102.0,0.0,1.0,0.18000000000000002,0.21951219512195125,5959.0,2,2,2,3542.0,Do_Not_Divert,Divert,NaN
PSU,024,Human_Single,Sample-Exam-2,3,10,70980.0,2,1.0,0.16760650562786128,0.16673203344121457,4,5,0,0,0.4,0.4,6614.0,0.4,0.4,0.4,0.4,5928.0,0.5,0.5,0.4,0.4,8143.0,0.4,0.6,0.25,0.4,5304.0,1,1,1,6973.0,Do_Not_Divert,Divert,NaN
PSU,025,Human_Single,Sample-Exam-2,3,1,167622.0,2,1.0,0.1684800601005959,0.37590332829012574,2,3,0,1,0.3,0.1,22542.0,0.3,0.1,0.3,0.1,41278.0,0.65,0.35,0.3,0.1,23197.0,0.4,0.6,0.1764705882352941,0.1,23790.0,1,1,1,26629.0,Divert,Do_Not_Divert,NaN
PSU,025,Human_Single,Sample-Exam-2,3,2,124909.0,2,0.4,0.21878118849343675,0.48035011902701075,5,4,0,0,0.4,0.2,22495.0,0.4,0.2,0.4,0.2,17535.0,0.4,0.6,0.16000000000000003,0.08000000000000002,18782.0,0.4,0.6,0.08695652173913045,0.08000000000000002,19157.0,1,2,1,25101.0,Divert,Do_Not_Divert,NaN
PSU,025,Human_Single,Sample-Exam-2,3,3,128716.0,2,0.7,0.4867026643199144,0.48477418567358754,2,5,0,0,0.1,0.2,11638.0,0.1,0.2,0.1,0.2,32682.0,0.3,0.7,0.06999999999999999,0.13999999999999999,29422.0,0.6,0.4,0.06999999999999999,0.07526881720430106,3104.0,2,2,2,23618.0,Divert,Do_Not_Divert,NaN
PSU,025,Human_Single,Sample-Exam-2,3,4,149199.0,2,0.4,0.23696394915501706,0.5129556050535206,2,5,0,0,0.3,0.2,9969.0,0.3,0.2,0.3,0.2,21434.0,0.35,0.3,0.12,0.08000000000000002,28829.0,0.4,0.4,0.12,0.04166666666666666,13588.0,2,1,1,18470.0,Divert,Divert,NaN
PSU,025,Human_Single,Sample-Exam-2,3,5,125003.0,2,0.7,0.28355227986957376,0.46476533388337005,5,2,0,0,0.2,0.1,13369.0,0.2,0.1,0.2,0.1,15085.0,0.5,0.25,0.13999999999999999,0.06999999999999999,25007.0,0.4,0.2,0.07526881720430106,0.06999999999999999,3214.0,1,1,1,9735.0,Divert,Do_Not_Divert,NaN
PSU,025,Human_Single,Sample-Exam-2,3,6,95644.0,2,0.4,0.15793662470414704,0.17196512009913978,3,5,0,1,0.3,0.4,12886.0,0.3,0.4,0.3,0.4,24383.0,0.4,0.5,0.12,0.16000000000000003,19156.0,0.2,0.6,0.12,0.3636363636363636,5585.0,2,2,2,7520.0,Do_Not_Divert,Divert,NaN
