site_id,response_generator_id,data_type,exam_id,task_number,trial_number,trial_time,num_blue_locations,red_capability_Pc,red_vulnerability_P_1,red_opportunity_U_1,red_activity_detected_1,red_tactics_probs_time,red_tactics_probs_tactic_1,red_tactics_probs_tactic_2,red_tactics_batch_plot_trials_reviewed,red_tactics_batch_plot_trials_total,red_tactics_actual_red_tactic,bluebook_P-Sensitive_prob_1,bluebook_U-Sensitive_prob_1,probs_Pp_time,probs_Pp_1,probs_Pp_normative_1,blue_action_time,blue_action_1,blue_action_expected_utility,blue_action_normative_participant_1,blue_action_normative_participant_expected_utility,blue_action_normative_bayesian_1,blue_action_normative_bayesian_expected_utility
PSU,021,Human_Single,Sample-Exam-2,5,1,15896.0,1,1.0,0.31497503765204016,3,0,NaN,NaN,NaN,NaN,0,P-Sensitive,0.4,0.2,9921.0,0.3,0.30000000000000004,2777.0,Do_Not_Divert,-0.3330449322263277,Do_Not_Divert,-0.3330449322263277,Do_Not_Divert,-0.33304493222632775
PSU,021,Human_Single,Sample-Exam-2,5,2,37300.0,1,0.4,0.5063359234067369,2,0,11716.0,65.0,35.0,0,1,P-Sensitive,0.4,0.2,18907.0,0.35,0.3333333333333333,4571.0,Do_Not_Divert,0.00887029276943172,Do_Not_Divert,0.00887029276943172,Do_Not_Divert,0.008447897875649257
PSU,021,Human_Single,Sample-Exam-2,5,3,20451.0,1,0.7,0.5833671913934919,3,1,8143.0,68.0,32.0,0,2,P-Sensitive,0.4,0.2,7987.0,0.4,0.32,2090.0,Do_Not_Divert,0.2000812593443806,Do_Not_Divert,0.2000812593443806,Do_Not_Divert,0.16006500747550448
PSU,021,Human_Single,Sample-Exam-2,5,4,16973.0,1,0.4,0.18294592578280877,2,0,3417.0,68.0,32.0,0,3,P-Sensitive,0.6,0.2,9251.0,0.38,0.5,2870.0,Divert,-0.62,Do_Not_Divert,-0.48192219281013066,Divert,-0.5
PSU,021,Human_Single,Sample-Exam-2,5,5,13416.0,1,0.7,0.600383523270104,2,0,2933.0,52.0,48.0,0,4,P-Sensitive,0.4,0.2,5850.0,0.25,0.3410520256170397,2652.0,Do_Not_Divert,0.10038352327010402,Do_Not_Divert,0.10038352327010402,Do_Not_Divert,0.13694401579937687
PSU,021,Human_Single,Sample-Exam-2,5,6,37861.0,1,0.9,0.35399626921032723,2,1,8658.0,44.0,56.0,0,5,P-Sensitive,0.4,0.2,23728.0,0.25,0.3248154218606679,3744.0,Do_Not_Divert,-0.14600373078967277,Do_Not_Divert,-0.14600373078967277,Do_Not_Divert,-0.1896970536387158
PSU,021,Human_Single,Sample-Exam-2,5,7,18580.0,1,1.0,0.4936615703684375,5,1,5476.0,33.0,67.0,0,6,P-Sensitive,0.4,0.8,9469.0,0.7,0.5833369334991367,1498.0,Divert,-0.30000000000000004,Do_Not_Divert,-0.04436900742093752,Do_Not_Divert,-0.03697440104475734
PSU,021,Human_Single,Sample-Exam-2,5,8,18798.0,1,0.4,0.2934773373366659,5,0,2387.0,21.0,79.0,0,7,P-Sensitive,0.4,0.8,11591.0,0.73,0.5678979180658161,3432.0,Divert,-0.27,Divert,-0.27,Divert,-0.43210208193418387
PSU,021,Human_Single,Sample-Exam-2,5,9,15101.0,1,0.7,0.11321259137099404,3,0,2246.0,21.0,79.0,0,8,U-Sensitive,0.6,0.2,5273.0,0.26,0.39694588071716885,1701.0,Do_Not_Divert,-0.6033883574612493,Do_Not_Divert,-0.6033883574612493,Divert,-0.6030541192828311
PSU,021,Human_Single,Sample-Exam-2,5,10,96439.0,1,0.4,0.03376673619351811,5,0,82852.0,44.0,56.0,9,9,U-Sensitive,0.6,0.8,7924.0,0.75,0.6881006199225657,3136.0,Divert,-0.25,Divert,-0.25,Divert,-0.31189938007743434
PSU,021,Human_Single,Sample-Exam-2,5,11,17660.0,1,0.4,0.18404820457740712,3,0,2325.0,44.0,56.0,0,10,U-Sensitive,0.6,0.2,10264.0,0.35,0.426299273976835,2949.0,Divert,-0.65,Divert,-0.65,Divert,-0.573700726023165
PSU,021,Human_Single,Sample-Exam-2,5,12,29000.0,1,0.7,0.38887270333701096,3,0,6302.0,41.0,59.0,0,11,U-Sensitive,0.4,0.2,18049.0,0.33,0.3091497344998376,3011.0,Divert,-0.6699999999999999,Do_Not_Divert,-0.2200320473927183,Do_Not_Divert,-0.2061298455542865
