site_id,subject_id,Age,Gender,ProbabilityAndStatsTraining,BIS,BASDrive,BASFunSeeking,BASRewardResponsiveness,BASTotal,SNA,VGE
PSU,021,19,male,2,17,9,11,19,39,,
PSU,022,55,male,1,19,7,10,16,33,,
PSU,023,21,male,3,16,13,12,18,43,,
PSU,024,19,male,2,12,11,13,16,40,,
PSU,025,20,female,2,18,15,12,20,47,,
PSU,026,25,male,3,10,12,13,15,40,,
PSU,027,20,male,2,20,11,10,16,37,,
PSU,028,19,male,3,17,14,11,18,43,,
PSU,029,21,male,3,12,14,14,17,45,,
PSU,030,22,male,3,20,12,14,19,45,,
PSU,031,21,male,1,20,11,10,17,38,,
PSU,032,21,male,3,20,12,13,18,43,,
PSU,033,21,male,3,21,12,13,17,42,,
PSU,034,21,male,3,22,15,16,20,51,,
PSU,035,20,male,2,16,11,10,16,37,,
PSU,036,21,female,1,24,13,15,20,48,,
PSU,037,21,female,2,27,11,15,20,46,,
PSU,038,22,female,2,17,11,12,15,38,,
PSU,039,20,female,2,20,10,11,15,36,,
PSU,040,23,male,2,17,13,14,18,45,,
PSU,041,21,female,3,27,16,13,19,48,,
PSU,042,23,male,3,17,13,12,18,43,,
PSU,043,27,male,3,17,15,12,17,44,,
PSU,044,22,male,1,21,11,14,19,44,,
PSU,045,20,female,1,25,8,10,12,30,,
PSU,046,22,male,2,15,10,12,16,38,,
PSU,047,22,male,2,14,11,10,18,39,,
PSU,048,21,male,3,20,15,11,18,44,,
PSU,049,20,female,2,23,12,13,18,43,,
PSU,050,22,male,3,16,13,14,17,44,,
