LayerID,LayerType,ObjectID,ObjectOrientation,Data,X,Y,Sector
1,IMINT,5,1,0,86,63,1
1,IMINT,2,4,0,112,91,1
1,IMINT,1,2,1,51,79,1
1,IMINT,6,4,1,46,60,1
1,IMINT,201,3,0,85,89,1
1,IMINT,3,3,0,215,100,2
1,IMINT,7,3,0,205,64,2
1,IMINT,4,4,0,200,140,2
1,IMINT,5,4,0,191,133,2
1,IMINT,6,1,0,249,87,2
1,IMINT,5,1,0,72,234,3
1,IMINT,1,3,0,101,259,3
1,IMINT,6,4,1,104,210,3
1,IMINT,3,4,0,34,254,3
1,IMINT,4,1,0,48,263,3
1,IMINT,2,2,0,41,205,3
1,IMINT,4,2,0,236,222,4
1,IMINT,7,4,0,277,222,4
1,IMINT,1,1,0,197,237,4
1,IMINT,6,1,0,260,256,4
1,IMINT,2,3,0,216,257,4
2,SIGINT,1,,1,231,99,2
2,SIGINT,1,,1,221,242,4
2,SIGINT,1,,1,237,246,4
2,SIGINT,1,,1,245,222,4
2,SIGINT,1,,1,228,238,4
2,SIGINT,1,,1,246,239,4
2,SIGINT,1,,1,239,254,4
2,SIGINT,1,,1,229,258,4
3,MASINT,1,,1,61,79,1
3,MASINT,1,,1,84,55,1
3,MASINT,1,,1,77,64,1
3,MASINT,1,,1,108,85,1
3,MASINT,1,,1,105,80,1
3,MASINT,1,,1,76,71,1
3,MASINT,1,,1,69,91,1
3,MASINT,2,,1,62,97,1
3,MASINT,2,,1,96,79,1
3,MASINT,2,,1,87,74,1
3,MASINT,2,,1,88,82,1
3,MASINT,2,,1,57,60,1
3,MASINT,2,,1,52,71,1
3,MASINT,1,,1,204,90,2
3,MASINT,1,,1,200,126,2
3,MASINT,1,,1,189,93,2
3,MASINT,1,,1,225,103,2
3,MASINT,1,,1,230,105,2
3,MASINT,1,,1,214,135,2
3,MASINT,1,,1,231,90,2
3,MASINT,2,,1,269,250,4
3,MASINT,2,,1,229,250,4
3,MASINT,2,,1,265,230,4
