LayerID,LayerType,ObjectID,ObjectOrientation,Data,X,Y,Sector
1,IMINT,6,4,1,219,187,1
1,IMINT,7,4,0,206,225,1
1,IMINT,1,4,0,190,214,1
1,IMINT,3,4,0,219,232,1
1,IMINT,3,3,1,65,219,2
1,IMINT,4,1,1,36,215,2
1,IMINT,5,4,1,94,228,2
1,IMINT,7,4,1,78,197,2
1,IMINT,6,1,1,61,198,2
1,IMINT,1,3,0,73,245,2
1,IMINT,1,4,0,87,76,3
1,IMINT,6,4,0,131,71,3
1,IMINT,2,2,1,106,114,3
1,IMINT,201,3,0,74,66,3
2,SIGINT,1,,1,211,231,1
2,SIGINT,1,,1,201,229,1
2,SIGINT,1,,1,221,220,1
2,SIGINT,1,,1,216,231,1
2,SIGINT,1,,1,218,204,1
2,SIGINT,1,,1,223,203,1
2,SIGINT,1,,1,48,209,2
2,SIGINT,1,,1,85,231,2
2,SIGINT,1,,1,88,212,2
2,SIGINT,1,,1,100,81,3
2,SIGINT,1,,1,82,105,3
2,SIGINT,1,,1,80,89,3
2,SIGINT,1,,1,82,61,3
2,SIGINT,1,,1,96,94,3
3,MASINT,2,,1,227,228,1
3,MASINT,2,,1,209,201,1
3,MASINT,2,,1,197,227,1
3,MASINT,2,,1,227,236,1
3,MASINT,1,,1,76,236,2
3,MASINT,1,,1,88,194,2
3,MASINT,1,,1,66,216,2
3,MASINT,1,,1,59,239,2
3,MASINT,1,,1,90,207,2
3,MASINT,1,,1,39,202,2
3,MASINT,2,,1,53,235,2
3,MASINT,2,,1,61,202,2
3,MASINT,2,,1,80,215,2
3,MASINT,2,,1,52,212,2
3,MASINT,2,,1,75,234,2
3,MASINT,2,,1,70,214,2
3,MASINT,2,,1,70,215,2
