LayerID,LayerType,ObjectID,ObjectOrientation,Data,X,Y,Sector
1,IMINT,6,1,0,98,62,1
1,IMINT,4,1,1,120,83,1
1,IMINT,3,1,0,81,79,1
1,IMINT,2,3,0,130,65,1
1,IMINT,3,4,0,87,194,2
1,IMINT,5,3,0,76,189,2
1,IMINT,2,3,0,90,213,2
1,IMINT,1,3,0,106,184,2
1,IMINT,4,3,0,105,207,2
1,IMINT,4,4,0,213,62,3
1,IMINT,6,2,0,206,76,3
1,IMINT,7,1,0,225,79,3
1,IMINT,5,2,0,218,84,3
1,IMINT,2,4,0,195,69,3
2,SIGINT,1,,1,82,180,2
2,SIGINT,1,,1,107,206,2
2,SIGINT,1,,1,92,208,2
2,SIGINT,1,,1,103,209,2
2,SIGINT,1,,1,112,204,2
2,SIGINT,1,,1,88,185,2
2,SIGINT,1,,1,98,217,2
3,MASINT,1,,1,94,56,1
3,MASINT,1,,1,86,96,1
3,MASINT,1,,1,120,53,1
3,MASINT,1,,1,103,46,1
3,MASINT,2,,1,90,55,1
3,MASINT,2,,1,81,93,1
3,MASINT,2,,1,116,65,1
3,MASINT,2,,1,114,73,1
3,MASINT,2,,1,121,58,1
3,MASINT,2,,1,123,73,1
3,MASINT,2,,1,110,63,1
3,MASINT,2,,1,120,185,2
3,MASINT,2,,1,102,212,2
3,MASINT,2,,1,94,176,2
3,MASINT,1,,1,228,64,3
3,MASINT,1,,1,192,70,3
3,MASINT,1,,1,221,51,3
3,MASINT,1,,1,216,76,3
3,MASINT,1,,1,207,83,3
3,MASINT,1,,1,216,49,3
3,MASINT,2,,1,203,71,3
3,MASINT,2,,1,235,67,3
3,MASINT,2,,1,227,79,3
3,MASINT,2,,1,225,82,3
3,MASINT,2,,1,237,60,3
3,MASINT,2,,1,220,78,3
3,MASINT,2,,1,203,51,3
