ObjectId,ObjectType,X,Y
1,Road,33,0
1,Road,33,1
1,Road,34,1
1,Road,35,2
1,Road,36,2
1,Road,37,3
1,Road,38,3
1,Road,39,4
1,Road,40,5
1,Road,41,5
1,Road,42,5
1,Road,43,6
1,Road,44,7
1,Road,45,8
1,Road,46,8
1,Road,47,9
1,Road,48,10
1,Road,49,11
1,Road,49,12
1,Road,50,13
1,Road,51,13
1,Road,51,14
1,Road,52,15
1,Road,52,16
1,Road,52,17
1,Road,52,18
1,Road,52,19
1,Road,52,20
1,Road,52,21
1,Road,53,22
1,Road,53,23
1,Road,54,24
1,Road,54,25
1,Road,55,26
1,Road,55,27
1,Road,55,28
1,Road,55,29
1,Road,56,30
1,Road,56,31
1,Road,57,32
1,Road,57,33
1,Road,57,34
1,Road,57,35
1,Road,57,36
1,Road,57,37
1,Road,57,38
1,Road,57,39
1,Road,57,40
1,Road,57,41
1,Road,57,42
1,Road,57,43
1,Road,57,44
1,Road,57,45
1,Road,57,46
1,Road,57,47
1,Road,57,48
1,Road,57,49
1,Road,57,50
1,Road,57,51
1,Road,57,52
1,Road,57,53
1,Road,57,54
1,Road,57,55
1,Road,57,56
1,Road,56,57
1,Road,56,58
1,Road,55,59
1,Road,54,60
1,Road,54,61
1,Road,54,62
1,Road,53,63
1,Road,53,64
1,Road,52,65
1,Road,51,65
1,Road,50,66
1,Road,50,67
1,Road,49,68
1,Road,48,69
1,Road,47,70
1,Road,46,71
1,Road,45,72
1,Road,44,73
1,Road,43,74
1,Road,42,74
1,Road,41,75
1,Road,40,75
1,Road,39,76
1,Road,39,77
1,Road,38,78
1,Road,37,79
1,Road,36,79
1,Road,35,80
1,Road,34,80
1,Road,33,81
1,Road,32,81
1,Road,31,82
1,Road,30,83
1,Road,29,84
1,Road,28,84
1,Road,27,85
1,Road,26,86
1,Road,25,86
1,Road,24,87
1,Road,23,88
1,Road,22,89
1,Road,21,90
1,Road,20,90
1,Road,19,91
1,Road,18,91
1,Road,17,92
1,Road,16,93
1,Road,16,94
1,Road,15,95
1,Road,14,96
1,Road,13,96
1,Road,12,97
1,Road,11,97
1,Road,10,97
1,Road,9,98
1,Road,8,98
1,Road,7,99
1,Road,6,99
1,Road,5,99
1,Road,4,99
2,Road,0,33
2,Road,1,33
2,Road,2,33
2,Road,3,33
2,Road,4,33
2,Road,5,33
2,Road,6,33
2,Road,7,33
2,Road,8,33
2,Road,9,33
2,Road,10,33
2,Road,11,33
2,Road,12,33
2,Road,13,33
2,Road,14,33
2,Road,15,33
2,Road,16,33
2,Road,17,33
2,Road,18,33
2,Road,19,33
2,Road,20,33
2,Road,21,33
2,Road,22,33
2,Road,23,33
2,Road,24,33
2,Road,25,33
2,Road,26,33
2,Road,27,33
2,Road,28,33
2,Road,29,33
2,Road,30,33
2,Road,31,33
2,Road,32,33
2,Road,33,33
2,Road,34,33
2,Road,35,33
2,Road,36,33
2,Road,37,33
2,Road,38,33
2,Road,39,33
2,Road,40,33
2,Road,41,32
2,Road,42,32
2,Road,43,32
2,Road,44,31
2,Road,45,31
2,Road,46,31
2,Road,47,31
2,Road,48,30
2,Road,49,30
2,Road,50,30
2,Road,51,29
2,Road,52,29
2,Road,53,28
2,Road,54,27
2,Road,55,26
2,Road,55,25
2,Road,56,24
2,Road,57,23
2,Road,58,22
2,Road,59,21
2,Road,59,20
2,Road,60,19
2,Road,60,18
2,Road,60,17
2,Road,61,16
2,Road,61,15
2,Road,61,14
2,Road,62,13
2,Road,62,12
2,Road,63,11
2,Road,64,10
2,Road,64,9
2,Road,65,8
2,Road,65,7
2,Road,65,6
2,Road,66,5
2,Road,66,4
2,Road,67,3
2,Road,68,2
2,Road,69,1
2,Road,70,0
3,Road,0,58
3,Road,1,58
3,Road,2,58
3,Road,3,58
3,Road,4,58
3,Road,5,58
3,Road,6,58
3,Road,7,58
3,Road,8,58
3,Road,9,58
3,Road,10,58
3,Road,11,58
3,Road,12,58
3,Road,13,58
3,Road,14,58
3,Road,15,58
3,Road,16,58
3,Road,17,58
3,Road,18,58
3,Road,19,58
3,Road,20,58
3,Road,21,58
3,Road,22,58
3,Road,23,58
3,Road,24,58
3,Road,25,58
3,Road,26,58
3,Road,27,58
3,Road,28,58
3,Road,29,58
3,Road,30,58
3,Road,31,58
3,Road,32,58
3,Road,33,58
3,Road,34,58
3,Road,35,58
3,Road,36,58
3,Road,37,58
3,Road,38,58
3,Road,39,58
3,Road,40,58
3,Road,41,58
3,Road,42,58
3,Road,43,58
3,Road,44,58
3,Road,45,58
3,Road,46,58
3,Road,47,58
3,Road,48,58
3,Road,49,58
3,Road,50,58
3,Road,51,58
3,Road,52,58
3,Road,53,58
3,Road,54,58
3,Road,55,58
3,Road,56,58
3,Road,57,58
3,Road,58,58
3,Road,59,58
3,Road,60,58
3,Road,61,58
3,Road,62,58
3,Road,63,58
3,Road,64,58
3,Road,65,59
3,Road,66,59
3,Road,67,59
3,Road,68,59
3,Road,69,59
3,Road,70,59
3,Road,71,59
3,Road,72,60
3,Road,73,60
3,Road,74,60
3,Road,75,60
3,Road,76,60
3,Road,77,60
3,Road,78,61
3,Road,79,61
3,Road,80,61
3,Road,81,61
3,Road,82,62
3,Road,83,62
3,Road,84,62
3,Road,85,63
3,Road,86,63
3,Road,87,63
3,Road,88,63
3,Road,89,64
3,Road,90,64
3,Road,91,64
3,Road,92,65
3,Road,93,65
3,Road,94,66
3,Road,95,66
3,Road,96,67
3,Road,97,67
3,Road,98,68
3,Road,99,68
3,Road,99,69
4,Road,86,0
4,Road,86,1
4,Road,86,2
4,Road,86,3
4,Road,86,4
4,Road,86,5
4,Road,86,6
4,Road,86,7
4,Road,86,8
4,Road,86,9
4,Road,86,10
4,Road,86,11
4,Road,86,12
4,Road,86,13
4,Road,86,14
4,Road,86,15
4,Road,86,16
4,Road,86,17
4,Road,86,18
4,Road,86,19
4,Road,86,20
4,Road,86,21
4,Road,86,22
4,Road,86,23
4,Road,86,24
4,Road,86,25
4,Road,86,26
4,Road,86,27
4,Road,86,28
4,Road,86,29
4,Road,86,30
4,Road,86,31
4,Road,86,32
4,Road,86,33
4,Road,86,34
4,Road,86,35
4,Road,86,36
4,Road,86,37
4,Road,86,38
4,Road,86,39
4,Road,86,40
4,Road,86,41
4,Road,86,42
4,Road,86,43
4,Road,86,44
4,Road,86,45
4,Road,86,46
4,Road,86,47
4,Road,86,48
4,Road,86,49
4,Road,86,50
4,Road,86,51
4,Road,86,52
4,Road,86,53
4,Road,86,54
4,Road,86,55
4,Road,86,56
4,Road,86,57
4,Road,86,58
4,Road,86,59
4,Road,86,60
4,Road,86,61
4,Road,86,62
4,Road,85,63
4,Road,85,64
4,Road,85,65
4,Road,84,66
4,Road,84,67
4,Road,84,68
4,Road,83,69
4,Road,83,70
4,Road,82,71
4,Road,82,72
4,Road,82,73
4,Road,81,74
4,Road,81,75
4,Road,80,76
4,Road,80,77
4,Road,79,78
4,Road,79,79
4,Road,79,80
4,Road,78,81
4,Road,78,82
4,Road,78,83
4,Road,77,84
4,Road,77,85
4,Road,76,86
4,Road,76,87
4,Road,76,88
4,Road,75,89
4,Road,75,90
4,Road,75,91
4,Road,75,92
4,Road,74,93
4,Road,74,94
4,Road,74,95
4,Road,74,96
4,Road,74,97
4,Road,73,98
4,Road,73,99
