X,Y,SOCINT
0,0,2
0,1,2
0,2,2
0,3,2
0,4,2
0,5,2
0,6,2
0,7,2
0,8,2
0,9,2
0,10,2
0,11,2
0,12,2
0,13,2
0,14,2
0,15,2
0,16,2
0,17,2
0,18,2
0,19,2
0,20,2
0,21,2
0,22,2
0,23,2
0,24,2
0,25,2
0,26,2
0,27,2
0,28,2
0,29,2
0,30,4
0,31,4
0,32,4
0,33,4
0,34,4
0,35,4
0,36,4
0,37,4
0,38,4
0,39,4
0,40,4
0,41,4
0,42,4
0,43,4
0,44,4
0,45,4
0,46,4
0,47,4
0,48,4
0,49,4
0,50,4
0,51,4
0,52,4
0,53,4
0,54,4
0,55,4
0,56,4
0,57,4
0,58,4
0,59,4
0,60,4
0,61,4
0,62,4
0,63,4
0,64,4
0,65,4
0,66,4
0,67,4
0,68,4
0,69,4
0,70,4
0,71,4
0,72,4
0,73,4
0,74,4
0,75,4
0,76,4
0,77,4
0,78,4
0,79,4
0,80,4
0,81,4
0,82,4
0,83,4
0,84,4
0,85,4
0,86,4
0,87,4
0,88,4
0,89,4
0,90,4
0,91,4
0,92,4
0,93,4
0,94,4
0,95,4
0,96,4
0,97,4
0,98,4
0,99,4
1,0,2
1,1,2
1,2,2
1,3,2
1,4,2
1,5,2
1,6,2
1,7,2
1,8,2
1,9,2
1,10,2
1,11,2
1,12,2
1,13,2
1,14,2
1,15,2
1,16,2
1,17,2
1,18,2
1,19,2
1,20,2
1,21,2
1,22,2
1,23,2
1,24,2
1,25,2
1,26,2
1,27,2
1,28,2
1,29,2
1,30,4
1,31,4
1,32,4
1,33,4
1,34,4
1,35,4
1,36,4
1,37,4
1,38,4
1,39,4
1,40,4
1,41,4
1,42,4
1,43,4
1,44,4
1,45,4
1,46,4
1,47,4
1,48,4
1,49,4
1,50,4
1,51,4
1,52,4
1,53,4
1,54,4
1,55,4
1,56,4
1,57,4
1,58,4
1,59,4
1,60,4
1,61,4
1,62,4
1,63,4
1,64,4
1,65,4
1,66,4
1,67,4
1,68,4
1,69,4
1,70,4
1,71,4
1,72,4
1,73,4
1,74,4
1,75,4
1,76,4
1,77,4
1,78,4
1,79,4
1,80,4
1,81,4
1,82,4
1,83,4
1,84,4
1,85,4
1,86,4
1,87,4
1,88,4
1,89,4
1,90,4
1,91,4
1,92,4
1,93,4
1,94,4
1,95,4
1,96,4
1,97,4
1,98,4
1,99,4
2,0,2
2,1,2
2,2,2
2,3,2
2,4,2
2,5,2
2,6,2
2,7,2
2,8,2
2,9,2
2,10,2
2,11,2
2,12,2
2,13,2
2,14,2
2,15,2
2,16,2
2,17,2
2,18,2
2,19,2
2,20,2
2,21,2
2,22,2
2,23,2
2,24,2
2,25,2
2,26,2
2,27,2
2,28,2
2,29,2
2,30,4
2,31,4
2,32,4
2,33,4
2,34,4
2,35,4
2,36,4
2,37,4
2,38,4
2,39,4
2,40,4
2,41,4
2,42,4
2,43,4
2,44,4
2,45,4
2,46,4
2,47,4
2,48,4
2,49,4
2,50,4
2,51,4
2,52,4
2,53,4
2,54,4
2,55,4
2,56,4
2,57,4
2,58,4
2,59,4
2,60,4
2,61,4
2,62,4
2,63,4
2,64,4
2,65,4
2,66,4
2,67,4
2,68,4
2,69,4
2,70,4
2,71,4
2,72,4
2,73,4
2,74,4
2,75,4
2,76,4
2,77,4
2,78,4
2,79,4
2,80,4
2,81,4
2,82,4
2,83,4
2,84,4
2,85,4
2,86,4
2,87,4
2,88,4
2,89,4
2,90,4
2,91,4
2,92,4
2,93,4
2,94,4
2,95,4
2,96,4
2,97,4
2,98,4
2,99,4
3,0,2
3,1,2
3,2,2
3,3,2
3,4,2
3,5,2
3,6,2
3,7,2
3,8,2
3,9,2
3,10,2
3,11,2
3,12,2
3,13,2
3,14,2
3,15,2
3,16,2
3,17,2
3,18,2
3,19,2
3,20,2
3,21,2
3,22,2
3,23,2
3,24,2
3,25,2
3,26,2
3,27,2
3,28,2
3,29,2
3,30,4
3,31,4
3,32,4
3,33,4
3,34,4
3,35,4
3,36,4
3,37,4
3,38,4
3,39,4
3,40,4
3,41,4
3,42,4
3,43,4
3,44,4
3,45,4
3,46,4
3,47,4
3,48,4
3,49,4
3,50,4
3,51,4
3,52,4
3,53,4
3,54,4
3,55,4
3,56,4
3,57,4
3,58,4
3,59,4
3,60,4
3,61,4
3,62,4
3,63,4
3,64,4
3,65,4
3,66,4
3,67,4
3,68,4
3,69,4
3,70,4
3,71,4
3,72,4
3,73,4
3,74,4
3,75,4
3,76,4
3,77,4
3,78,4
3,79,4
3,80,4
3,81,4
3,82,4
3,83,4
3,84,4
3,85,4
3,86,4
3,87,4
3,88,4
3,89,4
3,90,4
3,91,4
3,92,4
3,93,4
3,94,4
3,95,4
3,96,4
3,97,4
3,98,4
3,99,4
4,0,2
4,1,2
4,2,2
4,3,2
4,4,2
4,5,2
4,6,2
4,7,2
4,8,2
4,9,2
4,10,2
4,11,2
4,12,2
4,13,2
4,14,2
4,15,2
4,16,2
4,17,2
4,18,2
4,19,2
4,20,2
4,21,2
4,22,2
4,23,2
4,24,2
4,25,2
4,26,2
4,27,2
4,28,2
4,29,2
4,30,4
4,31,4
4,32,4
4,33,4
4,34,4
4,35,4
4,36,4
4,37,4
4,38,4
4,39,4
4,40,4
4,41,4
4,42,4
4,43,4
4,44,4
4,45,4
4,46,4
4,47,4
4,48,4
4,49,4
4,50,4
4,51,4
4,52,4
4,53,4
4,54,4
4,55,4
4,56,4
4,57,4
4,58,4
4,59,4
4,60,4
4,61,4
4,62,4
4,63,4
4,64,4
4,65,4
4,66,4
4,67,4
4,68,4
4,69,4
4,70,4
4,71,4
4,72,4
4,73,4
4,74,4
4,75,4
4,76,4
4,77,4
4,78,4
4,79,4
4,80,4
4,81,4
4,82,4
4,83,4
4,84,4
4,85,4
4,86,4
4,87,4
4,88,4
4,89,4
4,90,4
4,91,4
4,92,4
4,93,4
4,94,4
4,95,4
4,96,4
4,97,4
4,98,4
4,99,4
5,0,2
5,1,2
5,2,2
5,3,2
5,4,2
5,5,2
5,6,2
5,7,2
5,8,2
5,9,2
5,10,2
5,11,2
5,12,2
5,13,2
5,14,2
5,15,2
5,16,2
5,17,2
5,18,2
5,19,2
5,20,2
5,21,2
5,22,2
5,23,2
5,24,2
5,25,2
5,26,2
5,27,2
5,28,2
5,29,2
5,30,4
5,31,4
5,32,4
5,33,4
5,34,4
5,35,4
5,36,4
5,37,4
5,38,4
5,39,4
5,40,4
5,41,4
5,42,4
5,43,4
5,44,4
5,45,4
5,46,4
5,47,4
5,48,4
5,49,4
5,50,4
5,51,4
5,52,4
5,53,4
5,54,4
5,55,4
5,56,4
5,57,4
5,58,4
5,59,4
5,60,4
5,61,4
5,62,4
5,63,4
5,64,4
5,65,4
5,66,4
5,67,4
5,68,4
5,69,4
5,70,4
5,71,4
5,72,4
5,73,4
5,74,4
5,75,4
5,76,4
5,77,4
5,78,4
5,79,4
5,80,4
5,81,4
5,82,4
5,83,4
5,84,4
5,85,4
5,86,4
5,87,4
5,88,4
5,89,4
5,90,4
5,91,4
5,92,4
5,93,4
5,94,4
5,95,4
5,96,4
5,97,4
5,98,4
5,99,4
6,0,2
6,1,2
6,2,2
6,3,2
6,4,2
6,5,2
6,6,2
6,7,2
6,8,2
6,9,2
6,10,2
6,11,2
6,12,2
6,13,2
6,14,2
6,15,2
6,16,2
6,17,2
6,18,2
6,19,2
6,20,2
6,21,2
6,22,2
6,23,2
6,24,2
6,25,2
6,26,2
6,27,2
6,28,2
6,29,2
6,30,4
6,31,4
6,32,4
6,33,4
6,34,4
6,35,4
6,36,4
6,37,4
6,38,4
6,39,4
6,40,4
6,41,4
6,42,4
6,43,4
6,44,4
6,45,4
6,46,4
6,47,4
6,48,4
6,49,4
6,50,4
6,51,4
6,52,4
6,53,4
6,54,4
6,55,4
6,56,4
6,57,4
6,58,4
6,59,4
6,60,4
6,61,4
6,62,4
6,63,4
6,64,4
6,65,4
6,66,4
6,67,4
6,68,4
6,69,4
6,70,4
6,71,4
6,72,4
6,73,4
6,74,4
6,75,4
6,76,4
6,77,4
6,78,4
6,79,4
6,80,4
