ObjectId,ObjectType,X,Y
1,Road,57,0
1,Road,57,1
1,Road,57,2
1,Road,56,3
1,Road,55,3
1,Road,54,4
1,Road,54,5
1,Road,53,5
1,Road,53,6
1,Road,52,7
1,Road,51,7
1,Road,51,8
1,Road,51,9
1,Road,51,10
1,Road,51,11
1,Road,51,12
1,Road,51,13
1,Road,51,14
1,Road,52,14
1,Road,52,15
1,Road,52,16
1,Road,52,17
1,Road,52,18
1,Road,52,19
1,Road,53,19
1,Road,53,20
1,Road,53,21
1,Road,54,21
1,Road,54,22
1,Road,54,23
1,Road,55,23
1,Road,56,24
1,Road,57,25
1,Road,57,26
1,Road,58,27
1,Road,58,28
1,Road,59,28
1,Road,60,29
1,Road,60,30
1,Road,60,31
1,Road,61,31
1,Road,61,32
1,Road,62,32
1,Road,63,33
1,Road,63,34
1,Road,64,35
1,Road,65,36
1,Road,65,37
1,Road,66,38
1,Road,66,39
1,Road,67,39
1,Road,68,40
1,Road,68,41
1,Road,69,42
1,Road,69,43
1,Road,69,44
1,Road,70,44
1,Road,71,45
1,Road,71,46
1,Road,72,47
1,Road,72,48
1,Road,72,49
1,Road,73,49
1,Road,74,50
1,Road,74,51
1,Road,74,52
1,Road,75,53
1,Road,75,54
1,Road,76,54
1,Road,76,55
1,Road,77,56
1,Road,77,57
1,Road,77,58
1,Road,77,59
1,Road,77,60
1,Road,78,60
1,Road,79,61
1,Road,79,62
1,Road,80,63
1,Road,80,64
1,Road,80,65
1,Road,80,66
1,Road,80,67
1,Road,80,68
1,Road,80,69
1,Road,80,70
1,Road,80,71
1,Road,80,72
1,Road,80,73
1,Road,80,74
1,Road,80,75
1,Road,80,76
1,Road,80,77
1,Road,80,78
1,Road,80,79
1,Road,80,80
1,Road,80,81
1,Road,80,82
1,Road,80,83
1,Road,80,84
1,Road,80,85
1,Road,80,86
1,Road,80,87
1,Road,80,88
1,Road,80,89
1,Road,80,90
1,Road,80,91
1,Road,80,92
1,Road,80,93
1,Road,80,94
1,Road,80,95
1,Road,79,95
1,Road,79,96
1,Road,79,97
1,Road,78,98
1,Road,78,99
2,Road,82,0
2,Road,82,1
2,Road,83,1
2,Road,83,2
2,Road,84,2
2,Road,85,2
2,Road,85,3
2,Road,86,3
2,Road,86,4
2,Road,87,4
2,Road,87,5
2,Road,87,6
2,Road,87,7
2,Road,88,8
2,Road,88,9
2,Road,89,9
2,Road,89,10
2,Road,90,10
2,Road,90,11
2,Road,91,11
2,Road,91,12
2,Road,91,13
2,Road,92,13
2,Road,92,14
2,Road,92,15
2,Road,92,16
2,Road,92,17
2,Road,92,18
2,Road,92,19
2,Road,92,20
2,Road,91,21
2,Road,91,22
2,Road,90,23
2,Road,90,24
2,Road,90,25
2,Road,90,26
2,Road,89,27
2,Road,89,28
2,Road,88,28
2,Road,88,29
2,Road,87,30
2,Road,86,30
2,Road,86,31
2,Road,85,31
2,Road,84,32
2,Road,83,32
2,Road,82,32
2,Road,81,32
2,Road,81,33
2,Road,80,33
2,Road,79,34
2,Road,78,34
2,Road,77,34
2,Road,76,34
2,Road,75,34
2,Road,75,35
2,Road,74,35
2,Road,74,36
2,Road,73,36
2,Road,73,37
2,Road,72,37
2,Road,71,38
2,Road,71,39
2,Road,70,39
2,Road,70,40
2,Road,69,40
2,Road,68,40
2,Road,68,41
2,Road,67,41
2,Road,66,41
2,Road,66,42
2,Road,65,42
2,Road,64,43
2,Road,63,43
2,Road,62,43
2,Road,61,43
2,Road,60,44
2,Road,59,44
2,Road,59,45
2,Road,58,45
2,Road,57,45
2,Road,56,45
2,Road,56,46
2,Road,55,46
2,Road,54,47
2,Road,54,48
2,Road,53,48
2,Road,53,49
2,Road,52,49
2,Road,51,49
2,Road,51,50
2,Road,51,51
2,Road,50,51
2,Road,49,51
2,Road,49,52
2,Road,48,52
2,Road,48,53
2,Road,48,54
2,Road,47,54
2,Road,47,55
2,Road,47,56
2,Road,47,57
2,Road,47,58
2,Road,47,59
2,Road,47,60
2,Road,47,61
2,Road,47,62
2,Road,47,63
2,Road,47,64
2,Road,46,64
2,Road,46,65
2,Road,46,66
2,Road,46,67
2,Road,45,67
2,Road,45,68
2,Road,44,69
2,Road,44,70
2,Road,44,71
2,Road,44,72
2,Road,43,73
2,Road,43,74
2,Road,42,74
2,Road,42,75
2,Road,42,76
2,Road,41,77
2,Road,40,78
2,Road,39,78
2,Road,38,78
2,Road,38,79
2,Road,38,80
2,Road,37,80
2,Road,36,81
2,Road,35,81
2,Road,35,82
2,Road,34,82
2,Road,33,82
2,Road,32,83
2,Road,31,84
2,Road,30,85
2,Road,29,85
2,Road,28,85
2,Road,28,86
2,Road,27,86
2,Road,26,87
2,Road,25,87
2,Road,24,88
2,Road,23,88
2,Road,22,89
2,Road,21,89
2,Road,20,90
2,Road,19,91
2,Road,18,91
2,Road,18,92
2,Road,17,92
2,Road,17,93
2,Road,16,93
2,Road,15,93
2,Road,14,93
2,Road,14,94
2,Road,13,95
2,Road,13,96
2,Road,12,96
2,Road,12,97
2,Road,11,97
2,Road,11,98
2,Road,10,99
3,Road,0,28
3,Road,1,28
3,Road,2,28
3,Road,3,28
3,Road,4,28
3,Road,5,28
3,Road,6,28
