site_id,subject_id,participant_ID,age,gender,visual_impairment,visual_impairment_kind,education_associate,education_bachelor,education_certificate,education_master,education_other,education_phd,education_associate_discipline,education_master_discipline,education_certificate_discipline,education_bachelor_discipline,education_phd_discipline,education_other_type,education_other-discipline,education_current_discipline,education_current_degree,probability_statistics_training,probability_statistics_usage,geospatial_data_usage,job_title_position_1,number_years_1,employer_2,employer_3,employer_4,employer_5,employer_6,employer_7,employer_8,employer_9,employer_10,employer_1,job_title_position_10,job_title_position_9,job_title_position_8,job_title_position_7,job_title_position_6,job_title_position_5,job_title_position_4,job_title_position_3,job_title_position_2,number_years_10,number_years_9,number_years_8,number_years_7,number_years_6,number_years_5,number_years_4,number_years_3,number_years_2,geospatial_analysis_expertise,spatial_ability_rating,cognitive_reflection_cents,cognitive_reflection_minutes,cognitive_reflection_days,played_video_games_ever,played_video_games_twelve_months,video_game_time,video_game_hours_per_time,bis-bas_1,bis-bas_2,bis-bas_3,bis-bas_11,bis-bas_12,bis-bas_13,bis-bas_14,bis-bas_15,bis-bas_16,bis-bas_17,bis-bas_18,bis-bas_19,bis-bas_10,bis-bas_20,bis-bas_4,bis-bas_5,bis-bas_6,bis-bas_7,bis-bas_8,bis-bas_9,bis-bas_21,bis-bas_22,bis-bas_23,bis-bas_24,cognitive_style_1,cognitive_style_2,cognitive_style_3,cognitive_style_4,cognitive_style_5,cognitive_style_6,cognitive_style_7,cognitive_style_8,cognitive_style_9,cognitive_style_10,cognitive_style_11,cognitive_style_12,cognitive_style_13,spatial_ability_1,spatial_ability_2,spatial_ability_3,spatial_ability_4,spatial_ability_5,spatial_ability_6,spatial_ability_7,spatial_ability_8,spatial_ability_9,spatial_ability_10,spatial_ability_11,spatial_ability_12,spatial_ability_13,spatial_ability_14,spatial_ability_15,water_test_1,water_test_2,water_test_3,water_test_4,water_test_5,water_test_6,SubmitButton1
PSU,103,103,22,Female,No,,Off,On,Off,Off,Off,Off,Geography,,,,,,,Geography,Bachelor,elementary,occasionally,occasionally,Intern,1.5,Penn State's Housing and Food Services,Seven Stars Inn,,,,,,,,Penn State's Sustainability Institute,,,,,,,,Bus person,Conference Assistant  Desk Clerk,,,,,,,,2,2,novice,good,10,100,24,yes,yes,month,5,somewhat_false,very_true,somewhat_true,somewhat_true,somewhat_false,somewhat_true,somewhat_true,very_true,somewhat_false,very_true,somewhat_true,very_true,very_true,somewhat_false,somewhat_true,somewhat_true,somewhat_true,somewhat_false,very_true,somewhat_false,somewhat_false,very_true,very_true,very_true,disagree,disagree,agree,agree,disagree,agree,disagree,agree,agree,disagree,disagree,agree,fox,slightly_agree,slightly_agree,disagree,slightly_disagree,strongly_agree,disagree,strongly_agree,disagree,agree,agree,agree,disagree,slightly_agree,no_agree_disagree,slightly_disagree,f,c,c,b,c,b,
PSU,104,104,20,Male,Yes,corrective lenses,Off,Off,Off,Off,On,Off,,,,,,High School,General,Information and cybersecurity,Security and Risk Analysis / Sophomore,elementary,rarely,rarely,Front Counter,3,Hidden Valley Scout Reservation,,,,,,,,,Bagel Lovers  Inc.,,,,,,,,,Program Staff,,,,,,,,,3,novice,average,5,100,47,yes,yes,day,3,very_true,very_false,somewhat_true,very_false,somewhat_true,very_true,somewhat_true,somewhat_false,somewhat_true,very_true,somewhat_true,very_true,somewhat_true,somewhat_true,somewhat_true,somewhat_true,somewhat_false,very_true,somewhat_true,somewhat_true,somewhat_false,somewhat_true,very_true,very_true,agree,agree,disagree,agree,agree,disagree,disagree,agree,agree,agree,agree,disagree,fox,agree,slightly_disagree,slightly_agree,slightly_disagree,strongly_disagree,strongly_agree,slightly_agree,no_agree_disagree,no_agree_disagree,agree,slightly_disagree,no_agree_disagree,slightly_agree,disagree,no_agree_disagree,d,c,e,d,a,b,
PSU,105,105,24,Male,No,,Off,On,Off,Off,Off,Off,,,,Mechanical Engineering,,,,Mechanical Engineering,Master,intermediate,occasionally,rarely,RA,1,Zw-Art Mechatronics,Alpha Fire Company,Penn State,Wegmans,,,,,,Penn State,,,,,,Cashier,TA,Volunteer Fire Fighter,Engineer,,,,,,3,2,4,2,novice,average,0.05,5,47,yes,yes,week,10,somewhat_true,somewhat_true,somewhat_true,somewhat_false,somewhat_true,somewhat_true,very_true,very_true,somewhat_false,very_false,very_true,somewhat_false,very_true,very_true,somewhat_true,very_true,somewhat_true,very_true,somewhat_false,somewhat_true,somewhat_false,somewhat_true,very_true,somewhat_false,agree,disagree,agree,agree,disagree,agree,disagree,agree,agree,agree,disagree,disagree,fox,strongly_agree,disagree,slightly_agree,agree,slightly_agree,disagree,agree,strongly_disagree,agree,agree,agree,disagree,disagree,agree,disagree,c,g,e,d,a,e,
PSU,106,106,19,Male,No,,Off,Off,Off,Off,Off,Off,,,,,,,,Computer Engineering,Bachelor,intermediate,occasionally,rarely,Student Manager,1,Pacifico Carpentry Co.,Vector Marketing,,,,,,,,Findlay Dining Commons,,,,,,,,Sales Associate,Skilled Labor,,,,,,,,<1,6,none,excellent,5,5,47,yes,yes,month,5,somewhat_true,very_false,somewhat_true,somewhat_false,somewhat_true,very_true,very_true,very_false,very_true,very_true,somewhat_true,very_true,somewhat_false,somewhat_true,very_true,somewhat_true,somewhat_false,very_true,somewhat_true,somewhat_true,somewhat_false,somewhat_false,very_true,very_true,disagree,disagree,disagree,agree,disagree,agree,disagree,disagree,agree,disagree,disagree,agree,fox,no_agree_disagree,disagree,strongly_disagree,slightly_agree,disagree,slightly_agree,slightly_agree,no_agree_disagree,slightly_agree,strongly_agree,slightly_disagree,slightly_agree,no_agree_disagree,strongly_disagree,agree,c,c,e,d,a,f,
PSU,107,107,21,Male,No,,Off,Off,Off,Off,Off,Off,,,,,,,,Computer Engineering,Bachelor,intermediate,rarely,rarely,Craftsman,7,,,,,,,,,,Pacifico Carpentry,,,,,,,,,,,,,,,,,,,novice,average,5,5,47,yes,yes,week,6,very_true,somewhat_true,very_true,somewhat_true,somewhat_true,somewhat_true,somewhat_true,somewhat_true,somewhat_false,somewhat_true,very_true,somewhat_true,somewhat_true,somewhat_true,very_true,somewhat_true,somewhat_true,very_true,somewhat_false,very_true,very_true,somewhat_false,very_true,somewhat_false,disagree,disagree,disagree,agree,agree,agree,agree,agree,agree,agree,agree,disagree,fox,agree,disagree,agree,agree,agree,no_agree_disagree,slightly_agree,disagree,agree,no_agree_disagree,slightly_disagree,strongly_disagree,disagree,agree,slightly_disagree,c,b,e,g,a,f,
PSU,108,108,20,Male,No,,Off,Off,Off,Off,Off,Off,,,,,,,,Cyber-security/IST,SRA/ Bachelor,elementary,occasionally,never,Computer technician,2,Tom Hixon,,,,,,,,,Michael D'Asaro,,,,,,,,,Camera Operator,,,,,,,,,1,none,weak,10,100,24,yes,yes,day,1,very_true,somewhat_true,somewhat_true,somewhat_true,somewhat_true,somewhat_false,somewhat_true,somewhat_false,somewhat_true,very_true,very_true,very_true,somewhat_false,somewhat_true,very_true,somewhat_true,very_true,very_true,somewhat_true,somewhat_true,somewhat_false,somewhat_false,very_true,very_true,agree,agree,disagree,disagree,agree,agree,disagree,disagree,agree,disagree,agree,disagree,fox,agree,slightly_agree,agree,slightly_agree,disagree,agree,disagree,slightly_agree,no_agree_disagree,slightly_agree,no_agree_disagree,disagree,strongly_agree,agree,slightly_agree,c,c,e,d,a,e,
PSU,109,109,44,Male,Yes,Color blindness,Off,On,Off,On,Off,Off,,Biology,,Secondary Ed. Biology,,,,Science Education,Ph.D,elementary,occasionally,rarely,,,Penn State University,PSU,Upward Bound Math Science,Kutztown University,Roberto Clemente Charter School,,,,,,,,,,Science Teacher/Counselor,Academic Coordinator,Science Teacher,Educational Researcher,Science Education Instructor,,,,,9,8,10,3,2,novice,average,5,100,47,yes,no,year,10,somewhat_true,somewhat_true,somewhat_false,very_false,somewhat_false,somewhat_false,somewhat_false,somewhat_false,somewhat_false,somewhat_false,somewhat_true,somewhat_false,somewhat_true,somewhat_true,somewhat_true,somewhat_true,somewhat_false,somewhat_true,very_false,somewhat_false,somewhat_false,somewhat_false,somewhat_false,somewhat_true,disagree,disagree,agree,agree,agree,disagree,disagree,disagree,disagree,disagree,agree,disagree,fox,agree,disagree,agree,no_agree_disagree,no_agree_disagree,no_agree_disagree,slightly_agree,disagree,agree,disagree,disagree,disagree,disagree,agree,disagree,c,f,e,d,a,d,
PSU,110,110,20,Female,No,,Off,Off,Off,Off,Off,Off,,,,,,,,,SRA/sophomore,elementary,rarely,never,,,Col. Jake Graham,IST,,,,,,,,,,,,,,,,LA - SRA 111,Sentiment Analyst/Research,,,,,,,,1,1,none,weak,10,5,47,yes,no,year,1,somewhat_true,very_false,somewhat_false,somewhat_false,somewhat_true,somewhat_true,somewhat_false,somewhat_false,somewhat_true,somewhat_true,somewhat_false,somewhat_true,somewhat_false,somewhat_false,very_true,somewhat_true,somewhat_true,very_true,somewhat_true,somewhat_false,somewhat_false,very_false,somewhat_true,somewhat_true,agree,disagree,disagree,agree,agree,disagree,disagree,disagree,agree,agree,disagree,disagree,fox,slightly_agree,no_agree_disagree,slightly_disagree,slightly_agree,disagree,slightly_agree,agree,disagree,agree,disagree,no_agree_disagree,disagree,slightly_disagree,slightly_agree,slightly_disagree,f,a,c,f,b,b,
PSU,111,111,22,Male,No,,Off,Off,Off,Off,Off,Off,,,,,,,,aerospace engineering,Bachelor,elementary,rarely,rarely,Laborer,7,Stone Valley Vertical Adventures,Cafe 210,,,,,,,,Temple Aluminum Foundry Inc.,,,,,,,,Dish Washer,Facilitator,,,,,,,,1,3,novice,average,5,5,47,yes,yes,week,4,very_true,somewhat_true,somewhat_true,somewhat_true,somewhat_true,somewhat_false,very_true,somewhat_true,somewhat_true,very_true,very_true,somewhat_true,very_true,very_true,very_true,very_true,very_false,very_true,somewhat_false,somewhat_false,somewhat_false,very_true,very_true,somewhat_false,agree,disagree,agree,agree,disagree,agree,agree,disagree,agree,agree,disagree,disagree,fox,strongly_agree,agree,agree,strongly_agree,slightly_agree,slightly_disagree,agree,disagree,strongly_agree,slightly_disagree,no_agree_disagree,strongly_disagree,no_agree_disagree,slightly_agree,disagree,c,b,d,d,a,e,
PSU,112,112,21,Male,No,,Off,Off,Off,Off,Off,Off,,,,,,,,Information Science and Technology,Undergraduate,elementary,rarely,rarely,Student Researcher,2,Walmart,Quiznos,,,,,,,,Penn State,,,,,,,,Employee,Sales Associate,,,,,,,,2,2,novice,good,5,1,47,yes,yes,month,1,very_true,very_false,somewhat_true,somewhat_true,somewhat_true,very_true,somewhat_true,somewhat_false,somewhat_true,somewhat_true,somewhat_true,somewhat_true,somewhat_true,somewhat_true,somewhat_true,somewhat_true,somewhat_false,somewhat_true,very_true,somewhat_true,somewhat_false,somewhat_true,very_true,very_true,agree,agree,agree,agree,agree,agree,agree,disagree,agree,agree,disagree,agree,fox,agree,slightly_disagree,agree,agree,slightly_agree,slightly_disagree,slightly_agree,slightly_disagree,slightly_agree,strongly_disagree,slightly_disagree,slightly_disagree,disagree,slightly_agree,slightly_disagree,c,d,c,c,a,b,
