site_id,response_generator_id,data_type,exam_id,task_number,trial_number,trial_time,num_blue_locations,red_capability_Pc,red_vulnerability_P_1,red_opportunity_U_1,red_activity_detected_1,red_tactics_most_likely_time,red_tactics_most_likely_tactic,red_tactics_actual_red_tactic,bluebook_Passive_prob_1,bluebook_Aggressive_prob_1,probs_Pp_time,probs_Pp_1,probs_Pp_2,probs_Pp_normative_1,probs_Pp_normative_2,probs_Pp_normative_inc_1,probs_Pp_normative_inc_2,probs_Ppc_time,probs_Ppc_1,probs_Ppc_2,probs_Ppc_normative_1,probs_Ppc_normative_2,probs_Ppc_normative_inc_1,probs_Ppc_normative_inc_2,probs_Ptpc_time,probs_Ptpc_1,probs_Ptpc_2,probs_Ptpc_normative_1,probs_Ptpc_normative_2,probs_Ptpc_normative_inc_1,probs_Ptpc_normative_inc_2,blue_action_time,blue_action_1,blue_action_expected_utility,blue_action_normative_participant_1,blue_action_normative_participant_expected_utility,blue_action_normative_bayesian_1,blue_action_normative_bayesian_expected_utility
PSU,103,Human_Single,Final-Exam-1,2,1,126734.0,1,1.0,0.122406801,4,0,NaN,NaN,Aggressive,0.5,0.8,25568.0,0.65,0.35,0.65,0.35,0.65,0.35,18533.0,0.65,0.35,0.65,0.35,0.65,0.35,5179.0,0.4,0.6,0.4814814814814815,0.5185185185185185,0.6099706744868035,0.39002932551319647,16521.0,Divert,-0.6,Divert,-0.6,Divert,-0.5185185185185185
PSU,103,Human_Single,Final-Exam-1,2,2,129995.0,1,0.4,0.121429501,2,1,28657.0,Passive,Aggressive,0.4,0.7,24586.0,0.55,0.45,0.5846153846153846,0.41538461538461535,0.5846153846153846,0.41538461538461535,16972.0,0.35,0.65,0.23384615384615387,0.7661538461538462,0.22000000000000003,0.78,24336.0,0.5,0.5,0.4779874213836477,0.5220125786163523,0.4468085106382979,0.553191489361702,5819.0,Divert,-0.5,Divert,-0.5,Divert,-0.5220125786163523
PSU,103,Human_Single,Final-Exam-1,2,3,81869.0,1,0.4,0.316709615,2,0,10343.0,Aggressive,Aggressive,0.2,0.5,10249.0,0.35,0.65,0.4184269662921348,0.5815730337078652,0.4184269662921348,0.5815730337078652,8829.0,0.25,0.75,0.16737078651685394,0.8326292134831461,0.13999999999999999,0.86,11747.0,0.25,0.75,0.09132823229350596,0.908671767706494,0.2191780821917808,0.7808219178082192,8502.0,Do_Not_Divert,-0.183290385,Do_Not_Divert,-0.183290385,Do_Not_Divert,-0.06695834743378457
PSU,103,Human_Single,Final-Exam-1,2,4,88780.0,1,0.4,0.128749834,4,1,4914.0,Passive,Aggressive,0.5,0.8,10264.0,0.8,0.2,0.7514192911057331,0.24858070889426687,0.7514192911057331,0.24858070889426687,17050.0,0.6,0.4,0.3005677164422933,0.6994322835577067,0.32000000000000006,0.6799999999999999,10982.0,0.6,0.4,0.563164820918604,0.436835179081396,0.6923076923076923,0.3076923076923077,8705.0,Divert,-0.4,Divert,-0.4,Divert,-0.436835179081396
PSU,103,Human_Single,Final-Exam-1,2,5,47752.0,1,0.4,0.462172589,4,1,3993.0,Aggressive,Aggressive,0.3,0.6,5382.0,0.5,0.5,0.5680646926840526,0.4319353073159474,0.5680646926840526,0.4319353073159474,8299.0,0.45,0.55,0.22722587707362105,0.7727741229263789,0.2,0.8,7410.0,0.5,0.5,0.46868356360196806,0.5313164363980319,0.5510204081632653,0.44897959183673475,3962.0,Do_Not_Divert,-0.1513096439999999,Do_Not_Divert,-0.1513096439999999,Do_Not_Divert,-0.1418326863145302
PSU,103,Human_Single,Final-Exam-1,2,6,50466.0,1,0.4,0.345811268,5,0,5085.0,Aggressive,Aggressive,0.3,0.6,5569.0,0.55,0.45,0.5821003772397566,0.4178996227602434,0.5821003772397566,0.4178996227602434,13167.0,0.5,0.5,0.23284015089590265,0.7671598491040974,0.22000000000000003,0.78,7768.0,0.4,0.6,0.13175952985461178,0.8682404701453882,0.45714285714285713,0.5428571428571429,3698.0,Do_Not_Divert,-0.616754928,Divert,-0.6,Do_Not_Divert,-0.20315834837198735
PSU,103,Human_Single,Final-Exam-1,2,7,42978.0,1,0.7,0.311638031,2,1,6614.0,Aggressive,Aggressive,0.2,0.5,8268.0,0.5,0.5,0.47978478232278043,0.5202152176772196,0.47978478232278043,0.5202152176772196,6287.0,0.55,0.45,0.33584934762594626,0.6641506523740537,0.35,0.65,8643.0,0.7,0.3,0.6027091160264504,0.3972908839735496,0.6470588235294118,0.3529411764705882,4150.0,Do_Not_Divert,-0.5274135132,Divert,-0.30000000000000004,Divert,-0.3972908839735496
PSU,103,Human_Single,Final-Exam-1,2,8,41433.0,1,0.9,0.395225375,2,1,4992.0,Aggressive,Aggressive,0.2,0.5,6864.0,0.45,0.55,0.4795732981819995,0.5204267018180004,0.4795732981819995,0.5204267018180004,4851.0,0.55,0.45,0.43161596836379956,0.5683840316362004,0.405,0.595,4789.0,0.7,0.3,0.6949472470751786,0.30505275292482137,0.6470588235294118,0.3529411764705882,4680.0,Do_Not_Divert,-0.29336895,Do_Not_Divert,-0.29336895,Do_Not_Divert,-0.29125134882833675
PSU,103,Human_Single,Final-Exam-1,2,9,61527.0,1,0.4,0.436206103,4,0,7613.0,Aggressive,Aggressive,0.3,0.6,12027.0,0.5,0.5,0.5906492045295191,0.4093507954704809,0.5906492045295191,0.4093507954704809,6630.0,0.5,0.5,0.23625968181180765,0.7637403181881923,0.2,0.8,9267.0,0.45,0.55,0.13395377957595603,0.866046220424044,0.45714285714285713,0.5428571428571429,2886.0,Do_Not_Divert,-0.22965802919999997,Do_Not_Divert,-0.22965802919999997,Do_Not_Divert,-0.06836346893623393
PSU,103,Human_Single,Final-Exam-1,2,10,38360.0,1,0.4,0.069971517,2,1,2948.0,Aggressive,Aggressive,0.4,0.7,6896.0,0.7,0.3,0.6952674352257704,0.3047325647742296,0.6952674352257704,0.3047325647742296,7051.0,0.6,0.4,0.27810697409030816,0.7218930259096918,0.27999999999999997,0.72,6989.0,0.75,0.25,0.5361222492873402,0.4638777507126598,0.6923076923076923,0.3076923076923077,4056.0,Divert,-0.25,Divert,-0.25,Divert,-0.4638777507126598
