site_id,response_generator_id,data_type,exam_id,task_number,trial_number,trial_time,num_blue_locations,red_capability_Pc,red_vulnerability_P_1,red_vulnerability_P_2,red_opportunity_U_1,red_opportunity_U_2,red_activity_detected_1,red_activity_detected_2,bluebook_Neutral_prob_1,bluebook_Neutral_prob_2,probs_Pp_time,probs_Pp_1,probs_Pp_2,probs_Pp_3,probs_Pp_normative_1,probs_Pp_normative_2,probs_Pp_normative_3,probs_Pp_normative_inc_1,probs_Pp_normative_inc_2,probs_Pp_normative_inc_3,probs_Ppc_time,probs_Ppc_1,probs_Ppc_2,probs_Ppc_3,probs_Ppc_normative_1,probs_Ppc_normative_2,probs_Ppc_normative_3,probs_Ppc_normative_inc_1,probs_Ppc_normative_inc_2,probs_Ppc_normative_inc_3,probs_Ptpc_time,probs_Ptpc_1,probs_Ptpc_2,probs_Ptpc_3,probs_Ptpc_normative_1,probs_Ptpc_normative_2,probs_Ptpc_normative_3,probs_Ptpc_normative_inc_1,probs_Ptpc_normative_inc_2,probs_Ptpc_normative_inc_3,sigint_time,sigint_location_1,sigint_participant_optimal_location_1,sigint_bayesian_optimal_location_1,blue_action_time,blue_action_1,blue_action_2,blue_action_expected_utility,blue_action_normative_participant_1,blue_action_normative_participant_2,blue_action_normative_participant_expected_utility,blue_action_normative_bayesian_1,blue_action_normative_bayesian_2,blue_action_normative_bayesian_expected_utility
PSU,103,Human_Single,Final-Exam-1,3,1,103569.0,2,1.0,0.334456797,0.437983013,2,2,0,1,0.1,0.1,21294.0,0.1,0.1,0.8,0.1,0.1,0.8,0.1,0.1,0.8,17628.0,0.2,0.2,0.6,0.1,0.1,0.8,0.1,0.1,0.8,22433.0,0.3,0.45,0.25,0.06666666666666668,0.39999999999999986,0.5333333333333334,0.14285714285714288,0.4285714285714285,0.4285714285714286,7800.0,2,1,1,9094.0,Do_Not_Divert,Divert,-0.7621485710751446,Do_Not_Divert,Do_Not_Divert,-0.2166473035838151,Do_Not_Divert,Do_Not_Divert,-0.12236193123287674
PSU,103,Human_Single,Final-Exam-1,3,2,71760.0,2,0.4,0.153512717,0.056970253,2,3,0,0,0.3,0.3,8018.0,0.3,0.3,0.4,0.3,0.3,0.4,0.3,0.3,0.4,13135.0,0.25,0.35,0.4,0.12,0.12,0.76,0.12,0.12,0.76,14883.0,0.25,0.4,0.35,0.12,0.11999999999999997,0.76,0.20169851380042467,0.4755838641188959,0.32271762208067944,5694.0,2,2,1,7347.0,Do_Not_Divert,Divert,-0.8976581886666666,Do_Not_Divert,Divert,-0.8976581886666666,Do_Not_Divert,Do_Not_Divert,-0.4332993872142856
PSU,103,Human_Single,Final-Exam-1,3,3,75613.0,2,0.7,0.443770622,0.387804009,2,2,0,0,0.1,0.1,8409.0,0.1,0.1,0.8,0.1,0.1,0.8,0.1,0.1,0.8,21933.0,0.15,0.15,0.7,0.06999999999999999,0.06999999999999999,0.86,0.06999999999999999,0.06999999999999999,0.86,11654.0,0.15,0.15,0.7,0.06999999999999998,0.06999999999999999,0.8600000000000001,0.22911694510739855,0.13603818615751792,0.6348448687350835,7098.0,1,1,1,3447.0,Do_Not_Divert,Do_Not_Divert,-0.08787410556521741,Do_Not_Divert,Do_Not_Divert,-0.08787410556521741,Do_Not_Divert,Do_Not_Divert,-0.04407392833644858
PSU,103,Human_Single,Final-Exam-1,3,4,69951.0,2,0.4,0.348790791,0.137053679,5,5,0,1,0.2,0.4,17394.0,0.2,0.4,0.4,0.2,0.4,0.3999999999999999,0.2,0.4,0.3999999999999999,19032.0,0.01,0.3,0.69,0.08000000000000002,0.16000000000000003,0.76,0.08000000000000002,0.16000000000000003,0.76,12044.0,0.1,0.4,0.5,0.04444444444444447,0.5333333333333333,0.42222222222222217,0.01,0.560377358490566,0.4296226415094338,4353.0,2,2,2,5834.0,Do_Not_Divert,Divert,-0.719505755625,Do_Not_Divert,Divert,-0.719505755625,Do_Not_Divert,Divert,-0.5101203175417299
PSU,103,Human_Single,Final-Exam-1,3,5,83132.0,2,0.4,0.337248619,0.331277966,4,4,0,0,0.2,0.2,5195.0,0.2,0.2,0.6,0.2,0.2,0.6,0.2,0.2,0.6,26098.0,0.15,0.15,0.7,0.08000000000000002,0.08000000000000002,0.84,0.08000000000000002,0.08000000000000002,0.84,11747.0,0.1,0.15,0.75,0.08,0.08000000000000002,0.84,0.22911694510739855,0.13603818615751792,0.6348448687350835,5507.0,1,1,1,5398.0,Do_Not_Divert,Do_Not_Divert,-0.2973510008121827,Do_Not_Divert,Do_Not_Divert,-0.2973510008121827,Do_Not_Divert,Do_Not_Divert,-0.19642869037037042
PSU,103,Human_Single,Final-Exam-1,3,6,92493.0,2,0.4,0.401825107,0.118863044,4,2,0,1,0.2,0.3,9314.0,0.2,0.3,0.5,0.2,0.3,0.5,0.2,0.3,0.5,34445.0,0.15,0.25,0.6,0.08000000000000002,0.12,0.8,0.08000000000000002,0.12,0.8,17223.0,0.1,0.2,0.7,0.08,0.12,0.8,0.22911694510739855,0.22673031026252988,0.5441527446300716,6396.0,1,2,2,9875.0,Do_Not_Divert,Divert,-0.8804407464489796,Do_Not_Divert,Do_Not_Divert,-0.3441332039183673,Do_Not_Divert,Do_Not_Divert,-0.22576956735379644
PSU,103,Human_Single,Final-Exam-1,3,7,66877.0,2,0.4,0.099622344,0.457303476,4,5,0,1,0.4,0.2,6177.0,0.4,0.2,0.4,0.4,0.2,0.3999999999999999,0.4,0.2,0.3999999999999999,13011.0,0.35,0.15,0.5,0.16000000000000003,0.08000000000000002,0.76,0.16000000000000003,0.08000000000000002,0.76,11232.0,0.3,0.15,0.55,0.16,0.08000000000000002,0.76,0.4755838641188959,0.12101910828025479,0.4033970276008493,4290.0,1,1,1,3900.0,Divert,Do_Not_Divert,-0.7799281153926703,Divert,Do_Not_Divert,-0.7799281153926703,Do_Not_Divert,Do_Not_Divert,-0.5066620662820097
PSU,103,Human_Single,Final-Exam-1,3,8,92275.0,2,0.7,0.125905771,0.312691703,5,2,1,0,0.4,0.1,19001.0,0.4,0.1,0.5,0.4,0.1,0.5,0.4,0.1,0.5,19921.0,0.4,0.1,0.5,0.27999999999999997,0.06999999999999999,0.65,0.27999999999999997,0.06999999999999999,0.65,19063.0,0.75,0.1,0.15,0.6999999999999998,0.029166666666666678,0.2708333333333335,0.6666666666666666,0.055555555555555566,0.2777777777777778,9157.0,1,1,1,6615.0,Divert,Do_Not_Divert,-0.2905198158918919,Divert,Do_Not_Divert,-0.2905198158918919,Divert,Do_Not_Divert,-0.3129450858987667
PSU,103,Human_Single,Final-Exam-1,3,9,69373.0,2,0.4,0.111816277,0.281968674,3,3,0,0,0.3,0.1,9454.0,0.3,0.1,0.6,0.3,0.1,0.6,0.3,0.1,0.6,24586.0,0.25,0.05,0.7,0.12,0.04000000000000001,0.84,0.12,0.04000000000000001,0.84,10265.0,0.3,0.05,0.65,0.11999999999999997,0.04000000000000001,0.8400000000000001,0.3595505617977528,0.04269662921348316,0.597752808988764,3463.0,1,1,1,6661.0,Do_Not_Divert,Do_Not_Divert,-0.7203865429340103,Do_Not_Divert,Do_Not_Divert,-0.7203865429340103,Do_Not_Divert,Do_Not_Divert,-0.31587701506109317
PSU,103,Human_Single,Final-Exam-1,3,10,95675.0,2,0.7,0.230668493,0.050440015,4,5,0,0,0.4,0.4,10249.0,0.4,0.4,0.2,0.4,0.4,0.19999999999999996,0.4,0.4,0.19999999999999996,10172.0,0.4,0.45,0.15,0.27999999999999997,0.27999999999999997,0.44000000000000006,0.27999999999999997,0.27999999999999997,0.44000000000000006,37705.0,0.4,0.45,0.15,0.27999999999999997,0.2799999999999999,0.44000000000000017,0.30583501006036223,0.579476861167002,0.11468812877263579,6146.0,2,2,1,5663.0,Do_Not_Divert,Divert,-1.248809088195122,Do_Not_Divert,Divert,-1.248809088195122,Do_Not_Divert,Divert,-1.25258013725
