site_id,response_generator_id,data_type,exam_id,task_number,trial_number,trial_time,num_blue_locations,red_capability_Pc,red_vulnerability_P_1,red_opportunity_U_1,red_activity_detected_1,red_tactics_probs_time,red_tactics_probs_tactic_1,red_tactics_probs_tactic_2,red_tactics_probs_normative_tactic_1,red_tactics_probs_normative_tactic_2,red_tactics_batch_plot_trials_reviewed,red_tactics_batch_plot_trials_total,red_tactics_actual_red_tactic,bluebook_Passive_prob_1,bluebook_Aggressive_prob_1,probs_Pp_time,probs_Pp_1,probs_Pp_2,probs_Pp_normative_1,probs_Pp_normative_2,probs_Pp_normative_inc_1,probs_Pp_normative_inc_2,blue_action_time,blue_action_1,blue_action_expected_utility,blue_action_normative_participant_1,blue_action_normative_participant_expected_utility,blue_action_normative_bayesian_1,blue_action_normative_bayesian_expected_utility
PSU,103,Human_Single,Final-Exam-1,4,1,35413.0,1,1.0,0.103306224,2,1,NaN,NaN,NaN,NaN,NaN,NaN,0,Aggressive,0.4,0.7,23088.0,0.5,0.5,0.55,0.44999999999999996,0.55,0.44999999999999996,10593.0,Do_Not_Divert,-0.793387552,Divert,-0.5,Divert,-0.44999999999999996
PSU,103,Human_Single,Final-Exam-1,4,2,92258.0,1,1.0,0.127420121,4,1,54319.0,0.5,0.5,0.6666666666666666,0.33333333333333337,0,0,Aggressive,0.5,0.8,28953.0,0.65,0.35,0.6000000000000001,0.3999999999999999,0.6000000000000001,0.3999999999999999,7644.0,Divert,-0.35,Divert,-0.35,Divert,-0.3999999999999999
PSU,103,Human_Single,Final-Exam-1,4,3,32807.0,1,0.4,0.418088005,4,0,3822.0,0.5,0.5,0.5689655172413793,0.43103448275862066,0,0,Aggressive,0.3,0.6,18736.0,0.45,0.55,0.4293103448275862,0.5706896551724139,0.4293103448275862,0.5706896551724139,6411.0,Do_Not_Divert,-0.2948831820000001,Do_Not_Divert,-0.2948831820000001,Do_Not_Divert,-0.28132533455172415
PSU,103,Human_Single,Final-Exam-1,4,4,50856.0,1,0.4,0.448895275,3,0,5850.0,0.5,0.5,0.39506172839506176,0.6049382716049383,0,0,Aggressive,0.2,0.5,20483.0,0.35,0.65,0.38148148148148153,0.6185185185185185,0.38148148148148153,0.6185185185185185,23275.0,Do_Not_Divert,-0.10731992250000003,Do_Not_Divert,-0.10731992250000003,Do_Not_Divert,-0.11697303722222228
PSU,103,Human_Single,Final-Exam-1,4,5,29936.0,1,0.7,0.35850384,5,1,3338.0,0.5,0.5,0.5,0.5,0,0,Aggressive,0.3,0.6,15803.0,0.45,0.55,0.44999999999999996,0.55,0.44999999999999996,0.55,8112.0,Do_Not_Divert,-0.6367327199999999,Divert,-0.55,Divert,-0.55
PSU,103,Human_Single,Final-Exam-1,4,6,15086.0,1,0.4,0.334037971,5,0,2512.0,0.5,0.5,0.3350803017381565,0.6649196982618435,0,0,Aggressive,0.3,0.6,6536.0,0.45,0.55,0.499475909478553,0.500524090521447,0.499475909478553,0.500524090521447,3136.0,Divert,-0.55,Divert,-0.55,Divert,-0.500524090521447
PSU,103,Human_Single,Final-Exam-1,4,7,44288.0,1,0.7,0.343385567,3,0,6115.0,0.5,0.5,0.46703522362142746,0.5329647763785725,0,0,Aggressive,0.2,0.5,32542.0,0.35,0.65,0.3598894329135718,0.6401105670864282,0.3598894329135718,0.6401105670864282,4586.0,Do_Not_Divert,-0.32889030929999996,Do_Not_Divert,-0.32889030929999996,Do_Not_Divert,-0.3381832768707035
PSU,103,Human_Single,Final-Exam-1,4,8,38298.0,1,0.9,0.330426676,3,1,1576.0,0.5,0.5,0.5722369156168646,0.42776308438313543,0,0,Aggressive,0.2,0.5,16926.0,0.35,0.65,0.3283289253149406,0.6716710746850594,0.3283289253149406,0.6716710746850594,16661.0,Do_Not_Divert,-0.3561039804,Do_Not_Divert,-0.3561039804,Do_Not_Divert,-0.3340549633860134
PSU,103,Human_Single,Final-Exam-1,4,9,33010.0,1,0.4,0.244511552,3,1,7161.0,0.4,0.6,0.3695551793135295,0.6304448206864706,0,0,Aggressive,0.4,0.7,21294.0,0.6,0.4,0.5891334462059412,0.4108665537940588,0.5891334462059412,0.4108665537940588,3354.0,Divert,-0.4,Divert,-0.4,Divert,-0.4108665537940588
PSU,103,Human_Single,Final-Exam-1,4,10,82103.0,1,0.4,0.180910849,4,1,65520.0,0.4,0.6,0.25190120501409324,0.7480987949859068,9,9,Aggressive,0.5,0.8,12012.0,0.7,0.3,0.724429638495772,0.275570361504228,0.724429638495772,0.275570361504228,3432.0,Divert,-0.30000000000000004,Divert,-0.30000000000000004,Divert,-0.275570361504228
PSU,103,Human_Single,Final-Exam-1,4,11,24710.0,1,0.4,0.259079814,3,0,7347.0,0.3,0.7,0.18173091064160046,0.8182690893583996,0,0,Aggressive,0.2,0.5,8643.0,0.4,0.6,0.4454807268075199,0.5545192731924802,0.4454807268075199,0.5545192731924802,6770.0,Do_Not_Divert,-0.5782084464,Do_Not_Divert,-0.5782084464,Divert,-0.5545192731924802
PSU,103,Human_Single,Final-Exam-1,4,12,18128.0,1,0.4,0.144246285,2,0,5367.0,0.3,0.7,0.08868130828714302,0.9113186917128571,0,0,Passive,0.4,0.7,7067.0,0.6,0.4,0.6733956075138571,0.3266043924861429,0.6733956075138571,0.3266043924861429,3510.0,Divert,-0.4,Divert,-0.4,Divert,-0.3266043924861429
PSU,103,Human_Single,Final-Exam-1,4,13,18111.0,1,0.7,0.457474017,2,0,3900.0,0.3,0.7,0.16266219566505585,0.8373378043349442,0,0,Passive,0.2,0.5,7690.0,0.4,0.6,0.4512013413004832,0.5487986586995168,0.4512013413004832,0.5487986586995168,5304.0,Do_Not_Divert,-0.06804157279999999,Do_Not_Divert,-0.06804157279999999,Do_Not_Divert,-0.07675112227888617
PSU,103,Human_Single,Final-Exam-1,4,14,13993.0,1,0.9,0.199092804,4,0,1669.0,0.3,0.7,0.22802413816928718,0.7719758618307128,0,0,Passive,0.5,0.8,8346.0,0.7,0.3,0.7315927585492138,0.2684072414507862,0.7315927585492138,0.2684072414507862,2793.0,Divert,-0.30000000000000004,Divert,-0.30000000000000004,Divert,-0.2684072414507862
PSU,103,Human_Single,Final-Exam-1,4,15,26910.0,1,1.0,0.053060838,4,0,4524.0,0.5,0.5,0.4021510225083428,0.5978489774916572,0,0,Passive,0.5,0.8,14462.0,0.65,0.35,0.6793546932474972,0.3206453067525028,0.6793546932474972,0.3206453067525028,2964.0,Divert,-0.35,Divert,-0.35,Divert,-0.3206453067525028
PSU,103,Human_Single,Final-Exam-1,4,16,23198.0,1,1.0,0.23640813,5,0,2793.0,0.5,0.5,0.6038250309390086,0.3961749690609914,0,0,Passive,0.5,0.8,7675.0,0.6,0.4,0.6188524907182974,0.3811475092817026,0.6188524907182974,0.3811475092817026,11435.0,Divert,-0.4,Divert,-0.4,Divert,-0.3811475092817026
PSU,103,Human_Single,Final-Exam-1,4,17,17440.0,1,1.0,0.35600078,3,0,5210.0,0.6,0.4,0.7752293577981654,0.22477064220183463,0,0,Passive,0.2,0.5,7816.0,0.3,0.7,0.2674311926605504,0.7325688073394496,0.2674311926605504,0.7325688073394496,2948.0,Do_Not_Divert,-0.25919859599999995,Do_Not_Divert,-0.25919859599999995,Do_Not_Divert,-0.23105929888073384
PSU,103,Human_Single,Final-Exam-1,4,18,37207.0,1,1.0,0.137555109,3,1,2247.0,0.6,0.4,0.8402267226308364,0.1597732773691636,0,0,Passive,0.4,0.7,27628.0,0.5,0.5,0.4479319832107491,0.5520680167892509,0.4479319832107491,0.5520680167892509,6333.0,Do_Not_Divert,-1.087334673,Divert,-0.5,Divert,-0.5520680167892509
PSU,103,Human_Single,Final-Exam-1,4,19,42712.0,1,1.0,0.107329601,3,0,28111.0,0.65,0.35,0.9125061491821466,0.08749385081785346,0,0,Passive,0.4,0.7,8783.0,0.5,0.5,0.4262481552453561,0.5737518447546439,0.4262481552453561,0.5737518447546439,4570.0,Divert,-0.5,Divert,-0.5,Divert,-0.5737518447546439
PSU,103,Human_Single,Final-Exam-1,4,20,88609.0,1,1.0,0.140907211,2,1,68672.0,0.65,0.35,0.9538830301030565,0.04611696989694349,19,19,Passive,0.4,0.7,10920.0,0.45,0.55,0.41383509096908305,0.5861649090309169,0.41383509096908305,0.5861649090309169,7940.0,Divert,-0.55,Divert,-0.55,Divert,-0.5861649090309169
PSU,103,Human_Single,Final-Exam-1,4,21,29718.0,1,0.4,0.284598402,3,0,5569.0,0.65,0.35,0.9224533298882502,0.07754667011174983,0,0,Passive,0.2,0.5,19266.0,0.3,0.7,0.22326400103352498,0.776735998966475,0.22326400103352498,0.776735998966475,3744.0,Do_Not_Divert,-0.3877228764,Do_Not_Divert,-0.3877228764,Do_Not_Divert,-0.2885485355909696
PSU,103,Human_Single,Final-Exam-1,4,22,16130.0,1,0.7,0.130858617,3,1,3619.0,0.65,0.35,0.9477515990816886,0.05224840091831145,0,0,Passive,0.4,0.7,6739.0,0.45,0.55,0.4156745202754935,0.5843254797245065,0.4156745202754935,0.5843254797245065,4976.0,Do_Not_Divert,-0.9966817340999999,Divert,-0.55,Divert,-0.5843254797245065
PSU,103,Human_Single,Final-Exam-1,4,23,19391.0,1,0.9,0.440243358,4,1,2699.0,0.65,0.35,0.9729517683696575,0.02704823163034257,0,0,Passive,0.3,0.6,9157.0,0.4,0.6,0.30811446948910276,0.6918855305108973,0.30811446948910276,0.6918855305108973,4477.0,Do_Not_Divert,-0.1912212544000001,Do_Not_Divert,-0.1912212544000001,Do_Not_Divert,-0.14729508838624195
PSU,103,Human_Single,Final-Exam-1,4,24,22589.0,1,0.4,0.110263115,4,0,7535.0,0.65,0.35,0.9477459193315243,0.05225408066847577,0,0,Passive,0.5,0.8,9375.0,0.6,0.4,0.5156762242005428,0.4843237757994572,0.5156762242005428,0.4843237757994572,3042.0,Divert,-0.4,Divert,-0.4,Divert,-0.4843237757994572
PSU,103,Human_Single,Final-Exam-1,4,25,19781.0,1,0.4,0.26490062,3,0,2106.0,0.65,0.35,0.9224533298882502,0.07754667011174982,0,0,Passive,0.2,0.5,10733.0,0.35,0.65,0.22326400103352498,0.776735998966475,0.22326400103352498,0.776735998966475,5756.0,Do_Not_Divert,-0.493708698,Do_Not_Divert,-0.493708698,Do_Not_Divert,-0.3149353693158065
PSU,103,Human_Single,Final-Exam-1,4,26,16021.0,1,0.7,0.180130536,4,0,3946.0,0.65,0.35,0.94774154731686,0.0522584526831401,0,0,Passive,0.5,0.8,6006.0,0.6,0.4,0.5156775358049421,0.48432246419505787,0.5156775358049421,0.48432246419505787,3510.0,Divert,-0.4,Divert,-0.4,Divert,-0.48432246419505787
PSU,103,Human_Single,Final-Exam-1,4,27,45333.0,1,0.9,0.327865382,4,0,3572.0,0.65,0.35,0.976205885458022,0.023794114541978044,0,0,Passive,0.3,0.6,35178.0,0.4,0.6,0.3071382343625934,0.6928617656374065,0.3071382343625934,0.6928617656374065,5179.0,Do_Not_Divert,-0.5508307776000001,Do_Not_Divert,-0.5508307776000001,Do_Not_Divert,-0.42295298116159596
PSU,103,Human_Single,Final-Exam-1,4,28,12013.0,1,1.0,0.422529908,4,0,2684.0,0.65,0.35,0.9861757302883509,0.013824269711649052,0,0,Passive,0.3,0.6,5647.0,0.4,0.6,0.30414728091349474,0.6958527190865053,0.30414728091349474,0.6958527190865053,2886.0,Do_Not_Divert,-0.24790429439999997,Do_Not_Divert,-0.24790429439999997,Do_Not_Divert,-0.18849854267134622
PSU,103,Human_Single,Final-Exam-1,4,29,23852.0,1,1.0,0.420276672,4,0,2932.0,0.65,0.35,0.9900000000000001,0.01,0,0,Passive,0.3,0.6,17223.0,0.4,0.6,0.30239892565143656,0.6976010743485634,0.30239892565143656,0.6976010743485634,2387.0,Do_Not_Divert,-0.25511464959999997,Do_Not_Divert,-0.25511464959999997,Do_Not_Divert,-0.19286598989245668
PSU,103,Human_Single,Final-Exam-1,4,30,45209.0,1,1.0,0.085675081,4,0,33712.0,0.65,0.35,0.9900000000000001,0.01,29,29,Passive,0.5,0.8,6692.0,0.65,0.35,0.5013839425874788,0.49861605741252124,0.5013839425874788,0.49861605741252124,3838.0,Divert,-0.35,Divert,-0.35,Divert,-0.49861605741252124
PSU,104,Human_Single,Final-Exam-1,4,1,37690.0,1,1.0,0.103306224,2,1,NaN,NaN,NaN,NaN,NaN,NaN,0,Aggressive,0.4,0.7,27160.0,0.7,0.3,0.55,0.44999999999999996,0.55,0.44999999999999996,7473.0,Divert,-0.30000000000000004,Divert,-0.30000000000000004,Divert,-0.44999999999999996
PSU,104,Human_Single,Final-Exam-1,4,2,36551.0,1,1.0,0.127420121,4,1,20343.0,0.01,0.99,0.6666666666666666,0.33333333333333337,0,0,Aggressive,0.5,0.8,8814.0,0.8,0.2,0.6000000000000001,0.3999999999999999,0.6000000000000001,0.3999999999999999,4336.0,Divert,-0.19999999999999996,Divert,-0.19999999999999996,Divert,-0.3999999999999999
PSU,104,Human_Single,Final-Exam-1,4,3,15522.0,1,0.4,0.418088005,4,0,2902.0,0.01,0.99,0.5689655172413793,0.43103448275862066,0,0,Aggressive,0.3,0.6,5772.0,0.6,0.4,0.4293103448275862,0.5706896551724139,0.4293103448275862,0.5706896551724139,3697.0,Do_Not_Divert,-0.3931775760000001,Do_Not_Divert,-0.3931775760000001,Do_Not_Divert,-0.28132533455172415
PSU,104,Human_Single,Final-Exam-1,4,4,17597.0,1,0.4,0.448895275,3,0,8861.0,0.01,0.99,0.39506172839506176,0.6049382716049383,0,0,Aggressive,0.2,0.5,5148.0,0.5,0.5,0.38148148148148153,0.6185185185185185,0.38148148148148153,0.6185185185185185,2511.0,Do_Not_Divert,-0.15331417500000005,Do_Not_Divert,-0.15331417500000005,Do_Not_Divert,-0.11697303722222228
PSU,104,Human_Single,Final-Exam-1,4,5,12106.0,1,0.7,0.35850384,5,1,1778.0,0.01,0.99,0.5,0.5,0,0,Aggressive,0.3,0.6,4555.0,0.6,0.4,0.44999999999999996,0.55,0.44999999999999996,0.55,3417.0,Do_Not_Divert,-0.8489769599999999,Divert,-0.4,Divert,-0.55
PSU,104,Human_Single,Final-Exam-1,4,6,21559.0,1,0.4,0.334037971,5,0,12355.0,0.01,0.99,0.3350803017381565,0.6649196982618435,0,0,Aggressive,0.3,0.6,4602.0,0.6,0.4,0.499475909478553,0.500524090521447,0.499475909478553,0.500524090521447,3229.0,Do_Not_Divert,-0.9957721740000001,Divert,-0.4,Divert,-0.500524090521447
PSU,104,Human_Single,Final-Exam-1,4,7,10561.0,1,0.7,0.343385567,3,0,1981.0,0.01,0.99,0.46703522362142746,0.5329647763785725,0,0,Aggressive,0.2,0.5,3650.0,0.5,0.5,0.3598894329135718,0.6401105670864282,0.3598894329135718,0.6401105670864282,3978.0,Do_Not_Divert,-0.469843299,Do_Not_Divert,-0.469843299,Do_Not_Divert,-0.3381832768707035
PSU,104,Human_Single,Final-Exam-1,4,8,10608.0,1,0.9,0.330426676,3,1,1966.0,0.01,0.99,0.5722369156168646,0.42776308438313543,0,0,Aggressive,0.2,0.5,3728.0,0.5,0.5,0.3283289253149406,0.6716710746850594,0.3283289253149406,0.6716710746850594,3900.0,Do_Not_Divert,-0.5087199720000001,Divert,-0.5,Do_Not_Divert,-0.3340549633860134
PSU,104,Human_Single,Final-Exam-1,4,9,10842.0,1,0.4,0.244511552,3,1,2714.0,0.01,0.99,0.3695551793135295,0.6304448206864706,0,0,Aggressive,0.4,0.7,3916.0,0.7,0.3,0.5891334462059412,0.4108665537940588,0.5891334462059412,0.4108665537940588,2824.0,Divert,-0.30000000000000004,Divert,-0.30000000000000004,Divert,-0.4108665537940588
PSU,104,Human_Single,Final-Exam-1,4,10,100901.0,1,0.4,0.180910849,4,1,88827.0,0.01,0.99,0.25190120501409324,0.7480987949859068,9,9,Aggressive,0.5,0.8,7971.0,0.8,0.2,0.724429638495772,0.275570361504228,0.724429638495772,0.275570361504228,2387.0,Divert,-0.19999999999999996,Divert,-0.19999999999999996,Divert,-0.275570361504228
PSU,104,Human_Single,Final-Exam-1,4,11,31637.0,1,0.4,0.259079814,3,0,4274.0,0.01,0.99,0.18173091064160046,0.8182690893583996,0,0,Aggressive,0.2,0.5,4337.0,0.5,0.5,0.4454807268075199,0.5545192731924802,0.4454807268075199,0.5545192731924802,21591.0,Do_Not_Divert,-0.7227605579999999,Divert,-0.5,Divert,-0.5545192731924802
PSU,104,Human_Single,Final-Exam-1,4,12,17706.0,1,0.4,0.144246285,2,0,2948.0,0.01,0.99,0.08868130828714302,0.9113186917128571,0,0,Passive,0.4,0.7,6271.0,0.7,0.3,0.6733956075138571,0.3266043924861429,0.6733956075138571,0.3266043924861429,6318.0,Divert,-0.30000000000000004,Divert,-0.30000000000000004,Divert,-0.3266043924861429
