site_id,response_generator_id,data_type,exam_id,task_number,trial_number,trial_time,num_blue_locations,red_capability_Pc,red_vulnerability_P_1,red_vulnerability_P_2,red_opportunity_U_1,red_opportunity_U_2,red_activity_detected_1,red_activity_detected_2,bluebook_Neutral_prob_1,bluebook_Neutral_prob_2,probs_Pp_time,probs_Pp_1,probs_Pp_2,probs_Pp_3,probs_Pp_normative_1,probs_Pp_normative_2,probs_Pp_normative_3,probs_Pp_normative_inc_1,probs_Pp_normative_inc_2,probs_Pp_normative_inc_3,probs_Ppc_time,probs_Ppc_1,probs_Ppc_2,probs_Ppc_3,probs_Ppc_normative_1,probs_Ppc_normative_2,probs_Ppc_normative_3,probs_Ppc_normative_inc_1,probs_Ppc_normative_inc_2,probs_Ppc_normative_inc_3,probs_Ptpc_time,probs_Ptpc_1,probs_Ptpc_2,probs_Ptpc_3,probs_Ptpc_normative_1,probs_Ptpc_normative_2,probs_Ptpc_normative_3,probs_Ptpc_normative_inc_1,probs_Ptpc_normative_inc_2,probs_Ptpc_normative_inc_3,sigint_time,sigint_location_1,sigint_participant_optimal_location_1,sigint_bayesian_optimal_location_1,blue_action_time,blue_action_1,blue_action_2,blue_action_expected_utility,blue_action_normative_participant_1,blue_action_normative_participant_2,blue_action_normative_participant_expected_utility,blue_action_normative_bayesian_1,blue_action_normative_bayesian_2,blue_action_normative_bayesian_expected_utility
MITRE,A-B,Model_Single,Final-Exam-1,3,1,NaN,2,1.0,0.334456797,0.437983013,2,2,0,1,0.1,0.1,NaN,0.1,0.1,0.8,0.1,0.1,0.8,0.1,0.1,0.8,NaN,0.31622776601683794,0.31622776601683794,0.3675444679663242,0.1,0.1,0.8,0.1,0.1,0.8,NaN,0.2624575042564939,0.4545897321999723,0.28295276354353377,0.06666666666666668,0.39999999999999986,0.5333333333333334,0.19371294336139658,0.5811388300841897,0.2251482265544138,NaN,2,1,1,NaN,Do_Not_Divert,Do_Not_Divert,-0.20206905496749195,Do_Not_Divert,Do_Not_Divert,-0.20206905496749195,Do_Not_Divert,Do_Not_Divert,-0.12236193123287674
MITRE,A-B,Model_Single,Final-Exam-1,3,2,NaN,2,0.4,0.153512717,0.056970253,2,3,0,0,0.3,0.3,NaN,0.3,0.3,0.4,0.3,0.3,0.4,0.3,0.3,0.4,NaN,0.3464101615137755,0.3464101615137755,0.307179676972449,0.12,0.12,0.76,0.12,0.12,0.76,NaN,0.32295826731313676,0.3729200851405093,0.30412164754635396,0.12,0.11999999999999997,0.76,0.3105508393720698,0.4140677858294264,0.2753813747985039,NaN,2,1,1,NaN,Do_Not_Divert,Do_Not_Divert,-1.0821594686866733,Do_Not_Divert,Divert,-1.0320623633396144,Do_Not_Divert,Do_Not_Divert,-0.4332993872142856
MITRE,A-B,Model_Single,Final-Exam-1,3,3,NaN,2,0.7,0.443770622,0.387804009,2,2,0,0,0.1,0.1,NaN,0.1,0.1,0.8,0.1,0.1,0.8,0.1,0.1,0.8,NaN,0.2645751311064591,0.2645751311064591,0.47084973778708183,0.06999999999999999,0.06999999999999999,0.86,0.06999999999999999,0.06999999999999999,0.86,NaN,0.2866369458737664,0.3309798357198225,0.38238321840641104,0.06999999999999999,0.06999999999999998,0.8600000000000001,0.24313283090236634,0.32417710786982185,0.43269006122781184,NaN,2,1,1,NaN,Do_Not_Divert,Do_Not_Divert,-0.16472055761265697,Do_Not_Divert,Do_Not_Divert,-0.16472055761265697,Do_Not_Divert,Do_Not_Divert,-0.044073928336448576
MITRE,A-B,Model_Single,Final-Exam-1,3,4,NaN,2,0.4,0.348790791,0.137053679,5,5,0,1,0.2,0.4,NaN,0.2,0.4,0.4,0.2,0.4,0.3999999999999999,0.2,0.4,0.3999999999999999,NaN,0.282842712474619,0.4,0.31715728752538097,0.08000000000000002,0.16000000000000003,0.76,0.08000000000000002,0.16000000000000003,0.76,NaN,0.24279557024408102,0.5001023382749508,0.25710209148096824,0.04444444444444447,0.5333333333333333,0.42222222222222217,0.15713484026367724,0.6666666666666666,0.17619849306965607,NaN,2,2,2,NaN,Do_Not_Divert,Divert,-0.7778765378906587,Do_Not_Divert,Divert,-0.7778765378906587,Do_Not_Divert,Divert,-0.5101203175417299
MITRE,A-B,Model_Single,Final-Exam-1,3,5,NaN,2,0.4,0.337248619,0.331277966,4,4,0,0,0.2,0.2,NaN,0.2,0.2,0.6,0.2,0.2,0.6,0.2,0.2,0.6,NaN,0.282842712474619,0.282842712474619,0.434314575050762,0.08000000000000002,0.08000000000000002,0.84,0.08000000000000002,0.08000000000000002,0.84,NaN,0.34023150740537195,0.2946491285809255,0.3651193640137025,0.08,0.08000000000000002,0.84,0.34463145175957716,0.25847358881968285,0.39689495942074005,NaN,1,1,1,NaN,Do_Not_Divert,Do_Not_Divert,-0.638906456922159,Do_Not_Divert,Do_Not_Divert,-0.638906456922159,Do_Not_Divert,Do_Not_Divert,-0.19642869037037042
MITRE,A-B,Model_Single,Final-Exam-1,3,6,NaN,2,0.4,0.401825107,0.118863044,4,2,0,1,0.2,0.3,NaN,0.2,0.3,0.5,0.2,0.3,0.5,0.2,0.3,0.5,NaN,0.282842712474619,0.3464101615137755,0.3707471260116055,0.08000000000000002,0.12,0.8,0.08000000000000002,0.12,0.8,NaN,0.24620073693006003,0.47192478936543736,0.2818744737045026,0.050000000000000024,0.44999999999999984,0.5000000000000001,0.16708371740762454,0.6139047779640893,0.21901150462828622,NaN,2,2,2,NaN,Do_Not_Divert,Do_Not_Divert,-0.7291700898030438,Do_Not_Divert,Divert,-0.7130329597447451,Do_Not_Divert,Divert,-0.5847554746393864
MITRE,A-B,Model_Single,Final-Exam-1,3,7,NaN,2,0.4,0.099622344,0.457303476,4,5,0,1,0.4,0.2,NaN,0.4,0.2,0.4,0.4,0.2,0.3999999999999999,0.4,0.2,0.3999999999999999,NaN,0.4,0.282842712474619,0.31715728752538097,0.16000000000000003,0.08000000000000002,0.76,0.16000000000000003,0.08000000000000002,0.76,NaN,0.2987820896123723,0.4351687381209808,0.266049172266647,0.11428571428571434,0.3428571428571428,0.5428571428571429,0.2554791617945659,0.5419531432703779,0.2025676949350561,NaN,2,1,1,NaN,Do_Not_Divert,Do_Not_Divert,-0.7710920671070451,Do_Not_Divert,Do_Not_Divert,-0.7710920671070451,Do_Not_Divert,Do_Not_Divert,-0.38530928130501285
MITRE,A-B,Model_Single,Final-Exam-1,3,8,NaN,2,0.7,0.125905771,0.312691703,5,2,1,0,0.4,0.1,NaN,0.4,0.1,0.5,0.4,0.1,0.5,0.4,0.1,0.5,NaN,0.5291502622129182,0.2645751311064591,0.2062746066806227,0.27999999999999997,0.06999999999999999,0.65,0.27999999999999997,0.06999999999999999,0.65,NaN,0.5653801996779668,0.23081549998064743,0.2038043003413857,0.6999999999999998,0.029166666666666678,0.2708333333333335,0.7712434446770471,0.1285405741128412,0.10021598121011177,NaN,1,1,1,NaN,Divert,Do_Not_Divert,-0.5862906778581152,Divert,Do_Not_Divert,-0.5862906778581152,Divert,Do_Not_Divert,-0.3129450858987667
MITRE,A-B,Model_Single,Final-Exam-1,3,9,NaN,2,0.4,0.111816277,0.281968674,3,3,0,0,0.3,0.1,NaN,0.3,0.1,0.6,0.3,0.1,0.6,0.3,0.1,0.6,NaN,0.3464101615137755,0.2,0.45358983848622453,0.12,0.04000000000000001,0.84,0.12,0.04000000000000001,0.84,NaN,0.3774978409675304,0.24840754922151972,0.3740946098109499,0.11999999999999997,0.04000000000000001,0.8400000000000001,0.4140677858294264,0.17929661070852868,0.40663560346204497,NaN,1,1,1,NaN,Do_Not_Divert,Do_Not_Divert,-0.9524262724288758,Divert,Do_Not_Divert,-0.9101396108402782,Do_Not_Divert,Do_Not_Divert,-0.31587701506109317
MITRE,A-B,Model_Single,Final-Exam-1,3,10,NaN,2,0.7,0.230668493,0.050440015,4,5,0,0,0.4,0.4,NaN,0.4,0.4,0.2,0.4,0.4,0.19999999999999996,0.4,0.4,0.19999999999999996,NaN,0.495,0.495,0.01,0.27999999999999997,0.27999999999999997,0.44000000000000006,0.27999999999999997,0.27999999999999997,0.44000000000000006,NaN,NaN,NaN,NaN,0.2799999999999999,0.27999999999999997,0.44000000000000017,0.5657142857142857,0.42428571428571427,0.01,NaN,1,1,1,NaN,Do_Not_Divert,Do_Not_Divert,NaN,Divert,Divert,NaN,Do_Not_Divert,Divert,-1.2525801372499998
