site_id,response_generator_id,data_type,exam_id,task_number,trial_number,trial_time,num_blue_locations,red_capability_Pc,red_vulnerability_P_1,red_opportunity_U_1,red_activity_detected_1,red_tactics_probs_time,red_tactics_probs_tactic_1,red_tactics_probs_tactic_2,red_tactics_probs_normative_tactic_1,red_tactics_probs_normative_tactic_2,red_tactics_batch_plot_trials_reviewed,red_tactics_batch_plot_trials_total,red_tactics_actual_red_tactic,bluebook_P-Sensitive_prob_1,bluebook_U-Sensitive_prob_1,probs_Pp_time,probs_Pp_1,probs_Pp_2,probs_Pp_normative_1,probs_Pp_normative_2,probs_Pp_normative_inc_1,probs_Pp_normative_inc_2,blue_action_time,blue_action_1,blue_action_expected_utility,blue_action_normative_participant_1,blue_action_normative_participant_expected_utility,blue_action_normative_bayesian_1,blue_action_normative_bayesian_expected_utility
MITRE,A-B,Model_Single,Final-Exam-1,5,1,NaN,1,1.0,0.453685998,5,0,NaN,NaN,NaN,NaN,NaN,NaN,0,P-Sensitive,0.4,0.8,NaN,0.6000000000000001,0.3999999999999999,0.6000000000000001,0.3999999999999999,0.6000000000000001,0.3999999999999999,NaN,Divert,-0.3999999999999999,Do_Not_Divert,-0.2778840120000002,Do_Not_Divert,-0.2778840120000002
MITRE,A-B,Model_Single,Final-Exam-1,5,2,NaN,1,0.4,0.477890016,4,0,NaN,0.01,0.99,0.3333333333333333,0.6666666666666666,0,0,P-Sensitive,0.4,0.8,NaN,0.8,0.2,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,NaN,Divert,-0.19999999999999996,Do_Not_Divert,-0.14150389760000018,Do_Not_Divert,-0.1179199146666668
MITRE,A-B,Model_Single,Final-Exam-1,5,3,NaN,1,0.7,0.135917843,4,1,NaN,0.5,0.5,0.6,0.39999999999999997,0,0,P-Sensitive,0.6,0.8,NaN,0.7,0.3,0.6799999999999999,0.32000000000000006,0.6799999999999999,0.32000000000000006,NaN,Divert,-0.30000000000000004,Divert,-0.30000000000000004,Divert,-0.32000000000000006
MITRE,A-B,Model_Single,Final-Exam-1,5,4,NaN,1,0.4,0.478895064,4,0,NaN,0.5,0.5,0.5294117647058824,0.47058823529411764,0,0,P-Sensitive,0.4,0.8,NaN,0.6000000000000001,0.3999999999999999,0.5882352941176471,0.4117647058823529,0.5882352941176471,0.4117647058823529,NaN,Divert,-0.3999999999999999,Do_Not_Divert,-0.10130369280000011,Do_Not_Divert,-0.09931734588235303
MITRE,A-B,Model_Single,Final-Exam-1,5,5,NaN,1,0.7,0.143598299,4,0,NaN,0.6,0.4,0.7714285714285717,0.22857142857142843,0,0,P-Sensitive,0.6,0.8,NaN,0.68,0.32,0.6457142857142857,0.3542857142857143,0.6457142857142857,0.3542857142857143,NaN,Divert,-0.31999999999999995,Divert,-0.31999999999999995,Divert,-0.3542857142857143
MITRE,A-B,Model_Single,Final-Exam-1,5,6,NaN,1,0.9,0.132809395,3,1,NaN,0.6,0.4,0.870967741935484,0.12903225806451601,0,0,P-Sensitive,0.6,0.2,NaN,0.44,0.56,0.5483870967741935,0.4516129032258065,0.5483870967741935,0.4516129032258065,NaN,Do_Not_Divert,-0.9693831972,Divert,-0.56,Divert,-0.4516129032258065
MITRE,A-B,Model_Single,Final-Exam-1,5,7,NaN,1,1.0,0.339260335,2,1,NaN,0.5,0.5,0.7714285714285717,0.22857142857142837,0,0,P-Sensitive,0.4,0.2,NaN,0.30000000000000004,0.7,0.3542857142857144,0.6457142857142856,0.3542857142857144,0.6457142857142856,NaN,Do_Not_Divert,-0.192887598,Do_Not_Divert,-0.192887598,Do_Not_Divert,-0.22779106811428576
MITRE,A-B,Model_Single,Final-Exam-1,5,8,NaN,1,0.4,0.394115581,5,0,NaN,0.5,0.5,0.870967741935484,0.129032258064516,0,0,P-Sensitive,0.4,0.8,NaN,0.6000000000000001,0.3999999999999999,0.4516129032258064,0.5483870967741936,0.4516129032258064,0.5483870967741936,NaN,Divert,-0.3999999999999999,Divert,-0.3999999999999999,Do_Not_Divert,-0.47818769870967737
MITRE,A-B,Model_Single,Final-Exam-1,5,9,NaN,1,0.7,0.199395459,4,0,NaN,0.5714285714285715,0.42857142857142855,0.9529411764705883,0.047058823529411736,0,0,P-Sensitive,0.6,0.8,NaN,0.6857142857142857,0.3142857142857143,0.6094117647058823,0.3905882352941177,0.6094117647058823,0.3905882352941177,NaN,Divert,-0.3142857142857143,Divert,-0.3142857142857143,Divert,-0.3905882352941177
MITRE,A-B,Model_Single,Final-Exam-1,5,10,NaN,1,0.4,0.156548497,2,0,NaN,0.5555555555555556,0.4444444444444444,0.9382239382239382,0.061776061776061715,NaN,9,P-Sensitive,0.6,0.2,NaN,0.4222222222222222,0.5777777777777778,0.5752895752895753,0.42471042471042475,0.5752895752895753,0.42471042471042475,NaN,Do_Not_Divert,-0.5800514272888889,Divert,-0.5777777777777777,Divert,-0.42471042471042475
