site_id,response_generator_id,data_type,exam_id,task_number,trial_number,trial_time,num_blue_locations,red_capability_Pc,red_vulnerability_P_1,red_opportunity_U_1,red_activity_detected_1,red_tactics_most_likely_time,red_tactics_most_likely_tactic,red_tactics_actual_red_tactic,bluebook_Passive_prob_1,bluebook_Aggressive_prob_1,probs_Pp_time,probs_Pp_1,probs_Pp_normative_1,probs_Ppc_time,probs_Ppc_1,probs_Ppc_normative_1,probs_Ptpc_time,probs_Ptpc_1,probs_Ptpc_normative_1,blue_action_time,blue_action_1,blue_action_expected_utility,blue_action_normative_participant_1,blue_action_normative_participant_expected_utility,blue_action_normative_bayesian_1,blue_action_normative_bayesian_expected_utility
PSU,001,Human_Single,Sample-Exam-1,2,1,114364.0,1,1.0,0.36075221000434965,3,0,NaN,NaN,Aggressive,0.2,0.5,30857.0,0.45,0.35,9017.0,0.5,0.35,30108.0,0.45,0.21212121212121207,10733.0,Do_Not_Divert,-0.37596903298825596,Do_Not_Divert,-0.37596903298825596,Do_Not_Divert,-0.17722445999446404
PSU,001,Human_Single,Sample-Exam-1,2,2,110729.0,1,0.4,0.1810844041417523,4,1,5663.0,Aggressive,Aggressive,0.5,0.8,22573.0,0.6,0.7142857142857144,23993.0,0.5,0.28571428571428575,12745.0,0.5,0.5454545454545453,17706.0,Do_Not_Divert,-1.2756623834329908,Divert,-0.5,Divert,-0.4545454545454547
PSU,001,Human_Single,Sample-Exam-1,2,3,81026.0,1,0.4,0.15371121314168168,4,0,5117.0,Aggressive,Aggressive,0.5,0.8,15537.0,0.5,0.7325688073394495,3635.0,0.6,0.2930275229357798,7644.0,0.5,0.17166505428356443,14945.0,Do_Not_Divert,-1.3851551474332733,Divert,-0.5,Do_Not_Divert,-0.4755654671505831
PSU,001,Human_Single,Sample-Exam-1,2,4,96799.0,1,0.4,0.12182914271120526,4,1,5928.0,Passive,Aggressive,0.5,0.8,10468.0,0.5,0.7528255528255529,4400.0,0.5,0.30113022113022114,16599.0,0.6,0.5638226093357049,20202.0,Divert,-0.4,Divert,-0.4,Divert,-0.43617739066429506
PSU,001,Human_Single,Sample-Exam-1,2,5,88561.0,1,0.4,0.30841114769090794,4,1,4197.0,Aggressive,Aggressive,0.3,0.6,16270.0,0.85,0.5683153305125683,23385.0,0.75,0.22732613220502734,4898.0,0.85,0.46882572096477193,12855.0,Do_Not_Divert,-1.302804195701826,Divert,-0.15000000000000002,Divert,-0.5311742790352281
PSU,001,Human_Single,Sample-Exam-1,2,6,96299.0,1,0.4,0.28473653096329843,4,0,3900.0,Aggressive,Aggressive,0.3,0.6,12277.0,0.8,0.5827715775895911,9188.0,0.75,0.23310863103583646,14165.0,0.6,0.13193150135341705,27580.0,Do_Not_Divert,-1.0332646513761674,Divert,-0.4,Do_Not_Divert,-0.22720026125245474
PSU,001,Human_Single,Sample-Exam-1,2,7,188339.0,1,0.7,0.27719619931674233,3,1,5211.0,Passive,Aggressive,0.2,0.5,101899.0,0.6,0.47071286344268193,19064.0,0.7,0.32949900440987734,5367.0,0.75,0.595839782793271,18704.0,Do_Not_Divert,-1.0026171030746596,Divert,-0.25,Divert,-0.404160217206729
PSU,001,Human_Single,Sample-Exam-1,2,8,129839.0,1,0.9,0.38297693791265164,3,1,6895.0,Aggressive,Aggressive,0.2,0.5,38595.0,0.5,0.45713738595506287,24695.0,0.85,0.4114236473595566,15693.0,0.7,0.6771115417371597,14493.0,Do_Not_Divert,-0.4914968607668631,Divert,-0.30000000000000004,Divert,-0.3228884582628403
PSU,001,Human_Single,Sample-Exam-1,2,9,125175.0,1,0.4,0.15054125592547885,4,0,3572.0,Aggressive,Aggressive,0.5,0.8,21653.0,0.5,0.7794495786430884,8440.0,0.4,0.31177983145723537,38922.0,0.5,0.1846796035651896,17956.0,Do_Not_Divert,-1.3978349762980846,Divert,-0.5,Do_Not_Divert,-0.516303218544573
PSU,001,Human_Single,Sample-Exam-1,2,10,67454.0,1,0.4,0.22613476845200842,4,1,3510.0,Aggressive,Aggressive,0.5,0.8,5538.0,0.7,0.7861693836556776,8330.0,0.6,0.31446775346227107,12605.0,0.75,0.5791532300551139,8939.0,Divert,-0.25,Divert,-0.25,Divert,-0.4208467699448861
PSU,002,Human_Single,Sample-Exam-1,2,1,404962.0,1,1.0,0.36075221000434965,3,0,NaN,NaN,Aggressive,0.2,0.5,84333.0,0.4,0.35,22370.0,0.4,0.35,23275.0,0.16,0.21212121212121207,18236.0,Do_Not_Divert,-0.13367787839582435,Do_Not_Divert,-0.13367787839582435,Do_Not_Divert,-0.17722445999446404
PSU,002,Human_Single,Sample-Exam-1,2,2,214422.0,1,0.4,0.1810844041417523,4,1,17956.0,Aggressive,Aggressive,0.5,0.8,17909.0,0.8,0.7142857142857144,90371.0,0.5,0.28571428571428575,25225.0,0.3,0.5454545454545453,24820.0,Divert,-0.7,Divert,-0.7,Divert,-0.4545454545454547
PSU,002,Human_Single,Sample-Exam-1,2,3,194439.0,1,0.4,0.15371121314168168,4,0,16068.0,Aggressive,Aggressive,0.5,0.8,24133.0,0.8,0.7325688073394495,55209.0,0.38,0.2930275229357798,45225.0,0.15,0.17166505428356443,13775.0,Divert,-0.85,Do_Not_Divert,-0.415546544229982,Do_Not_Divert,-0.4755654671505831
PSU,002,Human_Single,Sample-Exam-1,2,4,99029.0,1,0.4,0.12182914271120526,4,1,11762.0,Aggressive,Aggressive,0.5,0.8,10874.0,0.8,0.7528255528255529,4228.0,0.68,0.30113022113022114,41184.0,0.65,0.5638226093357049,11763.0,Divert,-0.35,Divert,-0.35,Divert,-0.43617739066429506
PSU,002,Human_Single,Sample-Exam-1,2,5,350407.0,1,0.4,0.30841114769090794,4,1,13338.0,Aggressive,Aggressive,0.3,0.6,14710.0,0.6,0.5683153305125683,5413.0,0.24,0.22732613220502734,230272.0,0.42,0.46882572096477193,60544.0,Do_Not_Divert,-0.6437385437585493,Divert,-0.5800000000000001,Divert,-0.5311742790352281
