site_id,response_generator_id,data_type,exam_id,task_number,trial_number,trial_time,num_blue_locations,red_capability_Pc,red_vulnerability_P_1,red_vulnerability_P_2,red_opportunity_U_1,red_opportunity_U_2,red_activity_detected_1,red_activity_detected_2,bluebook_Neutral_prob_1,bluebook_Neutral_prob_2,probs_Pp_time,probs_Pp_1,probs_Pp_2,probs_Pp_normative_1,probs_Pp_normative_2,probs_Ppc_time,probs_Ppc_1,probs_Ppc_2,probs_Ppc_normative_1,probs_Ppc_normative_2,probs_Ptpc_time,probs_Ptpc_1,probs_Ptpc_2,probs_Ptpc_normative_1,probs_Ptpc_normative_2,sigint_time,sigint_location_1,sigint_participant_optimal_location_1,sigint_bayesian_optimal_location_1,blue_action_time,blue_action_1,blue_action_2,blue_action_expected_utility
PSU,001,Human_Single,Sample-Exam-1,3,1,325775.0,2,1.0,0.13779094110231016,0.14276261550754787,2,4,0,1,0.3,0.4,58126.0,0.3,0.3,0.3,0.4,8611.0,0.5,0.5,0.3,0.4,40076.0,0.25,0.75,0.3,0.6666666666666665,19750.0,2,1,2,15928.0,Do_Not_Divert,Divert,NaN
PSU,001,Human_Single,Sample-Exam-1,3,2,158262.0,2,0.4,0.1798581993072339,0.40892038127797925,4,3,0,0,0.4,0.1,57377.0,0.4,0.2,0.4,0.1,11731.0,0.4,0.2,0.16000000000000003,0.04000000000000001,15693.0,0.4,0.3,0.08695652173913045,0.04000000000000001,12387.0,1,1,1,21060.0,Divert,Do_Not_Divert,NaN
PSU,001,Human_Single,Sample-Exam-1,3,3,166250.0,2,0.7,0.41469923051438606,0.3980469086169788,2,5,0,0,0.1,0.2,72291.0,0.2,0.4,0.1,0.2,8502.0,0.3,0.55,0.06999999999999999,0.13999999999999999,31091.0,0.35,0.55,0.06999999999999999,0.07526881720430106,9158.0,2,2,2,8424.0,Do_Not_Divert,Do_Not_Divert,NaN
PSU,001,Human_Single,Sample-Exam-1,3,4,165922.0,2,0.4,0.19525549416785415,0.39499905078372155,2,5,0,0,0.3,0.2,30045.0,0.38,0.25,0.3,0.2,9656.0,0.4,0.3,0.12,0.08000000000000002,19765.0,0.3,0.4,0.06382978723404253,0.08000000000000002,44788.0,1,1,1,32869.0,Do_Not_Divert,Divert,NaN
PSU,001,Human_Single,Sample-Exam-1,3,5,249912.0,2,0.7,0.2349269427177123,0.3947251072721275,4,2,0,0,0.4,0.1,125627.0,0.4,0.2,0.4,0.1,8829.0,0.6,0.3,0.27999999999999997,0.06999999999999999,46254.0,0.5,0.4,0.16279069767441856,0.06999999999999999,7925.0,1,1,1,30108.0,Divert,Do_Not_Divert,NaN
PSU,001,Human_Single,Sample-Exam-1,3,6,257245.0,2,0.4,0.12895354647636692,0.14059513952817182,4,4,0,1,0.4,0.4,50435.0,0.55,0.45,0.4,0.4,15819.0,0.5,0.4,0.16000000000000003,0.16000000000000003,18596.0,0.5,0.5,0.08695652173913045,0.16000000000000003,9048.0,1,1,1,108935.0,Divert,Divert,NaN
PSU,001,Human_Single,Sample-Exam-1,3,7,138715.0,2,0.4,0.24026455577008188,0.2556714483899978,2,4,0,1,0.3,0.2,22308.0,0.55,0.4,0.3,0.2,35209.0,0.5,0.35,0.12,0.08000000000000002,35054.0,0.4,0.6,0.12,0.20689655172413787,7363.0,2,1,1,10654.0,Do_Not_Divert,Divert,NaN
PSU,001,Human_Single,Sample-Exam-1,3,8,333420.0,2,0.7,0.38540461729683206,0.44906666816252083,5,3,0,0,0.2,0.1,153582.0,0.5,0.4,0.2,0.1,24008.0,0.6,0.4,0.13999999999999999,0.06999999999999999,43087.0,0.6,0.4,0.07526881720430106,0.06999999999999999,20686.0,1,1,1,43041.0,Divert,Do_Not_Divert,NaN
PSU,001,Human_Single,Sample-Exam-1,3,9,291985.0,2,0.9,0.42505769594892573,0.12083956496245574,5,4,0,0,0.2,0.4,11950.0,0.2,0.6,0.2,0.4,134019.0,0.2,0.7,0.18000000000000002,0.36000000000000004,33649.0,0.3,0.6,0.18000000000000002,0.21951219512195125,6537.0,2,2,2,69046.0,Do_Not_Divert,Divert,NaN
PSU,001,Human_Single,Sample-Exam-1,3,10,171101.0,2,1.0,0.13697434962022692,0.1362437309659027,4,4,0,0,0.4,0.4,16520.0,0.5,0.5,0.4,0.4,5289.0,0.5,0.5,0.4,0.4,9345.0,0.5,0.5,0.25,0.4,10374.0,1,1,1,39718.0,Divert,Do_Not_Divert,NaN
PSU,002,Human_Single,Sample-Exam-1,3,1,313467.0,2,1.0,0.13779094110231016,0.14276261550754787,2,4,0,1,0.3,0.4,26863.0,0.3,0.4,0.3,0.4,55364.0,0.43,0.54,0.3,0.4,132507.0,0.3,0.52,0.3,0.6666666666666665,51028.0,2,2,2,25365.0,Do_Not_Divert,Divert,NaN
PSU,002,Human_Single,Sample-Exam-1,3,2,279833.0,2,0.4,0.1798581993072339,0.40892038127797925,4,3,0,0,0.4,0.1,23276.0,0.4,0.1,0.4,0.1,53290.0,0.33,0.44,0.16000000000000003,0.04000000000000001,149620.0,0.4,0.14,0.08695652173913045,0.04000000000000001,12745.0,1,2,1,14181.0,Divert,Do_Not_Divert,NaN
PSU,002,Human_Single,Sample-Exam-1,3,3,295246.0,2,0.7,0.41469923051438606,0.3980469086169788,2,5,0,0,0.1,0.2,33400.0,0.1,0.2,0.1,0.2,150509.0,0.04,0.53,0.06999999999999999,0.13999999999999999,68624.0,0.2,0.27,0.06999999999999999,0.07526881720430106,8533.0,2,2,2,10639.0,Do_Not_Divert,Do_Not_Divert,NaN
PSU,002,Human_Single,Sample-Exam-1,3,4,433151.0,2,0.4,0.19525549416785415,0.39499905078372155,2,5,0,0,0.3,0.2,22729.0,0.3,0.2,0.3,0.2,208432.0,0.33,0.08,0.12,0.08000000000000002,148341.0,0.13,0.04,0.06382978723404253,0.08000000000000002,26208.0,1,1,1,10000.0,Do_Not_Divert,Do_Not_Divert,NaN
PSU,002,Human_Single,Sample-Exam-1,3,5,275481.0,2,0.7,0.2349269427177123,0.3947251072721275,4,2,0,0,0.4,0.1,22261.0,0.4,0.1,0.4,0.1,19407.0,0.28,0.07,0.27999999999999997,0.06999999999999999,183737.0,0.51,0.14,0.16279069767441856,0.06999999999999999,9718.0,1,1,1,16677.0,Divert,Do_Not_Divert,NaN
PSU,002,Human_Single,Sample-Exam-1,3,6,332779.0,2,0.4,0.12895354647636692,0.14059513952817182,4,4,0,1,0.4,0.4,24976.0,0.4,0.4,0.4,0.4,30950.0,0.28,0.3,0.16000000000000003,0.16000000000000003,212738.0,0.36,0.42,0.16000000000000003,0.3636363636363636,10296.0,2,2,1,11590.0,Do_Not_Divert,Divert,NaN
PSU,002,Human_Single,Sample-Exam-1,3,7,201350.0,2,0.4,0.24026455577008188,0.2556714483899978,2,4,0,1,0.3,0.2,23104.0,0.3,0.4,0.3,0.2,40529.0,0.12,0.16,0.12,0.08000000000000002,107406.0,0.15,0.27,0.12,0.20689655172413787,9360.0,2,2,1,8299.0,Do_Not_Divert,Do_Not_Divert,NaN
