site_id,response_generator_id,mission_1_training_time,mission_1_time,mission_2_training_time,mission_2_time,mission_3_training_time,mission_3_time,exam_training_time,exam_time
PSU,001,0,1215023,0,1098616,0,2258619,0,1297023
PSU,002,0,3104999,0,1912065,0,2788474,0,4708065
PSU,003,0,728521,0,552054,0,888437,0,1500491
PSU,004,0,1854157,0,1225959,0,1706565,0,2986524
PSU,005,0,2641356,0,1861357,0,2093471,0,6596184
PSU,006,0,554878,82382,511618,58904,799096,0,2006878
PSU,007,1249742,1508258,84844,957156,117321,1088679,1249742,5006000
PSU,008,0,711065,129479,572521,95171,760829,0,2269065
PSU,009,0,802231,82093,565907,109297,1034703,0,2594231
PSU,010,0,304388,36781,449219,82367,687633,0,1560388
PSU,011,0,1087774,106059,807941,74744,1197256,0,3273774
PSU,012,0,927828,139776,826224,98122,1003878,0,2995828
PSU,013,0,550946,142503,509497,82464,1295536,0,2580946
PSU,014,0,621115,115921,536079,116311,955689,0,2345115
PSU,015,0,1604744,204815,743185,100271,1135729,0,3788744
PSU,016,0,1052939,193392,986608,237649,1596351,0,4066939
PSU,017,0,1082673,70557,621443,41984,976016,0,2792673
PSU,018,0,692595,146263,583737,131222,870778,0,2424595
PSU,019,0,815881,0,556547,0,684951,0,848960
PSU,020,0,1585493,134296,643704,142531,995469,0,3501493
