site_id,response_generator_id,data_type,exam_id,task_number,trial_number,trial_time,num_blue_locations,red_capability_Pc,red_vulnerability_P_1,red_opportunity_U_1,red_activity_detected_1,red_tactics_probs_time,red_tactics_probs_tactic_1,red_tactics_probs_tactic_2,red_tactics_batch_plot_trials_reviewed,red_tactics_batch_plot_trials_total,red_tactics_actual_red_tactic,bluebook_Passive_prob_1,bluebook_Aggressive_prob_1,probs_Pp_time,probs_Pp_1,probs_Pp_normative_1,blue_action_time,blue_action_1,blue_action_expected_utility,blue_action_normative_participant_1,blue_action_normative_participant_expected_utility,blue_action_normative_bayesian_1,blue_action_normative_bayesian_expected_utility
PSU,021,Human_Single,Sample-Exam-2,4,1,32854.0,1,1.0,0.07545171380980342,3,1,NaN,NaN,NaN,NaN,0,Aggressive,0.4,0.7,14259.0,0.55,0.55,17254.0,Divert,-0.44999999999999996,Divert,-0.44999999999999996,Divert,-0.44999999999999996
PSU,021,Human_Single,Sample-Exam-2,4,2,46192.0,1,1.0,0.1565460732454368,4,1,21076.0,66.0,34.0,0,1,Aggressive,0.5,0.8,17316.0,0.6,0.6000000000000001,5694.0,Divert,-0.4,Divert,-0.4,Divert,-0.3999999999999999
PSU,021,Human_Single,Sample-Exam-2,4,3,31902.0,1,0.4,0.3948022410103358,4,0,8564.0,56.0,44.0,0,2,Aggressive,0.3,0.6,18517.0,0.4,0.4293103448275862,3588.0,Divert,-0.6,Do_Not_Divert,-0.3366328287669255,Do_Not_Divert,-0.3612998894955364
PSU,021,Human_Single,Sample-Exam-2,4,4,37986.0,1,0.4,0.2714142844945405,5,0,5772.0,40.0,60.0,0,3,Aggressive,0.3,0.6,25397.0,0.6,0.4814814814814815,5397.0,Divert,-0.4,Divert,-0.4,Divert,-0.5185185185185185
PSU,021,Human_Single,Sample-Exam-2,4,5,23431.0,1,0.7,0.3756224215885887,4,1,3916.0,40.0,60.0,0,4,Aggressive,0.3,0.6,8392.0,0.55,0.44009347069659555,9548.0,Divert,-0.44999999999999996,Divert,-0.44999999999999996,Do_Not_Divert,-0.43790208127932756
PSU,021,Human_Single,Sample-Exam-2,4,6,36567.0,1,0.4,0.09262548691804384,5,0,13993.0,40.0,60.0,0,5,Aggressive,0.5,0.8,17862.0,0.7,0.6904745949033,2606.0,Divert,-0.30000000000000004,Divert,-0.30000000000000004,Divert,-0.3095254050967
PSU,021,Human_Single,Sample-Exam-2,4,7,17643.0,1,0.4,0.053420198799137286,5,0,5085.0,35.0,65.0,0,6,Aggressive,0.5,0.8,7332.0,0.7,0.7180939774852809,2871.0,Divert,-0.30000000000000004,Divert,-0.30000000000000004,Divert,-0.2819060225147191
PSU,021,Human_Single,Sample-Exam-2,4,8,181210.0,1,0.7,0.08277273307458533,4,1,159854.0,33.0,67.0,7,7,Aggressive,0.5,0.8,17753.0,0.7,0.661901550910317,1872.0,Divert,-0.30000000000000004,Divert,-0.30000000000000004,Divert,-0.338098449089683
PSU,021,Human_Single,Sample-Exam-2,4,9,23431.0,1,0.4,0.2464048563937722,3,1,3807.0,33.0,67.0,0,8,Aggressive,0.4,0.7,12760.0,0.65,0.5929240625396189,4119.0,Do_Not_Divert,-0.9890210600642885,Divert,-0.35,Divert,-0.40707593746038107
PSU,021,Human_Single,Sample-Exam-2,4,10,26692.0,1,0.4,0.3771191310070535,3,1,4665.0,25.0,75.0,0,9,Aggressive,0.2,0.5,10733.0,0.5,0.427919278284345,10171.0,Divert,-0.5,Do_Not_Divert,-0.36864260697883944,Do_Not_Divert,-0.31549855664648885
PSU,021,Human_Single,Sample-Exam-2,4,11,14025.0,1,0.4,0.07766796912647744,3,0,3635.0,10.0,90.0,0,10,Aggressive,0.4,0.7,4383.0,0.7,0.663062165700902,4431.0,Divert,-0.30000000000000004,Divert,-0.30000000000000004,Divert,-0.33693783429909796
PSU,021,Human_Single,Sample-Exam-2,4,12,13244.0,1,0.4,0.03954677830989195,4,0,4477.0,7.0,93.0,0,11,Aggressive,0.5,0.8,4727.0,0.8,0.7776858516535085,1872.0,Divert,-0.19999999999999996,Divert,-0.19999999999999996,Divert,-0.22231414834649155
