ObjectId,ObjectType,X,Y
1,Road,26,0
1,Road,26,1
1,Road,26,2
1,Road,26,3
1,Road,26,4
1,Road,26,5
1,Road,26,6
1,Road,26,7
1,Road,26,8
1,Road,26,9
1,Road,26,10
1,Road,26,11
1,Road,26,12
1,Road,26,13
1,Road,26,14
1,Road,26,15
1,Road,26,16
1,Road,26,17
1,Road,26,18
1,Road,26,19
1,Road,26,20
1,Road,26,21
1,Road,26,22
1,Road,26,23
1,Road,26,24
1,Road,26,25
1,Road,26,26
1,Road,26,27
1,Road,26,28
1,Road,26,29
1,Road,26,30
1,Road,26,31
1,Road,26,32
1,Road,26,33
1,Road,26,34
1,Road,26,35
1,Road,26,36
1,Road,26,37
1,Road,26,38
1,Road,26,39
1,Road,26,40
1,Road,26,41
1,Road,26,42
1,Road,26,43
1,Road,26,44
1,Road,26,45
1,Road,26,46
1,Road,26,47
1,Road,26,48
1,Road,26,49
1,Road,26,50
1,Road,26,51
1,Road,26,52
1,Road,26,53
1,Road,26,54
1,Road,26,55
1,Road,26,56
1,Road,26,57
1,Road,26,58
1,Road,26,59
1,Road,26,60
1,Road,26,61
1,Road,26,62
1,Road,26,63
1,Road,26,64
1,Road,26,65
1,Road,26,66
1,Road,26,67
1,Road,26,68
1,Road,26,69
1,Road,26,70
1,Road,27,71
1,Road,27,72
1,Road,27,73
1,Road,27,74
1,Road,27,75
1,Road,27,76
1,Road,27,77
1,Road,27,78
1,Road,27,79
1,Road,27,80
1,Road,27,81
1,Road,27,82
1,Road,27,83
1,Road,27,84
1,Road,27,85
1,Road,27,86
1,Road,27,87
1,Road,27,88
1,Road,28,89
1,Road,28,90
1,Road,28,91
1,Road,28,92
1,Road,28,93
1,Road,28,94
1,Road,28,95
1,Road,28,96
1,Road,28,97
1,Road,28,98
1,Road,28,99
2,Road,76,0
2,Road,76,1
2,Road,76,2
2,Road,75,3
2,Road,75,4
2,Road,75,5
2,Road,75,6
2,Road,74,7
2,Road,74,8
2,Road,73,9
2,Road,73,10
2,Road,72,11
2,Road,72,12
2,Road,72,13
2,Road,72,14
2,Road,72,15
2,Road,71,16
2,Road,71,17
2,Road,71,18
2,Road,71,19
2,Road,71,20
2,Road,71,21
2,Road,71,22
2,Road,71,23
2,Road,71,24
2,Road,71,25
2,Road,71,26
2,Road,71,27
2,Road,71,28
2,Road,71,29
2,Road,71,30
2,Road,71,31
2,Road,71,32
2,Road,71,33
2,Road,70,34
2,Road,70,35
2,Road,70,36
2,Road,69,37
2,Road,69,38
2,Road,69,39
2,Road,69,40
2,Road,69,41
2,Road,69,42
2,Road,69,43
2,Road,69,44
2,Road,69,45
2,Road,69,46
2,Road,69,47
2,Road,69,48
2,Road,69,49
2,Road,69,50
2,Road,69,51
2,Road,69,52
2,Road,69,53
2,Road,68,54
2,Road,68,55
2,Road,68,56
2,Road,68,57
2,Road,68,58
2,Road,68,59
2,Road,68,60
2,Road,68,61
2,Road,68,62
2,Road,68,63
2,Road,68,64
2,Road,67,65
2,Road,67,66
2,Road,67,67
2,Road,66,68
2,Road,66,69
2,Road,66,70
2,Road,66,71
2,Road,66,72
2,Road,66,73
2,Road,66,74
2,Road,66,75
2,Road,66,76
2,Road,66,77
2,Road,66,78
2,Road,66,79
2,Road,66,80
2,Road,66,81
2,Road,65,82
2,Road,65,83
2,Road,65,84
2,Road,65,85
2,Road,65,86
2,Road,65,87
2,Road,65,88
2,Road,65,89
2,Road,65,90
2,Road,65,91
2,Road,65,92
2,Road,65,93
2,Road,65,94
2,Road,65,95
2,Road,65,96
2,Road,65,97
2,Road,65,98
2,Road,65,99
3,Road,0,36
3,Road,1,36
3,Road,2,36
3,Road,3,36
3,Road,4,36
3,Road,5,36
3,Road,6,36
3,Road,7,36
3,Road,8,36
3,Road,9,36
3,Road,10,35
3,Road,11,35
3,Road,12,35
3,Road,13,35
3,Road,14,35
3,Road,15,35
3,Road,16,35
3,Road,17,35
3,Road,18,35
3,Road,19,35
3,Road,20,35
3,Road,21,35
3,Road,22,35
3,Road,23,35
3,Road,24,35
3,Road,25,35
3,Road,26,35
3,Road,27,35
3,Road,28,35
3,Road,29,35
3,Road,30,35
3,Road,31,35
3,Road,32,35
3,Road,33,35
3,Road,34,35
3,Road,35,35
3,Road,36,35
3,Road,37,35
3,Road,38,35
3,Road,39,35
3,Road,40,35
3,Road,41,35
3,Road,42,35
3,Road,43,35
3,Road,44,35
3,Road,45,35
3,Road,46,35
3,Road,47,35
3,Road,48,35
3,Road,49,35
3,Road,50,35
3,Road,51,35
3,Road,52,35
3,Road,53,35
3,Road,54,35
3,Road,55,35
3,Road,56,35
3,Road,57,35
3,Road,58,35
3,Road,59,35
3,Road,60,35
3,Road,61,35
3,Road,62,35
3,Road,63,35
3,Road,64,35
3,Road,65,35
3,Road,66,35
3,Road,67,35
3,Road,68,35
3,Road,69,35
3,Road,70,35
3,Road,71,35
3,Road,72,35
3,Road,73,35
3,Road,74,35
3,Road,75,35
3,Road,76,35
3,Road,77,35
3,Road,78,35
3,Road,79,35
3,Road,80,35
3,Road,81,35
3,Road,82,35
3,Road,83,35
3,Road,84,35
3,Road,85,35
3,Road,86,35
3,Road,87,35
3,Road,88,35
3,Road,89,35
3,Road,90,35
3,Road,91,35
3,Road,92,35
3,Road,93,35
3,Road,94,35
3,Road,95,35
3,Road,96,35
3,Road,97,35
3,Road,98,35
3,Road,99,35
4,Road,0,72
4,Road,1,72
4,Road,2,72
4,Road,3,72
4,Road,4,72
4,Road,5,72
4,Road,6,72
4,Road,7,72
4,Road,8,72
4,Road,9,72
4,Road,10,72
4,Road,11,72
4,Road,12,72
4,Road,13,72
4,Road,14,72
4,Road,15,72
4,Road,16,72
4,Road,17,72
4,Road,18,72
4,Road,19,72
4,Road,20,72
4,Road,21,72
4,Road,22,72
4,Road,23,72
4,Road,24,72
4,Road,25,72
4,Road,26,72
4,Road,27,72
4,Road,28,72
4,Road,29,72
4,Road,30,72
4,Road,31,72
4,Road,32,72
4,Road,33,72
4,Road,34,72
4,Road,35,72
4,Road,36,72
4,Road,37,72
4,Road,38,72
4,Road,39,72
4,Road,40,72
4,Road,41,72
4,Road,42,72
4,Road,43,72
4,Road,44,72
4,Road,45,72
4,Road,46,72
4,Road,47,72
4,Road,48,72
4,Road,49,72
4,Road,50,72
4,Road,51,72
4,Road,52,72
4,Road,53,72
4,Road,54,72
4,Road,55,72
4,Road,56,72
4,Road,57,72
4,Road,58,72
4,Road,59,72
4,Road,60,72
4,Road,61,72
4,Road,62,72
4,Road,63,72
4,Road,64,72
4,Road,65,72
4,Road,66,72
4,Road,67,72
4,Road,68,72
4,Road,69,72
4,Road,70,72
4,Road,71,72
4,Road,72,72
4,Road,73,72
4,Road,74,72
4,Road,75,72
4,Road,76,72
4,Road,77,72
4,Road,78,72
4,Road,79,72
