ObjectId,ObjectType,X,Y
1,Road,12,0
1,Road,12,1
1,Road,11,2
1,Road,11,3
1,Road,11,4
1,Road,11,5
1,Road,11,6
1,Road,11,7
1,Road,11,8
1,Road,11,9
1,Road,11,10
1,Road,11,11
1,Road,11,12
1,Road,11,13
1,Road,11,14
1,Road,11,15
1,Road,11,16
1,Road,12,17
1,Road,12,18
1,Road,12,19
1,Road,12,20
1,Road,12,21
1,Road,12,22
1,Road,12,23
1,Road,12,24
1,Road,12,25
1,Road,12,26
1,Road,13,27
1,Road,13,28
1,Road,13,29
1,Road,13,30
1,Road,13,31
1,Road,13,32
1,Road,13,33
1,Road,13,34
1,Road,13,35
1,Road,13,36
1,Road,13,37
1,Road,13,38
1,Road,14,38
1,Road,15,38
1,Road,15,39
1,Road,15,40
1,Road,16,41
1,Road,17,42
1,Road,18,43
1,Road,19,44
1,Road,20,45
1,Road,21,46
1,Road,21,47
1,Road,22,48
1,Road,23,48
1,Road,24,49
1,Road,25,49
1,Road,26,50
1,Road,27,51
1,Road,28,52
1,Road,29,53
1,Road,30,53
1,Road,31,53
1,Road,32,53
1,Road,33,53
1,Road,34,54
1,Road,34,55
1,Road,35,55
1,Road,36,56
1,Road,37,56
1,Road,38,57
1,Road,39,57
1,Road,40,58
1,Road,41,58
1,Road,42,59
1,Road,43,59
1,Road,44,60
1,Road,45,60
1,Road,46,61
1,Road,47,62
1,Road,48,63
1,Road,49,64
1,Road,50,64
1,Road,51,64
1,Road,52,65
1,Road,53,65
1,Road,54,65
1,Road,55,66
1,Road,56,67
1,Road,57,68
1,Road,58,69
1,Road,58,70
1,Road,59,70
1,Road,60,71
1,Road,61,71
1,Road,62,72
1,Road,63,73
1,Road,64,73
1,Road,65,74
1,Road,66,74
1,Road,67,74
1,Road,68,75
1,Road,68,76
1,Road,69,77
1,Road,70,78
1,Road,71,79
1,Road,72,80
1,Road,73,81
1,Road,73,82
1,Road,74,83
1,Road,74,84
1,Road,75,85
1,Road,76,86
1,Road,77,87
1,Road,78,87
1,Road,79,88
1,Road,80,89
1,Road,81,90
1,Road,82,91
1,Road,83,92
1,Road,83,93
1,Road,84,94
1,Road,85,95
1,Road,86,96
1,Road,87,97
1,Road,87,98
1,Road,88,99
2,Road,70,0
2,Road,70,1
2,Road,70,2
2,Road,70,3
2,Road,70,4
2,Road,70,5
2,Road,70,6
2,Road,70,7
2,Road,69,8
2,Road,69,9
2,Road,69,10
2,Road,68,11
2,Road,67,12
2,Road,66,13
2,Road,66,14
2,Road,65,15
2,Road,65,16
2,Road,64,17
2,Road,63,17
2,Road,62,18
2,Road,61,18
2,Road,60,19
2,Road,59,19
2,Road,58,20
2,Road,57,20
2,Road,56,21
2,Road,56,22
2,Road,55,22
2,Road,54,23
2,Road,53,23
2,Road,52,24
2,Road,51,25
2,Road,50,25
2,Road,49,26
2,Road,48,26
2,Road,48,27
2,Road,47,28
2,Road,47,29
2,Road,46,30
2,Road,46,31
