ObjectId,ObjectType,X,Y
1,Road,0,82
1,Road,1,82
1,Road,2,82
1,Road,3,82
1,Road,4,82
1,Road,5,82
1,Road,6,82
1,Road,7,82
1,Road,8,82
1,Road,9,82
1,Road,10,82
1,Road,10,81
1,Road,11,81
1,Road,12,81
1,Road,13,81
1,Road,14,81
1,Road,15,81
1,Road,16,81
1,Road,17,81
1,Road,18,81
1,Road,19,81
1,Road,20,81
1,Road,21,81
1,Road,22,81
1,Road,23,81
1,Road,24,81
1,Road,25,81
1,Road,26,81
1,Road,27,81
1,Road,28,81
1,Road,29,81
1,Road,30,81
1,Road,31,81
1,Road,32,81
1,Road,33,81
1,Road,34,81
1,Road,35,81
1,Road,36,81
1,Road,37,81
1,Road,38,81
1,Road,39,81
1,Road,40,81
1,Road,41,81
1,Road,42,81
1,Road,43,81
1,Road,44,81
1,Road,45,81
1,Road,46,81
1,Road,47,81
1,Road,48,81
1,Road,49,81
1,Road,50,81
1,Road,51,81
1,Road,52,81
1,Road,53,81
1,Road,54,81
1,Road,55,81
1,Road,56,81
1,Road,57,81
1,Road,58,81
1,Road,59,81
1,Road,60,81
1,Road,61,81
1,Road,62,81
1,Road,63,81
1,Road,64,81
1,Road,65,81
1,Road,66,81
1,Road,67,81
1,Road,67,80
1,Road,67,79
1,Road,67,78
1,Road,68,77
1,Road,69,76
1,Road,69,75
1,Road,70,75
1,Road,70,74
1,Road,70,73
1,Road,70,72
1,Road,70,71
1,Road,70,70
1,Road,70,69
1,Road,70,68
1,Road,70,67
1,Road,70,66
1,Road,70,65
1,Road,70,64
1,Road,70,63
1,Road,70,62
1,Road,70,61
1,Road,71,60
1,Road,72,60
1,Road,72,59
1,Road,72,58
1,Road,72,57
1,Road,72,56
1,Road,72,55
1,Road,72,54
1,Road,72,53
1,Road,72,52
1,Road,73,52
1,Road,73,51
1,Road,73,50
1,Road,73,49
1,Road,73,48
1,Road,73,47
1,Road,73,46
1,Road,73,45
1,Road,73,44
1,Road,73,43
1,Road,73,42
1,Road,73,41
1,Road,73,40
1,Road,73,39
1,Road,73,38
1,Road,73,37
1,Road,73,36
1,Road,73,35
1,Road,73,34
1,Road,73,33
1,Road,73,32
1,Road,73,31
1,Road,73,30
1,Road,73,29
1,Road,73,28
1,Road,73,27
1,Road,73,26
1,Road,73,25
1,Road,73,24
1,Road,73,23
1,Road,73,22
1,Road,73,21
1,Road,73,20
1,Road,73,19
1,Road,73,18
1,Road,74,18
1,Road,75,18
1,Road,75,17
1,Road,75,16
1,Road,76,16
1,Road,77,16
1,Road,78,16
1,Road,78,15
1,Road,79,15
1,Road,80,15
1,Road,81,15
1,Road,82,15
1,Road,83,15
1,Road,84,15
1,Road,85,15
1,Road,86,15
1,Road,87,15
1,Road,88,15
1,Road,89,15
1,Road,90,15
1,Road,91,15
1,Road,92,15
1,Road,93,15
1,Road,94,15
1,Road,95,15
1,Road,96,15
1,Road,97,15
1,Road,98,15
1,Road,99,15
2,Road,0,51
2,Road,1,51
2,Road,2,51
2,Road,3,51
2,Road,4,51
2,Road,5,51
2,Road,6,51
2,Road,7,51
2,Road,8,51
2,Road,9,51
2,Road,10,51
2,Road,11,51
2,Road,12,51
2,Road,13,51
2,Road,14,51
2,Road,15,51
2,Road,16,51
2,Road,17,51
2,Road,18,51
2,Road,19,51
2,Road,20,51
2,Road,21,51
2,Road,22,51
2,Road,23,51
2,Road,24,51
2,Road,25,51
2,Road,26,51
2,Road,27,51
2,Road,28,51
2,Road,29,51
2,Road,30,51
2,Road,31,51
2,Road,32,51
2,Road,33,51
2,Road,34,51
2,Road,35,51
2,Road,36,51
2,Road,37,51
2,Road,38,51
2,Road,39,51
2,Road,40,51
2,Road,41,51
2,Road,42,51
2,Road,43,51
2,Road,44,51
2,Road,45,51
2,Road,46,51
2,Road,47,51
2,Road,48,51
2,Road,49,51
2,Road,50,51
2,Road,51,51
2,Road,52,51
2,Road,53,51
2,Road,54,51
2,Road,55,51
2,Road,56,51
2,Road,57,51
2,Road,58,51
2,Road,59,51
2,Road,60,51
2,Road,61,51
2,Road,62,51
2,Road,63,51
2,Road,64,51
2,Road,65,51
2,Road,66,51
2,Road,67,51
2,Road,68,51
2,Road,69,51
2,Road,70,51
2,Road,71,51
2,Road,72,51
2,Road,73,51
2,Road,74,51
2,Road,75,51
2,Road,76,51
2,Road,77,51
2,Road,78,51
2,Road,79,51
2,Road,80,51
2,Road,81,51
2,Road,82,51
2,Road,83,51
2,Road,84,51
2,Road,85,51
2,Road,86,51
2,Road,87,51
2,Road,88,51
2,Road,89,51
2,Road,90,51
2,Road,91,51
2,Road,92,51
2,Road,93,51
2,Road,94,51
2,Road,95,51
2,Road,96,51
2,Road,97,51
2,Road,98,51
2,Road,99,51
3,Road,0,28
3,Road,1,28
3,Road,2,28
3,Road,3,28
3,Road,4,28
3,Road,5,28
3,Road,6,28
3,Road,7,28
3,Road,8,28
3,Road,9,28
3,Road,10,28
3,Road,11,28
3,Road,12,28
3,Road,13,28
3,Road,14,28
3,Road,15,28
3,Road,16,28
3,Road,17,28
3,Road,18,28
3,Road,19,28
3,Road,20,28
3,Road,21,28
3,Road,22,28
3,Road,23,28
3,Road,24,28
3,Road,25,28
3,Road,26,28
3,Road,27,28
3,Road,28,28
3,Road,29,28
3,Road,30,28
3,Road,31,28
3,Road,32,28
3,Road,33,28
3,Road,34,28
3,Road,35,28
3,Road,36,28
3,Road,37,28
3,Road,38,28
3,Road,39,28
3,Road,40,28
3,Road,41,28
3,Road,42,28
3,Road,43,28
3,Road,44,28
3,Road,45,28
3,Road,46,28
3,Road,47,28
3,Road,48,28
3,Road,49,28
3,Road,50,28
3,Road,51,28
3,Road,52,28
3,Road,53,28
3,Road,54,28
3,Road,55,28
3,Road,56,28
3,Road,57,28
3,Road,58,28
3,Road,59,28
3,Road,60,28
3,Road,61,28
3,Road,62,28
3,Road,63,28
3,Road,64,28
3,Road,65,28
3,Road,66,28
3,Road,67,28
3,Road,68,28
3,Road,69,28
3,Road,70,28
3,Road,71,28
3,Road,72,28
3,Road,73,28
3,Road,74,28
3,Road,75,28
3,Road,76,28
3,Road,77,28
3,Road,78,28
3,Road,79,28
3,Road,80,28
3,Road,81,28
3,Road,82,28
3,Road,83,28
3,Road,84,28
3,Road,85,28
3,Road,86,28
3,Road,87,28
3,Road,88,28
3,Road,89,28
3,Road,90,28
3,Road,91,28
3,Road,92,28
3,Road,93,28
3,Road,94,28
3,Road,95,28
3,Road,96,28
3,Road,97,28
3,Road,98,28
3,Road,99,28
4,Road,24,0
4,Road,24,1
4,Road,24,2
4,Road,24,3
4,Road,24,4
4,Road,24,5
4,Road,24,6
4,Road,24,7
4,Road,24,8
4,Road,24,9
